T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
1	1e-08	14.1452	3.44853e+06	5.00043	6.75179e-06	-0.0853202	3.59604e-06	6.25025e-06	689647	6.79999	1.0479
1	1.25893e-08	13.9907	2.95485e+06	5.00009	6.74982e-06	-0.0853202	4.19656e-06	7.29401e-06	590960	6.79999	1.0479
1	1.58489e-08	13.8363	2.5321e+06	5.00048	6.75213e-06	-0.0853202	4.8976e-06	8.51248e-06	506370	6.79999	1.0479
1	1.99526e-08	13.6817	2.16939e+06	5.00007	6.74972e-06	-0.0853202	5.71596e-06	9.93487e-06	433873	6.79999	1.0479
1	2.51189e-08	13.5272	1.85883e+06	5.0003	6.75108e-06	-0.0853202	6.67126e-06	1.15953e-05	371744	6.79999	1.0479
1	3.16228e-08	13.3726	1.59257e+06	5.00016	6.75023e-06	-0.0853202	7.78641e-06	1.35335e-05	318504	6.79999	1.0479
1	3.98107e-08	13.218	1.36445e+06	5.0001	6.74991e-06	-0.0853202	9.08813e-06	1.5796e-05	272883	6.79999	1.0479
1	5.01187e-08	13.0634	1.169e+06	5.00012	6.75004e-06	-0.0853202	1.06076e-05	1.8437e-05	233794	6.79999	1.0479
1	6.30957e-08	12.9088	1.00155e+06	5.00021	6.75051e-06	-0.0853202	1.23813e-05	2.15199e-05	200302	6.79999	1.0479
1	7.94328e-08	12.7542	858085	5.00033	6.75125e-06	-0.0853202	1.44517e-05	2.51185e-05	171606	6.79999	1.0479
1	1e-07	12.5996	735171	5.0005	6.75221e-06	-0.0853202	1.68685e-05	2.9319e-05	147020	6.79999	1.0479
1	1.25893e-07	12.4449	629801	5.00019	6.75044e-06	-0.0853202	1.96895e-05	3.42222e-05	125955	6.79999	1.0479
1	1.58489e-07	12.2903	539587	5.00041	6.75171e-06	-0.0853202	2.29824e-05	3.99456e-05	107908	6.79999	1.0479
1	1.99526e-07	12.1356	462249	5.00015	6.75018e-06	-0.0853202	2.68262e-05	4.66264e-05	92447	6.79999	1.0479
1	2.51189e-07	11.981	396035	5.0004	6.75165e-06	-0.0853201	3.13129e-05	5.44246e-05	79200.7	6.79999	1.0479
1	3.16228e-07	11.8263	339272	5.00017	6.75028e-06	-0.0853201	3.655e-05	6.35273e-05	67852.2	6.79999	1.0479
