1-T/Tc	cp	l	Kr/K0	e	
1e-08	1.95381e+06	14.4053	8.62705e-06	-0.0651121
1.49182e-08	805410	14.1366	1.12862e-05	-0.0651121
2.22554e-08	318386	13.868	1.47649e-05	-0.0651121
3.32012e-08	117708	13.5993	1.93159e-05	-0.0651121
4.95303e-08	39058.9	13.3306	2.52696e-05	-0.0651121
7.38906e-08	10823.3	13.0619	3.30585e-05	-0.0651121
1.10232e-07	2220.47	12.7933	4.32481e-05	-0.0651121
1.64446e-07	395.648	12.5246	5.65785e-05	-0.0651121
2.45325e-07	250.428	12.2559	7.40178e-05	-0.0651121
3.65982e-07	244.382	11.9872	9.68323e-05	-0.065112
5.45982e-07	237.855	11.7186	0.000126679	-0.065112
8.14509e-07	231.479	11.4499	0.000165725	-0.0651119
1.2151e-06	224.718	11.1812	0.000216807	-0.0651117
1.81272e-06	218.43	10.9125	0.000283633	-0.0651115
2.70426e-06	212.446	10.6439	0.000371057	-0.0651112
4.03429e-06	204.207	10.3752	0.000485428	-0.0651107
6.01845e-06	195.925	10.1065	0.000635051	-0.06511
8.97847e-06	191.359	9.8378	0.000830793	-0.065109
1.33943e-05	182.38	9.5692	0.00108687	-0.0651075
1.9982e-05	175.633	9.3005	0.00142187	-0.0651052
2.98096e-05	170.716	9.0318	0.00186012	-0.0651017
4.44707e-05	162.98	8.7631	0.00243346	-0.0650966
6.63424e-05	154.784	8.4944	0.0031835	-0.065089
9.89713e-05	148.717	8.2257	0.0041647	-0.0650776
0.000147648	141.619	7.957	0.00544829	-0.0650607
0.000220265	134.017	7.6883	0.00712742	-0.0650354
0.000328596	127.455	7.4196	0.00932393	-0.0649978
0.000490208	119.06	7.1508	0.0121971	-0.0649418
0.000731304	111.709	6.8819	0.0159552	-0.0648585
0.00109098	105.126	6.613	0.0208704	-0.0647347
0.00162755	97.7769	6.344	0.0272978	-0.064551
0.00242802	90.8865	6.0748	0.0357013	-0.0642791
0.00362217	84.4609	5.8054	0.0466849	-0.0638776
0.00540365	75.8957	5.5356	0.0610342	-0.0632872
0.0080613	68.098	5.2653	0.0797679	-0.0624232
