T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2916	5.00049	6.75217e-06	-0.0522557	3.10634e-06	1.02337e-05
1	1.25893e-08	14.1369	5.0003	6.75106e-06	-0.0522557	3.62592e-06	1.19454e-05
1	1.58489e-08	13.9822	5.00011	6.74996e-06	-0.0522557	4.23241e-06	1.39435e-05
1	1.99526e-08	13.8276	5.00042	6.75176e-06	-0.0522557	4.94033e-06	1.62757e-05
1	2.51189e-08	13.6729	5.00023	6.75065e-06	-0.0522557	5.76667e-06	1.8998e-05
1	3.16228e-08	13.5182	5.00004	6.74955e-06	-0.0522556	6.73122e-06	2.21757e-05
1	3.98107e-08	13.3636	5.00035	6.75135e-06	-0.0522556	7.85711e-06	2.58849e-05
1	5.01187e-08	13.2089	5.00016	6.75024e-06	-0.0522556	9.17131e-06	3.02144e-05
1	6.30957e-08	13.0543	5.00047	6.75204e-06	-0.0522556	1.07053e-05	3.52682e-05
1	7.94328e-08	12.8996	5.00028	6.75094e-06	-0.0522556	1.24959e-05	4.11673e-05
1	1e-07	12.7449	5.00009	6.74983e-06	-0.0522556	1.45861e-05	4.80531e-05
1	1.25893e-07	12.5903	5.0004	6.75163e-06	-0.0522556	1.70258e-05	5.60906e-05
1	1.58489e-07	12.4356	5.00021	6.75053e-06	-0.0522556	1.98736e-05	6.54725e-05
1	1.99526e-07	12.2809	5.00002	6.74942e-06	-0.0522556	2.31977e-05	7.64236e-05
1	2.51189e-07	12.1263	5.00033	6.75123e-06	-0.0522556	2.70778e-05	8.92065e-05
1	3.16228e-07	11.9716	5.00014	6.75012e-06	-0.0522556	3.16069e-05	0.000104127
1	3.98107e-07	11.817	5.00045	6.75192e-06	-0.0522555	3.68936e-05	0.000121544
0.999999	5.01187e-07	11.6623	5.00026	6.75082e-06	-0.0522555	4.30646e-05	0.000141874
0.999999	6.30957e-07	11.5076	5.00007	6.74971e-06	-0.0522555	5.02677e-05	0.000165604
0.999999	7.94328e-07	11.353	5.00038	6.75152e-06	-0.0522554	5.86756e-05	0.000193304
0.999999	1e-06	11.1983	5.00019	6.75041e-06	-0.0522554	6.84899e-05	0.000225636
0.999999	1.25893e-06	11.0437	5.0005	6.75222e-06	-0.0522553	7.99458e-05	0.000263377
0.999998	1.58489e-06	10.889	5.00031	6.75112e-06	-0.0522552	9.33178e-05	0.00030743
