T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	14.263	5.00046	6.75197e-06	-0.0530332	3.19645e-06	1.03792e-05
1	1.25893e-08	14.1083	5.00027	6.75087e-06	-0.0530332	3.7311e-06	1.21152e-05
1	1.58489e-08	13.9536	5.00008	6.74976e-06	-0.0530332	4.35517e-06	1.41416e-05
1	1.99526e-08	13.799	5.00039	6.75157e-06	-0.0530332	5.08363e-06	1.6507e-05
1	2.51189e-08	13.6443	5.0002	6.75046e-06	-0.0530332	5.93394e-06	1.9268e-05
1	3.16228e-08	13.4896	5.00001	6.74935e-06	-0.0530332	6.92647e-06	2.24909e-05
1	3.98107e-08	13.335	5.00032	6.75116e-06	-0.0530332	8.08501e-06	2.62528e-05
1	5.01187e-08	13.1803	5.00013	6.75005e-06	-0.0530332	9.43734e-06	3.06439e-05
1	6.30957e-08	13.0257	5.00044	6.75185e-06	-0.0530332	1.10159e-05	3.57695e-05
1	7.94328e-08	12.871	5.00025	6.75075e-06	-0.0530332	1.28584e-05	4.17524e-05
1	1e-07	12.7163	5.00006	6.74964e-06	-0.0530331	1.50091e-05	4.8736e-05
1	1.25893e-07	12.5617	5.00037	6.75144e-06	-0.0530331	1.75196e-05	5.68878e-05
1	1.58489e-07	12.407	5.00018	6.75034e-06	-0.0530331	2.045e-05	6.6403e-05
1	1.99526e-07	12.2524	5.00049	6.75214e-06	-0.0530331	2.38706e-05	7.75098e-05
1	2.51189e-07	12.0977	5.0003	6.75103e-06	-0.0530331	2.78632e-05	9.04744e-05
1	3.16228e-07	11.943	5.00011	6.74993e-06	-0.0530331	3.25237e-05	0.000105607
1	3.98107e-07	11.7884	5.00042	6.75173e-06	-0.053033	3.79637e-05	0.000123272
0.999999	5.01187e-07	11.6337	5.00023	6.75062e-06	-0.053033	4.43137e-05	0.00014389
0.999999	6.30957e-07	11.479	5.00004	6.74952e-06	-0.053033	5.17257e-05	0.000167958
0.999999	7.94328e-07	11.3244	5.00035	6.75132e-06	-0.0530329	6.03776e-05	0.000196051
0.999999	1e-06	11.1697	5.00016	6.75022e-06	-0.0530329	7.04765e-05	0.000228843
0.999999	1.25893e-06	11.0151	5.00047	6.75202e-06	-0.0530328	8.22647e-05	0.00026712
0.999998	1.58489e-06	10.8604	5.00028	6.75092e-06	-0.0530327	9.60245e-05	0.0003118
0.999998	1.99526e-06	10.7057	5.00009	6.74982e-06	-0.0530325	0.000112086	0.000363952
0.999997	2.51189e-06	10.5511	5.0004	6.75163e-06	-0.0530324	0.000130834	0.000424828
0.999997	3.16228e-06	10.3964	5.00021	6.75053e-06	-0.0530322	0.000152718	0.000495886
0.999996	3.98107e-06	10.2417	5.00002	6.74943e-06	-0.0530319	0.000178262	0.00057883
0.999995	5.01187e-06	10.0871	5.00033	6.75125e-06	-0.0530316	0.000208078	0.000675646
0.999994	6.30957e-06	9.9324	5.00015	6.75016e-06	-0.0530312	0.000242882	0.000788656
0.999992	7.94328e-06	9.7778	5.00046	6.75198e-06	-0.0530307	0.000283508	0.000920568
0.99999	1e-05	9.6231	5.00027	6.75089e-06	-0.05303	0.000330929	0.00107454
0.999987	1.25893e-05	9.4684	5.00009	6.74982e-06	-0.0530292	0.000386281	0.00125427
0.999984	1.58489e-05	9.3138	5.0004	6.75166e-06	-0.0530282	0.000450893	0.00146407
0.99998	1.99526e-05	9.1591	5.00022	6.7506e-06	-0.0530268	0.000526311	0.00170895
0.999975	2.51189e-05	9.0044	5.00004	6.74955e-06	-0.0530252	0.000614345	0.00199478
0.999968	3.16228e-05	8.8498	5.00036	6.75143e-06	-0.0530232	0.000717104	0.00232843
0.99996	3.98107e-05	8.6951	5.00019	6.75042e-06	-0.0530206	0.000837052	0.00271788
0.99995	5.01187e-05	8.5404	5.00002	6.74943e-06	-0.0530173	0.000977065	0.00317246
0.999937	6.30957e-05	8.3858	5.00036	6.75139e-06	-0.0530132	0.0011405	0.00370306
0.999921	7.94328e-05	8.2311	5.0002	6.75047e-06	-0.053008	0.00133127	0.00432241
0.9999	0.0001	8.0764	5.00005	6.7496e-06	-0.0530015	0.00155396	0.00504533
0.999874	0.000125893	7.9218	5.00041	6.7517e-06	-0.0529933	0.00181389	0.00588913
0.999842	0.000158489	7.7671	5.00029	6.75097e-06	-0.052983	0.00211732	0.00687404
0.9998	0.000199526	7.6124	5.00018	6.75034e-06	-0.05297	0.00247151	0.00802361
0.999749	0.000251189	7.4577	5.00009	6.74983e-06	-0.0529537	0.00288496	0.00936538
0.999684	0.000316228	7.303	5.00003	6.74947e-06	-0.0529332	0.0033676	0.0109314
0.999602	0.000398107	7.1483	5.00001	6.7493e-06	-0.0529074	0.003931	0.0127592
0.999499	0.000501187	6.9936	5.00002	6.74937e-06	-0.052875	0.0045887	0.0148925
0.999369	0.000630957	6.8389	5.00009	6.74973e-06	-0.0528342	0.0053565	0.0173821
0.999206	0.000794328	6.6842	5.00022	6.75047e-06	-0.052783	0.00625285	0.0202875
0.999	0.001	6.5295	5.00044	6.75166e-06	-0.0527187	0.00729932	0.0236779
