# Filename: vlt_ThermStates_lmax100_A_Cc0.210.dat
# Source: vlt_ThermStates.c
# Source version: 5 (2011 Mar 01 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, A=41.3417022403997549418
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	13.5588	5.00023	5.536e-10	1.01021e-07	6.46365e-06	8.42696e-06
1	1.25893e-08	13.4136	5.00023	5.53599e-10	1.99878e-07	7.47373e-06	9.74385e-06
1	1.58489e-08	13.2684	5.00033	5.53531e-10	1.97715e-07	8.64184e-06	1.12668e-05
1	1.99526e-08	13.1231	5.00002	5.53743e-10	1.95549e-07	9.99267e-06	1.30279e-05
1	2.51189e-08	12.9779	5.00026	5.53577e-10	3.86772e-07	1.15548e-05	1.50645e-05
1	3.16228e-08	12.8326	5.00006	5.53713e-10	3.82441e-07	1.33613e-05	1.74197e-05
1	3.98107e-08	12.6874	5.0004	5.53486e-10	3.78114e-07	1.54503e-05	2.01433e-05
1	5.01187e-08	12.5421	5.00027	5.53573e-10	7.47567e-07	1.78661e-05	2.32928e-05
1	6.30957e-08	12.3968	5.00017	5.53643e-10	7.38907e-07	2.06596e-05	2.69349e-05
1	7.94328e-08	12.2515	5.00008	5.53699e-10	7.30246e-07	2.38901e-05	3.11466e-05
1	1e-07	12.1062	5.00001	5.53745e-10	1.44317e-06	2.76258e-05	3.60171e-05
1	1.25893e-07	11.961	5.00046	5.53446e-10	1.42586e-06	3.19458e-05	4.16492e-05
1	1.58489e-07	11.8157	5.00041	5.53477e-10	1.40854e-06	3.69413e-05	4.81621e-05
1	1.99526e-07	11.6704	5.00038	5.53501e-10	2.78244e-06	4.27181e-05	5.56936e-05
1	2.51189e-07	11.5251	5.00035	5.53522e-10	2.7478e-06	4.93984e-05	6.44029e-05
1	3.16228e-07	11.3798	5.00032	5.53539e-10	2.71316e-06	5.71233e-05	7.44743e-05
1	3.98107e-07	11.2345	5.0003	5.53553e-10	5.35703e-06	6.60564e-05	8.61207e-05
0.999999	5.01187e-07	11.0892	5.00028	5.53565e-10	5.28774e-06	7.63864e-05	9.95884e-05
0.999999	6.30957e-07	10.9439	5.00027	5.53575e-10	5.21846e-06	8.8332e-05	0.000115162
0.999999	7.94328e-07	10.7986	5.00025	5.53583e-10	1.02983e-05	0.000102146	0.000133172
0.999999	1e-06	10.6533	5.00024	5.53591e-10	1.01598e-05	0.00011812	0.000153998
0.999999	1.25893e-06	10.508	5.00023	5.53597e-10	1.00212e-05	0.000136592	0.000178081
0.999998	1.58489e-06	10.3627	5.00023	5.53602e-10	1.97653e-05	0.000157952	0.000205929
0.999998	1.99526e-06	10.2174	5.00022	5.53607e-10	1.94881e-05	0.000182654	0.000238134
0.999997	2.51189e-06	10.0721	5.00021	5.53611e-10	1.9211e-05	0.000211218	0.000275374
0.999997	3.16228e-06	9.9268	5.00021	5.53614e-10	3.78677e-05	0.00024425	0.000318438
0.999996	3.98107e-06	9.7815	5.00021	5.53616e-10	3.73135e-05	0.000282447	0.000368237
0.999995	5.01187e-06	9.6362	5.0002	5.53617e-10	3.67592e-05	0.000326617	0.000425824
0.999994	6.30957e-06	9.4909	5.0002	5.53617e-10	7.24098e-05	0.000377696	0.000492416
0.999992	7.94328e-06	9.3456	5.00021	5.53616e-10	7.13013e-05	0.000436763	0.000569423
0.99999	1e-05	9.2003	5.00021	5.53613e-10	7.01927e-05	0.000505067	0.000658472
0.999987	1.25893e-05	9.055	5.00022	5.53608e-10	0.000138168	0.000584053	0.000761448
0.999984	1.58489e-05	8.9097	5.00023	5.536e-10	0.000135951	0.000675393	0.000880527
0.99998	1.99526e-05	8.7644	5.00025	5.5359e-10	0.000133734	0.000781018	0.00101823
0.999975	2.51189e-05	8.6191	5.00027	5.53575e-10	0.000263034	0.000903162	0.00117746
0.999968	3.16228e-05	8.4738	5.0003	5.53556e-10	0.0002586	0.00104441	0.0013616
0.99996	3.98107e-05	8.3285	5.00033	5.53531e-10	0.000254166	0.00120775	0.00157454
0.99995	5.01187e-05	8.1832	5.00038	5.53498e-10	0.000499463	0.00139664	0.00182077
0.999937	6.30957e-05	8.0379	5.00045	5.53455e-10	0.000490594	0.00161508	0.00210552
0.999921	7.94328e-05	7.8925	5.00003	5.53736e-10	0.00048172	0.00186768	0.00243479
0.9999	0.0001	7.7472	5.00013	5.53667e-10	0.000945703	0.00215981	0.00281556
0.999874	0.000125893	7.6019	5.00027	5.53578e-10	0.000927966	0.00249764	0.00325588
0.999842	0.000158489	7.4566	5.00043	5.53465e-10	0.000910229	0.00288833	0.00376506
0.9998	0.000199526	7.3112	5.00015	5.53658e-10	0.00178496	0.00334017	0.00435387
0.999749	0.000251189	7.1659	5.00042	5.53477e-10	0.00174949	0.00386274	0.00503477
0.999684	0.000316228	7.0205	5.00027	5.53584e-10	0.00171399	0.00446713	0.00582216
0.999602	0.000398107	6.8751	5.0002	5.53631e-10	0.00335698	0.00516618	0.0067327
0.999499	0.000501187	6.7297	5.00025	5.53603e-10	0.00328599	0.00597476	0.00778566
0.999369	0.000630957	6.5843	5.00045	5.53479e-10	0.00321499	0.00691009	0.00900332
0.999206	0.000794328	6.4388	5.00033	5.53572e-10	0.00628789	0.00799214	0.0104114
0.999	0.001	6.2933	5.00044	5.53516e-10	0.0061458	0.00924405	0.0120398
0.998741	0.00125893	6.1477	5.00034	5.53606e-10	0.00600361	0.0106927	0.013923
0.998415	0.00158489	6.002	5.00011	5.53796e-10	0.0117227	0.0123693	0.0161008
0.998005	0.00199526	5.8563	5.00034	5.5369e-10	0.0114381	0.01431	0.0186194
0.997488	0.00251189	5.7104	5.00017	5.53882e-10	0.0111531	0.0165573	0.0215323
0.996838	0.00316228	5.5644	5.00024	5.53944e-10	0.0217359	0.0191603	0.0249012
0.996019	0.00398107	5.4182	5.00026	5.54092e-10	0.0211648	0.0221768	0.0287978
0.994988	0.00501187	5.2718	5.00047	5.5418e-10	0.020593	0.0256742	0.0333049
0.99369	0.00630957	5.125	5.00021	5.54695e-10	0.0400391	0.0297324	0.0385189
