# Filename: vlt_ThermStates_lmax100_A_Cc1.05.dat
# Source: vlt_ThermStates.c
# Source version: 6 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	2.8713	5.00047	6.13732e-27	2.13929e-08	0.283153	0.809332
1	1.25893e-08	2.8713	5.00047	6.13732e-27	4.27857e-08	0.283153	0.809332
1	1.58489e-08	2.8713	5.00047	6.13732e-27	4.27857e-08	0.283153	0.809332
1	1.99526e-08	2.8713	5.00047	6.13732e-27	4.27857e-08	0.283153	0.809332
1	2.51189e-08	2.8713	5.00047	6.13731e-27	8.55714e-08	0.283153	0.809332
1	3.16228e-08	2.8713	5.00047	6.13731e-27	8.55714e-08	0.283153	0.809332
1	3.98107e-08	2.8713	5.00047	6.1373e-27	8.55714e-08	0.283153	0.809332
1	5.01187e-08	2.8713	5.00047	6.1373e-27	1.71143e-07	0.283153	0.809332
1	6.30957e-08	2.8713	5.00047	6.13729e-27	1.71143e-07	0.283153	0.809333
1	7.94328e-08	2.8713	5.00047	6.13728e-27	1.71143e-07	0.283153	0.809333
1	1e-07	2.8713	5.00047	6.13727e-27	3.42286e-07	0.283153	0.809333
1	1.25893e-07	2.8713	5.00047	6.13726e-27	3.42286e-07	0.283153	0.809333
1	1.58489e-07	2.8713	5.00047	6.13724e-27	3.42286e-07	0.283153	0.809333
1	1.99526e-07	2.8713	5.00047	6.13721e-27	6.84571e-07	0.283153	0.809333
1	2.51189e-07	2.8713	5.00047	6.13719e-27	6.84571e-07	0.283153	0.809333
1	3.16228e-07	2.8713	5.00047	6.13715e-27	6.84571e-07	0.283153	0.809333
1	3.98107e-07	2.8713	5.00047	6.1371e-27	1.36914e-06	0.283153	0.809333
0.999999	5.01187e-07	2.8713	5.00047	6.13704e-27	1.36914e-06	0.283153	0.809333
0.999999	6.30957e-07	2.8713	5.00047	6.13697e-27	1.36914e-06	0.283153	0.809333
0.999999	7.94328e-07	2.8713	5.00047	6.13688e-27	2.73829e-06	0.283153	0.809333
0.999999	1e-06	2.8713	5.00048	6.13676e-27	2.73829e-06	0.283153	0.809333
0.999999	1.25893e-06	2.8713	5.00048	6.13662e-27	2.73829e-06	0.283153	0.809333
0.999998	1.58489e-06	2.8713	5.00048	6.13643e-27	5.47657e-06	0.283154	0.809334
0.999998	1.99526e-06	2.8713	5.00049	6.1362e-27	5.47657e-06	0.283154	0.809334
0.999997	2.51189e-06	2.8713	5.00049	6.13591e-27	5.47657e-06	0.283154	0.809334
0.999997	3.16228e-06	2.8713	5.0005	6.13555e-27	1.09531e-05	0.283154	0.809335
0.999996	3.98107e-06	2.8712	5.00001	6.1643e-27	1.09528e-05	0.283155	0.809336
0.999995	5.01187e-06	2.8712	5.00002	6.16372e-27	1.09528e-05	0.283156	0.809336
0.999994	6.30957e-06	2.8712	5.00003	6.16298e-27	2.19055e-05	0.283156	0.809337
0.999992	7.94328e-06	2.8712	5.00004	6.16206e-27	2.19055e-05	0.283157	0.809339
0.99999	1e-05	2.8712	5.00006	6.1609e-27	2.19055e-05	0.283158	0.80934
0.999987	1.25893e-05	2.8712	5.00009	6.15943e-27	4.3811e-05	0.28316	0.809342
0.999984	1.58489e-05	2.8712	5.00012	6.15759e-27	4.3811e-05	0.283162	0.809345
0.99998	1.99526e-05	2.8712	5.00016	6.15527e-27	4.3811e-05	0.283164	0.809348
0.999975	2.51189e-05	2.8712	5.00021	6.15235e-27	8.76221e-05	0.283167	0.809352
0.999968	3.16228e-05	2.8712	5.00028	6.14868e-27	8.76221e-05	0.28317	0.809357
0.99996	3.98107e-05	2.8712	5.00036	6.14406e-27	8.76221e-05	0.283175	0.809364
0.99995	5.01187e-05	2.8712	5.00046	6.13824e-27	0.000175244	0.283181	0.809372
0.999937	6.30957e-05	2.8711	5.00009	6.16013e-27	0.000175238	0.283188	0.809382
0.999921	7.94328e-05	2.8711	5.00025	6.1509e-27	0.000175238	0.283197	0.809395
0.9999	0.0001	2.8711	5.00045	6.1393e-27	0.000350476	0.283209	0.809411
0.999874	0.000125893	2.871	5.00021	6.15389e-27	0.000350464	0.283223	0.809432
0.999842	0.000158489	2.8709	5.00003	6.16472e-27	0.000350452	0.283241	0.809457
0.9998	0.000199526	2.8709	5.00043	6.14155e-27	0.000700903	0.283264	0.80949
0.999749	0.000251189	2.8708	5.00044	6.1416e-27	0.000700879	0.283293	0.80953
