# Filename: vlt_ThermStates_lmax100_D_Cc0.80.dat
# Source: vlt_ThermStates.c
# Source version: 6 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=20.6708511201998774709, THETA=0.6
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-20	3.0246	5.0003	1.79773e-21	4.0991e-20	0.242901	0.784111
1	1.25893e-20	3.0246	5.0003	1.79773e-21	4.0991e-20	0.242901	0.784111
1	1.58489e-20	3.0246	5.0003	1.79773e-21	4.0991e-20	0.242901	0.784111
1	1.99526e-20	3.0246	5.0003	1.79773e-21	8.19819e-20	0.242901	0.784111
1	2.51189e-20	3.0246	5.0003	1.79773e-21	8.19819e-20	0.242901	0.784111
1	3.16228e-20	3.0246	5.0003	1.79773e-21	8.19819e-20	0.242901	0.784111
1	3.98107e-20	3.0246	5.0003	1.79773e-21	1.63964e-19	0.242901	0.784111
1	5.01187e-20	3.0246	5.0003	1.79773e-21	1.63964e-19	0.242901	0.784111
1	6.30957e-20	3.0246	5.0003	1.79773e-21	1.63964e-19	0.242901	0.784111
1	7.94328e-20	3.0246	5.0003	1.79773e-21	3.27928e-19	0.242901	0.784111
1	1e-19	3.0246	5.0003	1.79773e-21	3.27928e-19	0.242901	0.784111
1	1.25893e-19	3.0246	5.0003	1.79773e-21	3.27928e-19	0.242901	0.784111
1	1.58489e-19	3.0246	5.0003	1.79773e-21	6.55856e-19	0.242901	0.784111
1	1.99526e-19	3.0246	5.0003	1.79773e-21	6.55856e-19	0.242901	0.784111
1	2.51189e-19	3.0246	5.0003	1.79773e-21	6.55856e-19	0.242901	0.784111
1	3.16228e-19	3.0246	5.0003	1.79773e-21	1.31171e-18	0.242901	0.784111
1	3.98107e-19	3.0246	5.0003	1.79773e-21	1.31171e-18	0.242901	0.784111
1	5.01187e-19	3.0246	5.0003	1.79773e-21	1.31171e-18	0.242901	0.784111
1	6.30957e-19	3.0246	5.0003	1.79773e-21	2.62342e-18	0.242901	0.784111
1	7.94328e-19	3.0246	5.0003	1.79773e-21	2.62342e-18	0.242901	0.784111
1	1e-18	3.0246	5.0003	1.79773e-21	2.62342e-18	0.242901	0.784111
1	1.25893e-18	3.0246	5.0003	1.79773e-21	5.24684e-18	0.242901	0.784111
1	1.58489e-18	3.0246	5.0003	1.79773e-21	5.24684e-18	0.242901	0.784111
1	1.99526e-18	3.0246	5.0003	1.79773e-21	5.24684e-18	0.242901	0.784111
1	2.51189e-18	3.0246	5.0003	1.79773e-21	1.04937e-17	0.242901	0.784111
1	3.16228e-18	3.0246	5.0003	1.79773e-21	1.04937e-17	0.242901	0.784111
1	3.98107e-18	3.0246	5.0003	1.79773e-21	1.04937e-17	0.242901	0.784111
1	5.01187e-18	3.0246	5.0003	1.79773e-21	2.09874e-17	0.242901	0.784111
