# Filename: 2Dvpt_flow_Op3_K0.935_y0.000_step1000000.dat
# Source: 2Dvpt_flow.c
# Source version: 1 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Initialized values: Deltas=0, Deltal=0, count_steps=0
# Option-dependent values: K=0.934815527215075547929, y=9.84206969064035399036e-05, Kstar=0.636619772367581382433, ystar=                    0, flowdir=0, Max_steps=1000000, FudgeFactor=1, Vmfactor=1
# Parameter values: OpA=3, A2=124.025106721199264825, N=2, trajectorydl=1e-05, trajectorydsMax=1e-05, dataskipdl=999, dataskipds=999
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.93481552721507555	9.842069690640354e-05	0	0
1	0.93481542054471523	9.8418852894948533e-05	1e-05	1.06686e-07
2	0.93481531387637784	9.8417008918702558e-05	2e-05	2.13371e-07
3	0.93481520721006339	9.8415164977664924e-05	3e-05	3.20053e-07
4	0.93481510054577177	9.8413321071834925e-05	4e-05	4.26733e-07
5	0.93481499388350286	9.8411477201211872e-05	5e-05	5.33411e-07
6	0.93481488722325679	9.8409633365795072e-05	6e-05	6.40087e-07
7	0.93481478056503342	9.8407789565583821e-05	7e-05	7.46762e-07
8	0.93481467390883277	9.8405945800577428e-05	8e-05	8.53434e-07
9	0.93481456725465473	9.8404102070775187e-05	9e-05	9.60104e-07
10	0.93481446060249929	9.8402258376176409e-05	0.0001	1.06677e-06
999	0.93470996543640117	9.6595966351894236e-05	0.00999	0.000105578
1998	0.93460638362394277	9.4805688773680151e-05	0.01998	0.000209175
2997	0.93450474355568591	9.3049190895668477e-05	0.02997	0.00031083
3996	0.93440500778727975	9.132581343016979e-05	0.03996	0.000410581
4995	0.93430713963476486	8.9634910757199559e-05	0.04995	0.000508463
5994	0.93421110315773459	8.7975850612193187e-05	0.05994	0.000604514
6993	0.93411686314291142	8.634801378188005e-05	0.06993	0.000698768
7992	0.93402438508814478	8.4750793808068797e-05	0.07992	0.00079126
8991	0.93393363518681127	8.3183596699102095e-05	0.08991	0.000882024
9990	0.93384458031257966	8.1645840648751533e-05	0.0999	0.000971092
10989	0.9337571880045753	8.0136955762330343e-05	0.10989	0.0010585
11988	0.93367142645290579	7.8656383789807552e-05	0.11988	0.00114427
12987	0.93358726448452545	7.7203577865716513e-05	0.12987	0.00122845
13986	0.93350467154946626	7.5778002255654571e-05	0.13986	0.00131105
14985	0.93342361770739235	7.4379132109185367e-05	0.14985	0.00139212
15984	0.93334407361447491	7.3006453218951313e-05	0.15984	0.00147167
16983	0.93326601051060132	7.1659461785816088e-05	0.16983	0.00154975
17982	0.93318940020687213	7.0337664189866329e-05	0.17982	0.00162637
18981	0.93311421507340686	6.9040576767097789e-05	0.18981	0.00170157
19980	0.93304042802744913	6.7767725591626269e-05	0.1998	0.00177536
20979	0.93296801252173278	6.6518646263265209e-05	0.20979	0.00184779
21978	0.93289694253314315	6.5292883700314542e-05	0.21978	0.00191887
22977	0.93282719255163982	6.4089991937415632e-05	0.22977	0.00198863
23976	0.9327587375694304	6.2909533928329084e-05	0.23976	0.0020571
24975	0.93269155307041318	6.1751081353496204e-05	0.24975	0.00212429
25974	0.93262561501985608	6.0614214432251028e-05	0.25974	0.00219024
26973	0.93256089985432178	5.9498521739552358e-05	0.26973	0.00225496
27972	0.93249738447181219	5.8403600027112994e-05	0.27972	0.00231849
28971	0.93243504622216011	5.7329054048802319e-05	0.28971	0.00238084
29970	0.93237386289763757	5.6274496390206185e-05	0.2997	0.00244203
30969	0.93231381272375957	5.52395473022294e-05	0.30969	0.00250209
31968	0.93225487435032828	5.4223834538632405e-05	0.31968	0.00256103
32967	0.93219702684265648	5.3226993197394209e-05	0.32967	0.00261889
33966	0.93214024967300213	5.2248665565798159e-05	0.33966	0.00267568
34965	0.93208452271219899	5.1288500969141476e-05	0.34965	0.00273141
35964	0.93202982622146691	5.0346155622970682e-05	0.35964	0.00278612
36963	0.93197614084441183	4.9421292488749122e-05	0.36963	0.00283981
37962	0.93192344759920909	4.8513581132866426e-05	0.37962	0.00289251
38961	0.93187172787095207	4.762269758890013e-05	0.38961	0.00294424
39960	0.93182096340418097	4.6748324223044944e-05	0.3996	0.00299501
40959	0.93177113629556363	4.5890149602626446e-05	0.40959	0.00304484
41958	0.93172222898675472	4.504786836761824e-05	0.41958	0.00309376
42957	0.9316742242574082	4.4221181105085385e-05	0.42957	0.00314177
43956	0.93162710521833458	4.3409794226477294e-05	0.43956	0.0031889
44955	0.93158085530481982	4.2613419847697719e-05	0.44955	0.00323515
45954	0.93153545827007866	4.1831775671879503e-05	0.45954	0.00328056
46953	0.93149089817886876	4.106458487479642e-05	0.46953	0.00332512
47952	0.93144715940122358	4.0311575992842792e-05	0.47952	0.00336887
48951	0.9314042266063286	3.9572482813518108e-05	0.48951	0.00341181
49950	0.93136208475654503	3.8847044268350815e-05	0.4995	0.00345396
50949	0.9313207191015368	3.813500432820316e-05	0.50949	0.00349533
51948	0.93128011517254605	3.7436111900893234e-05	0.51948	0.00353594
52947	0.93124025877677696	3.6750120731080913e-05	0.52947	0.0035758
53946	0.93120113599190535	3.607678930235725e-05	0.53946	0.00361493
54945	0.9311627331607123	3.5415880741485838e-05	0.54945	0.00365334
55944	0.93112503688582104	3.4767162724740937e-05	0.55944	0.00369104
56943	0.93108803402454976	3.4130407386291666e-05	0.56943	0.00372805
57942	0.93105171168387679	3.3505391228582467e-05	0.57942	0.00376438
58941	0.93101605721550829	3.2891895034660828e-05	0.58941	0.00380004
59940	0.93098105821105492	3.2289703782403363e-05	0.5994	0.00383504
60939	0.93094670249730294	3.1698606560597729e-05	0.60939	0.0038694
61938	0.9309129781315939	3.1118396486831772e-05	0.61938	0.00390313
62937	0.93087987339729006	3.0548870627148947e-05	0.62937	0.00393624
63936	0.9308473767993436	2.9989829917426415e-05	0.63936	0.00396874
64935	0.93081547705995826	2.9441079086435651e-05	0.64935	0.00400064
65934	0.93078416311433765	2.8902426580544511e-05	0.65934	0.00403196
66933	0.93075342410651907	2.837368449002222e-05	0.66933	0.00406271
67932	0.9307232493853006	2.7854668476909706e-05	0.67932	0.00409289
68931	0.93069362850025072	2.7345197704417866e-05	0.68931	0.00412251
69930	0.93066455119779512	2.6845094767818296e-05	0.6993	0.00415159
70929	0.93063600741739338	2.6354185626791355e-05	0.70929	0.00418014
71928	0.93060798728778482	2.5872299539197342e-05	0.71928	0.00420817
72927	0.93058048112332048	2.5399268996238575e-05	0.72927	0.00423568
73926	0.93055347942035826	2.4934929658978961e-05	0.73926	0.00426268
74925	0.93052697285374975	2.4479120296190571e-05	0.74925	0.00428919
75924	0.93050095227337759	2.4031682723496265e-05	0.75924	0.00431522
76923	0.93047540870078116	2.3592461743778853e-05	0.76923	0.00434076
77922	0.93045033332584015	2.3161305088827625e-05	0.77922	0.00436584
78921	0.93042571750353131	2.2738063362194087e-05	0.78921	0.00439046
79920	0.93040155275074732	2.2322589983229762e-05	0.7992	0.00441463
80919	0.93037783074318103	2.191474113227827e-05	0.80919	0.00443836
81918	0.93035454331227418	2.1514375696996938e-05	0.81918	0.00446165
82917	0.93033168244222253	2.1121355219781598e-05	0.82917	0.00448451
