# Filename: 2Dvpt_flow_Op3_K10.622_y0.095_step20000000.dat
# Source: 2Dvpt_flow.c
# Source version: 1 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Initialized values: Deltas=0, Deltal=0, count_steps=0
# Option-dependent values: K=10.6224397963207071172, y=0.094962419501611217143, Kstar=0.636619772367581382433, ystar=                    0, flowdir=0, Max_steps=20000000
# Parameter values: OpA=3, A2=124.025106721199264825, N=2, trajectorydl=1e-05, trajectorydsMax=1e-05, dataskipdl=999, dataskipds=999
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	10.622439796320707	0.094962419501611217	0	0
1	10.622434788550603	0.094962397049875802	3.76821e-09	5.00782e-06
2	10.622429780780504	0.094962374598130492	7.53642e-09	1.00156e-05
3	10.62242477301041	0.094962352146375301	1.13046e-08	1.50235e-05
4	10.622419765240322	0.094962329694610229	1.50729e-08	2.00313e-05
5	10.622414757470239	0.094962307242835262	1.88411e-08	2.50391e-05
6	10.622409749700161	0.094962284791050414	2.26093e-08	3.00469e-05
7	10.622404741930088	0.094962262339255671	2.63775e-08	3.50547e-05
8	10.622399734160021	0.094962239887451047	3.01458e-08	4.00626e-05
9	10.62239472638996	0.094962217435636542	3.3914e-08	4.50704e-05
10	10.622389718619903	0.094962194983812143	3.76823e-08	5.00782e-05
999	10.617437036608161	0.094939985288242865	3.76665e-06	0.00500281
1998	10.612434282144225	0.094917541199855335	7.53774e-06	0.0100056
2997	10.607431532928214	0.094895087227778882	1.13133e-05	0.0150084
3996	10.602428788959449	0.094872623363331743	1.50933e-05	0.0200112
4995	10.597426050237248	0.094850149597821343	1.88777e-05	0.025014
5994	10.592423316760916	0.09482766592254295	2.26666e-05	0.0300168
6993	10.587420588529767	0.094805172328781231	2.646e-05	0.0350196
7992	10.582417865543121	0.094782668807808987	3.02579e-05	0.0400223
8991	10.577415147800293	0.094760155350887595	3.40603e-05	0.0450251
9990	10.57241243530059	0.09473763194926671	3.78672e-05	0.0500279
10989	10.567409728043328	0.094715098594184755	4.16785e-05	0.0550306
11988	10.562407026027815	0.09469255527686915	4.54944e-05	0.0600334
12987	10.557404329253375	0.094670001988534841	4.93148e-05	0.0650361
13986	10.552401637719315	0.094647438720385807	5.31398e-05	0.0700389
14985	10.547398951424947	0.094624865463614066	5.69693e-05	0.0750416
15984	10.542396270369583	0.094602282209400618	6.08033e-05	0.0800443
16983	10.53739359455253	0.094579688948914192	6.46419e-05	0.0850471
17982	10.532390923973107	0.094557085673311961	6.8485e-05	0.0900498
18981	10.527388258630616	0.094534472373739936	7.23327e-05	0.0950525
19980	10.522385598524378	0.094511849041332113	7.6185e-05	0.100055
20979	10.517382943653695	0.094489215667210538	8.00419e-05	0.105058
21978	10.512380294017881	0.094466572242485808	8.39033e-05	0.110061
22977	10.507377649616254	0.094443918758257084	8.77694e-05	0.115063
23976	10.502375010448109	0.094421255205611287	9.16401e-05	0.120066
24975	10.497372376512761	0.094398581575623655	9.55153e-05	0.125069
25974	10.492369747809521	0.094375897859358057	9.93953e-05	0.130071
26973	 10.4873671243377	0.094353204047865985	0.00010328	0.135074
27972	10.482364506096609	0.094330500132187217	0.000107169	0.140077
28971	10.477361893085554	0.09430778610334957	0.000111063	0.145079
29970	10.472359285303838	0.094285061952368937	0.000114961	0.150082
30969	10.467356682750781	0.094262327670250237	0.000118864	0.155085
31968	10.462354085425673	0.094239583247985065	0.000122772	0.160087
32967	10.457351493327842	0.094216828676554162	0.000126685	0.16509
33966	10.452348906456587	0.094194063946925519	0.000130602	0.170093
34965	10.447346324811205	0.09417128905005534	0.000134524	0.175095
35964	10.442343748391021	0.094148503976888176	0.00013845	0.180098
36963	10.437341177195334	0.094125708718356266	0.000142382	0.185101
37962	10.432338611223447	0.094102903265379817	0.000146318	0.190103
38961	10.42733605047467	0.09408008760886695	0.000150258	0.195106
39960	10.42233349494831	0.094057261739713294	0.000154204	0.200108
40959	10.417330944643671	0.094034425648803557	0.000158154	0.205111
41958	10.412328399560058	0.094011579327009182	0.000162109	0.210114
42957	10.407325859696789	0.093988722765189783	0.000166069	0.215116
43956	10.402323325053144	0.093965855954192712	0.000170033	0.220119
44955	10.397320795628447	0.093942978884853326	0.000174003	0.225121
45954	10.39231827142199	0.093920091547994522	0.000177977	0.230124
46953	10.387315752433086	0.09389719393442697	0.000181955	0.235126
47952	10.382313238661038	0.093874286034949128	0.000185939	0.240129
48951	10.377310730105149	0.093851367840347547	0.000189928	0.245132
49950	10.372308226764725	0.093828439341395592	0.000193921	0.250134
50949	10.367305728639069	0.093805500528855598	0.000197919	0.255137
51948	10.362303235727477	0.093782551393476063	0.000201922	0.260139
52947	10.357300748029258	0.093759591925993938	0.00020593	0.265142
53946	10.352298265543716	0.093736622117133753	0.000209942	0.270144
54945	10.347295788270149	0.093713641957607396	0.00021396	0.275147
55944	10.342293316207858	0.093690651438114295	0.000217982	0.280149
56943	10.337290849356151	0.093667650549341716	0.000222009	0.285152
57942	10.332288387714332	0.093644639281964245	0.000226042	0.290154
58941	10.327285931281688	0.093621617626643547	0.000230079	0.295157
59940	10.322283480057536	0.093598585574029766	0.000234121	0.300159
60939	10.317281034041155	0.093575543114759227	0.000238167	0.305162
61938	10.31227859323187	0.093552490239456915	0.000242219	0.310164
62937	10.307276157628976	0.093529426938734186	0.000246276	0.315167
63936	10.302273727231769	0.09350635320319077	0.000250337	0.320169
64935	10.297271302039546	0.093483269023412377	0.000254404	0.325172
65934	10.292268882051605	0.093460174389973616	0.000258476	0.330174
66933	10.287266467267258	0.093437069293435357	0.000262552	0.335177
67932	10.282264057685788	0.093413953724345911	0.000266633	0.340179
68931	10.277261653306509	0.093390827673241222	0.00027072	0.345182
69930	10.272259254128715	0.093367691130644137	0.000274811	0.350184
70929	10.267256860151702	0.093344544087064676	0.000278908	0.355187
71928	10.262254471374764	0.093321386533000331	0.000283009	0.360189
72927	10.257252087797207	0.093298218458935614	0.000287116	0.365192
73926	10.252249709418329	0.093275039855342468	0.000291227	0.370194
74925	10.24724733623742	0.093251850712679218	0.000295344	0.375196
75924	10.242244968253784	0.093228651021392217	0.000299465	0.380199
76923	10.237242605466713	0.093205440771914241	0.000303592	0.385201
77922	10.232240247875509	0.093182219954665607	0.000307723	0.390204
78921	10.22723789547946	0.093158988560053446	0.00031186	0.395206
79920	10.222235548277872	0.093135746578471471	0.000316002	0.400208
80919	10.217233206270036	0.093112494000300985	0.000320149	0.405211
81918	10.212230869455249	0.093089230815910001	0.000324301	0.410213
82917	10.207228537832814	0.093065957015653317	0.000328458	0.415216
83916	10.202226211402003	0.093042672589873254	0.00033262	0.420218
84915	10.197223890162128	0.093019377528898467	0.000336787	0.42522
85914	10.192221574112477	0.092996071823044452	0.00034096	0.430223
86913	10.187219263252354	0.092972755462613715	0.000345137	0.435225
87912	10.182216957581041	0.092949428437895915	0.00034932	0.440227
88911	10.177214657097842	0.092926090739167022	0.000353508	0.44523
89910	10.172212361802048	0.092902742356689758	0.000357701	0.450232
90909	10.167210071692953	0.092879383280714059	0.000361899	0.455234
91908	10.162207786769843	0.092856013501476264	0.000366103	0.460237
92907	10.157205507032025	0.092832633009199625	0.000370312	0.465239
93906	10.152203232478781	0.092809241794093694	0.000374525	0.470241
94905	10.147200963109407	0.092785839846354745	0.000378744	0.475244
95904	10.142198698923197	0.092762427156166311	0.000382969	0.480246
96903	10.137196439919453	0.09273900371369774	0.000387198	0.485248
97902	10.132194186097436	0.092715569509105408	0.000391433	0.490251
98901	10.127191937456463	0.092692124532531991	0.000395673	0.495253
99900	10.122189693995818	0.092668668774107024	0.000399918	0.500255
100899	10.117187455714788	0.092645202223946205	0.000404169	0.505258
101898	10.112185222612672	0.092621724872151937	0.000408424	0.51026
102897	10.107182994688753	0.092598236708812981	0.000412686	0.515262
103896	10.102180771942328	0.092574737724004708	0.000416952	0.520265
104895	10.097178554372686	0.092551227907788622	0.000421224	0.525267
105894	10.092176341979107	0.092527707250212712	0.000425501	0.530269
106893	10.087174134760891	0.092504175741311687	0.000429783	0.535271
107892	10.082171932717324	0.092480633371106208	0.000434071	0.540274
108891	10.077169735847693	0.092457080129603353	0.000438364	0.545276
109890	10.072167544151291	0.092433516006795974	0.000442662	0.550278
110889	10.067165357627402	0.09240994099266446	0.000446966	0.55528
111888	10.062163176275316	0.092386355077174173	0.000451275	0.560283
112887	10.057161000094341	0.092362758250277385	0.000455589	0.565285
113886	10.052158829083718	0.092339150501912215	0.000459909	0.570287
114885	10.047156663242767	0.092315531822002833	0.000464235	0.575289
115884	10.042154502570771	0.092291902200460268	0.000468565	0.580291
116883	10.037152347067016	0.092268261627180964	0.000472901	0.585294
117882	10.032150196730788	0.092244610092047846	0.000477243	0.590296
118881	10.027148051561369	0.092220947584929477	0.00048159	0.595298
119880	10.022145911558054	0.092197274095680889	0.000485942	0.6003
120879	10.017143776720125	0.092173589614142459	0.0004903	0.605302
121878	10.01214164704686	0.092149894130141644	0.000494664	0.610305
122877	10.007139522537557	0.092126187633491119	0.000499033	0.615307
123876	10.002137403191497	0.092102470113989809	0.000503407	0.620309
124875	9.9971352890079661	0.092078741561422137	0.000507787	0.625311
125874	9.9921331799862472	0.092055001965558478	0.000512172	0.630313
126873	9.9871310761256193	0.092031251316155374	0.000516563	0.635315
127872	9.9821289774253721	0.092007489602955031	0.00052096	0.640318
128871	9.9771268838847931	0.091983716815685332	0.000525362	0.64532
129870	9.9721247955031629	0.091959932944060602	0.000529769	0.650322
130869	9.9671227122797657	0.091936137977779969	0.000534182	0.655324
131868	9.9621206342138784	0.091912331906528824	0.000538601	0.660326
132867	9.9571185613047941	0.091888514719978248	0.000543025	0.665328
133866	9.9521164935517881	0.091864686407784613	0.000547455	0.67033
134865	9.9471144309541462	0.091840846959590508	0.00055189	0.675333
135864	9.9421123735111472	0.091816996365023787	0.000556331	0.680335
136863	9.937110321222077	0.091793134613697661	0.000560778	0.685337
137862	9.9321082740862128	0.091769261695211518	0.00056523	0.690339
138861	9.9271062321028456	0.091745377599150385	0.000569688	0.695341
139860	9.9221041952712454	0.091721482315084063	0.000574152	0.700343
140859	9.9171021635906929	0.091697575832568337	0.000578621	0.705345
141858	9.9121001370604773	0.091673658141144088	0.000583096	0.710347
142857	9.9070981156798759	0.09164972923033804	0.000587576	0.715349
143856	9.9020960994481673	0.091625789089661777	0.000592063	0.720351
144855	9.8970940883646339	0.091601837708613132	0.000596555	0.725353
145854	9.8920920824285545	0.091577875076674448	0.000601052	0.730356
146853	9.8870900816392027	0.091553901183314024	0.000605556	0.735358
147852	9.8820880859958553	0.09152991601798513	0.000610065	0.74036
148851	9.877086095497809	0.091505919570126007	0.00061458	0.745362
149850	9.8720841101443284	0.0914819118291611	0.000619101	0.750364
150849	9.8670821299346958	0.091457892784499131	0.000623627	0.755366
151848	 9.86208015486819	0.09143386242553446	0.000628159	0.760368
152847	9.8570781849440845	0.09140982074164633	0.000632697	0.76537
153846	9.8520762201616812	0.09138576772219939	0.000637241	0.770372
154845	9.8470742605202162	0.091361703356543408	0.000641791	0.775374
155844	9.8420723060189879	0.091337627634012861	0.000646346	0.780376
156843	9.8370703566572697	0.09131354054392779	0.000650907	0.785378
157842	9.8320684124343405	0.091289442075592753	0.000655475	0.79038
158841	9.8270664733494772	0.091265332218298106	0.000660047	0.795382
159840	9.8220645394019535	0.091241210961318334	0.000664626	0.800384
160839	9.8170626105910461	0.091217078293913068	0.000669211	0.805386
161838	9.8120606869160341	0.091192934205326787	0.000673802	0.810388
162837	9.8070587683761907	0.09116877868478962	0.000678398	0.81539
163836	9.802056854970786	0.091144611721515403	0.000683	0.820392
164835	9.7970549466991024	0.091120433304703943	0.000687609	0.825394
165834	9.7920530435604114	0.091096243423538864	0.000692223	0.830396
166833	9.7870511455539866	0.091072042067188788	0.000696843	0.835398
167832	9.782049252679105	0.091047829224807322	0.000701469	0.8404
168831	9.7770473649350382	0.091023604885533391	0.000706101	0.845402
169830	9.7720454823210545	0.090999369038489555	0.000710739	0.850404
170829	9.7670436048364362	0.090975121672783363	0.000715383	0.855405
171828	9.7620417324804443	0.09095086277750708	0.000720033	0.860407
172827	9.7570398652523664	0.090926592341737653	0.000724689	0.865409
173826	9.7520380031514744	0.090902310354536373	0.000729351	0.870411
174825	9.7470361461770239	0.090878016804949127	0.000734019	0.875413
175824	9.7420342943283007	0.090853711682006538	0.000738694	0.880415
176823	9.7370324476045766	0.090829394974723837	0.000743374	0.885417
177822	9.7320306060051216	0.09080506667209999	0.00074806	0.890419
178821	9.7270287695292037	0.09078072676311924	0.000752752	0.895421
179820	9.7220269381760946	0.090756375236749884	0.000757451	0.900423
180819	9.7170251119450288	0.09073201208194423	0.000762155	0.905425
181818	9.7120232908353348	0.090707637287639559	0.000766866	0.910426
182817	9.7070214748462806	0.090683250842756885	0.000771582	0.915428
183816	9.702019663977115	0.090658852736201972	0.000776305	0.92043
184815	9.6970178582271096	0.090634442956864597	0.000781034	0.925432
185814	9.6920160575955308	0.090610021493618895	0.000785769	0.930434
186813	9.6870142620816555	0.090585588335323125	0.00079051	0.935436
187812	9.6820124716847467	0.090561143470819574	0.000795258	0.940438
188811	9.677010686404083	0.09053668688893457	0.000800011	0.945439
189810	9.6720089062389185	0.0905122185784792	0.000804771	0.950441
190809	9.6670071311885284	0.090487738528247944	0.000809537	0.955443
191808	9.6620053612521861	0.090463246727019692	0.00081431	0.960445
192807	9.6570035964291456	0.090438743163556948	0.000819088	0.965447
193806	9.6520018367186804	0.090414227826606977	0.000823873	0.970449
194805	9.6470000821200568	0.090389700704900197	0.000828664	0.97545
195804	 9.64199833263255	0.090365161787151177	0.000833461	0.980452
196803	 9.63699658825543	0.090340611062058734	0.000838265	0.985454
197802	9.6319948489879401	0.090316048518305103	0.000843074	0.990456
198801	9.6269931148293644	0.09029147414455628	0.000847891	0.995458
199800	9.6219913857789638	0.090266887929462761	0.000852713	1.00046
200799	9.6169896618360067	0.090242289861657859	0.000857542	1.00546
201798	9.6119879429997539	0.090217679929759625	0.000862377	1.01046
202797	9.6069862292694772	0.090193058122368955	0.000867218	1.01546
203796	9.6019845206444323	0.090168424428070965	0.000872066	1.02047
204795	9.5969828171238927	0.09014377883543441	0.00087692	1.02547
205794	9.591981118707114	0.090119121333011198	0.000881781	1.03047
206793	9.586979425393368	0.090094451909337139	0.000886648	1.03547
207792	9.5819777371819193	0.090069770552931749	0.000891521	1.04047
208791	9.5769760540720217	0.090045077252297698	0.000896401	1.04548
209790	9.5719743760629505	0.090020371995921944	0.000901287	1.05048
210789	9.566972703153958	0.089995654772273684	0.00090618	1.05548
211788	9.5619710353443192	0.089970925569806515	0.000911079	1.06048
212787	9.5569693726332812	0.089946184376956992	0.000915985	1.06548
213786	9.5519677150201083	0.089921431182144962	0.000920897	1.07048
214785	9.5469660625041222	0.089896665973773743	0.000925816	1.07549
215784	9.541964415084486	0.089871888740230249	0.000930741	1.08049
216783	9.5369627727605053	0.089847099469884437	0.000935672	1.08549
217782	9.5319611355314482	0.089822298151089414	0.000940611	1.09049
218781	9.5269595033965651	0.089797484772181524	0.000945555	1.09549
219780	9.5219578763551169	0.089772659321480208	0.000950507	1.10049
220779	9.5169562544063773	0.089747821787288143	0.000955464	1.1055
221778	9.5119546375495947	0.089722972157891268	0.000960429	1.1105
222777	9.5069530257840302	0.089698110421558688	0.0009654	1.1155
223776	9.5019514191089467	0.089673236566542122	0.000970377	1.1205
224775	9.4969498175236069	0.089648350581076744	0.000975362	1.1255
225774	9.4919482210272594	0.089623452453380242	0.000980353	1.1305
226773	9.4869466296191742	0.089598542171653611	0.00098535	1.13551
227772	9.4819450432986017	0.089573619724080719	0.000990354	1.14051
228771	9.4769434620648045	0.089548685098828129	0.000995365	1.14551
229770	9.4719418859170474	0.089523738284045334	0.00100038	1.15051
230769	9.4669403148545719	0.089498779267864759	0.00100541	1.15551
231768	9.4619387488766478	0.089473808038401381	0.00101044	1.16051
232767	9.4569371879825344	0.089448824583753639	0.00101548	1.16552
233766	9.4519356321714767	0.089423828892001747	0.00102052	1.17052
234765	9.4469340814427589	0.089398820951208824	0.00102557	1.17552
235764	9.4419325357955994	0.089373800749421417	0.00103063	1.18052
236763	9.4369309952292735	0.089348768274667437	0.00103569	1.18552
237762	9.4319294597430385	0.089323723514958361	0.00104077	1.19052
238761	9.4269279293361397	0.089298666458288004	0.00104584	1.19553
239760	9.4219264040078503	0.089273597092632551	0.00105093	1.20053
240759	9.4169248837574138	0.089248515405950649	0.00105602	1.20553
241758	9.4119233685840893	0.089223421386183541	0.00106112	1.21053
242757	9.4069218584871308	0.089198315021254734	0.00106622	1.21553
243756	9.4019203534657869	0.089173196299070334	0.00107134	1.22053
244755	9.3969188535193222	0.089148065207518515	0.00107646	1.22553
245754	9.3919173586469906	0.08912292173447002	0.00108158	1.23054
246753	9.3869158688480372	0.089097765867777831	0.00108672	1.23554
247752	9.3819143841217123	0.089072597595277039	0.00109186	1.24054
248751	9.3769129044672823	0.089047416904784737	0.001097	1.24554
249750	9.3719114298839958	0.089022223784100837	0.00110216	1.25054
250749	9.366909960371105	0.08899701822100696	0.00110732	1.25554
251748	9.3619084959278567	0.088971800203267157	0.00111249	1.26055
252747	9.3569070365535083	0.08894656971862705	0.00111766	1.26555
253746	9.3519055822473156	0.088921326754814553	0.00112284	1.27055
254745	9.3469041330085219	0.088896071299539844	0.00112803	1.27555
255744	9.3419026888363863	0.088870803340494783	0.00113323	1.28055
256743	9.3369012497301505	0.088845522865352938	0.00113843	1.28555
257742	 9.33189981568907	0.08882022986177053	0.00114364	1.29055
258741	9.3268983867124025	0.088794924317384893	0.00114886	1.29556
259740	9.3218969627993946	0.088769606219815	0.00115408	1.30056
260739	9.3168955439492933	0.088744275556662727	0.00115931	1.30556
261738	9.3118941301613471	0.08871893231551102	0.00116455	1.31056
262737	9.3068927214348136	0.08869357648392448	0.0011698	1.31556
263736	9.3018913177689395	0.088668208049449471	0.00117505	1.32056
264735	9.2968899191629681	0.088642826999614108	0.00118031	1.32556
265734	9.2918885256161516	0.088617433321927938	0.00118558	1.33057
266733	9.2868871371277386	0.088592027003882759	0.00119085	1.33557
267732	9.2818857536969777	0.088566608032950689	0.00119613	1.34057
268731	9.2768843753231138	0.088541176396586485	0.00120142	1.34557
269730	9.2718830020054046	0.088515732082225962	0.00120672	1.35057
270729	9.2668816337430826	0.088490275077286282	0.00121202	1.35557
271728	9.2618802705354089	0.088464805369165914	0.00121733	1.36058
272727	9.2568789123816213	0.088439322945245105	0.00122265	1.36558
273726	9.251877559280981	0.088413827792885064	0.00122797	1.37058
274725	9.2468762112327134	0.088388319899428427	0.0012333	1.37558
275724	9.2418748682360761	0.088362799252198976	0.00123864	1.38058
276723	9.236873530290314	0.088337265838501738	0.00124399	1.38558
