# Filename: 2Dvpt_flow_Op4_K0.730_y0.001_step1000000.dat
# Source: 2Dvpt_flow.c
# Source version: 1 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Initialized values: Deltas=0, Deltal=0, count_steps=0
# Option-dependent values: K=0.729612118802010267693, y=0.000745852290917506854581, Kstar=0.636619772367581382433, ystar=                    0, flowdir=0, Max_steps=1000000, FudgeFactor=1, Vmfactor=1
# Parameter values: OpA=4, A2=124.025106721199264825, N=2, trajectorydl=1e-05, trajectorydsMax=1e-05, dataskipdl=999, dataskipds=999
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.72961211880201027	0.00074585229091750685	0	0
1	0.72961261123606269	0.00074585664886829041	-1e-05	4.92453e-07
2	0.72961310367365706	0.00074586100686761456	-2e-05	9.8491e-07
3	0.72961359611479348	0.00074586536491547996	-3e-05	1.47737e-06
4	0.72961408855947196	0.00074586972301188736	-4e-05	1.96983e-06
5	0.7296145810076925	0.00074587408115683754	-5e-05	2.4623e-06
6	0.7296150734594552	0.00074587843935033113	-6e-05	2.95477e-06
7	0.72961556591476018	0.0007458827975923689	-7e-05	3.44725e-06
8	0.72961605837360732	0.00074588715588295149	-8e-05	3.93973e-06
9	0.72961655083599675	0.00074589151422207968	-9e-05	4.43221e-06
10	0.72961704330192856	0.0007458958726097542	-0.0001	4.92469e-06
999	0.73010583359367864	0.00075023020100094468	-0.00999	0.000493734
1998	0.7306031285959349	0.00075465727906610827	-0.01998	0.000991049
2997	0.73110404988502065	0.00075913426314315024	-0.02997	0.00149199
3996	0.73160864433489348	0.00076366190559085611	-0.03996	0.0019966
4995	0.73211695963485346	0.00076824097343717104	-0.04995	0.00250494
5994	0.73262904430764708	0.00077287224872935858	-0.05994	0.00301705
6993	0.73314494772805683	0.00077755652889408618	-0.06993	0.00353297
7992	0.73366472014199757	0.00078229462710778237	-0.07992	0.00405277
8991	0.73418841268613244	0.00078708737267760059	-0.08991	0.00457648
9990	0.73471607740802303	0.00079193561143333789	-0.0999	0.00510417
10989	0.73524776728683572	0.00079684020613068115	-0.10989	0.00563588
11988	0.73578353625462611	0.00080180203686615673	-0.11988	0.00617167
12987	0.73632343921820864	0.00080682200150418123	-0.12987	0.0067116
13986	0.73686753208163891	0.00081190101611662905	-0.13986	0.00725571
14985	0.73741587176932266	0.00081704001543531546	-0.14985	0.00780408
15984	0.7379685162497841	0.00082223995331788199	-0.15984	0.00835675
16983	0.73852552456010123	0.00082750180322750655	-0.16983	0.00891378
17982	0.73908695683104753	0.00083282655872693164	-0.17982	0.00947524
18981	0.73965287431293081	0.00083821523398730892	-0.18981	0.0100412
19980	0.74022333940220375	0.00084366886431236506	-0.1998	0.0106117
20979	0.74079841566882065	0.00084918850667844363	-0.20979	0.0111868
21978	0.74137816788440569	0.00085477524029095781	-0.21978	0.0117666
22977	0.74196266205122485	0.00086043016715786017	-0.22977	0.0123511
23976	0.74255196543203894	0.00086615441268071995	-0.23976	0.0129404
24975	0.7431461465807977	0.00087194912626403526	-0.24975	0.0135346
25974	0.74374527537427682	0.00087781548194342787	-0.25974	0.0141338
26973	0.74434942304464902	0.00088375467903344085	-0.26973	0.014738
27972	0.74495866221301932	0.00088976794279558473	-0.27972	0.0153472
28971	0.74557306692398762	0.00089585652512743242	-0.28971	0.0159617
29970	0.7461927126812512	0.00090202170527348851	-0.2997	0.0165813
30969	0.7468176764842851	0.000908264790558668	-0.30969	0.0172063
31968	0.74744803686615324	0.00091458711714519048	-0.31968	0.0178367
32967	0.7480838739324861	0.0009209900508137742	-0.32967	0.0184726
33966	0.7487252694016564	0.00092747498777005441	-0.33966	0.019114
34965	0.74937230664620602	0.00093404335547713304	-0.34965	0.0197611
35964	0.75002507073557578	0.00094069661351528977	-0.35964	0.0204139
36963	0.75068364848017555	0.00094743625446985129	-0.36963	0.0210725
37962	0.75134812847684107	0.00095426380484831203	-0.37962	0.021737
38961	0.75201860115575003	0.00096118082602782314	-0.38961	0.0224075
39960	0.75269515882882554	0.00096818891523421744	-0.3996	0.0230841
40959	0.75337789573971015	0.00097528970655379416	-0.40959	0.0237669
41958	0.75406690811534782	0.0009824848719791428	-0.41958	0.0244559
42957	0.75476229421923824	0.00098977612249034528	-0.42957	0.0251514
43956	0.7554641544064481	0.00099716520917290724	-0.43956	0.0258533
44955	0.75617259118042579	0.0010046539243739609	-0.44955	0.0265617
45954	0.75688770925169191	0.0010122441028981642	-0.45954	0.0272769
46953	0.75760961559848627	0.0010199376232449637	-0.46953	0.0279988
47952	0.7583384195294528	0.0010277364088888245	-0.47952	0.0287277
48951	0.75907423274842745	0.001035642429604217	-0.48951	0.0294635
49950	0.75981716942142274	0.0010436577028371614	-0.4995	0.0302065
50949	0.76056734624590205	0.001051784295125227	-0.50949	0.0309567
51948	0.76132488252241648	0.0010600243235680043	-0.51948	0.0317143
52947	0.76208990022872636	0.001068379957350129	-0.52947	0.0324794
53946	0.76286252409649202	0.0010768534193190125	-0.53946	0.0332521
54945	0.76364288169063188	0.0010854469876196574	-0.54945	0.0340325
55944	0.76443110349148702	0.0010941629973888654	-0.55944	0.0348207
56943	0.7652273229798735	0.0011030038425114256	-0.56943	0.035617
