# Filename: 3Dvlt_flow_plot_Op31133_K0.608_y0.125_step1000000.dat
# Source: 3Dvlt_flow_plot.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpB=1, OpC=1, OpD=3, OpE=3, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.607927101854026652461, y=                0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.60792710185402665	            0.125	0	0
1	0.60792710185402665	            0.125	2.07544e-317	0
2	0.60792210058414331	0.12500000001185108	3.84146e-06	5.00127e-06
3	0.60791709931429228	0.12500000004740494	7.683e-06	1.00025e-05
4	0.60791209804447377	0.12500000010666257	1.15246e-05	1.50038e-05
5	0.60790709677468791	0.12500000018962493	1.53663e-05	2.00051e-05
6	0.60790209550493468	0.12500000029629296	1.92081e-05	2.50063e-05
7	0.60789709423521432	0.12500000042666765	2.30499e-05	3.00076e-05
8	0.60789209296552693	0.12500000058074992	2.68919e-05	3.50089e-05
9	0.60788709169587252	0.12500000075854076	3.07339e-05	4.00102e-05
10	0.6078820904262513	0.12500000096004113	3.45759e-05	4.50114e-05
999	0.60293586973595237	0.12501196436154055	0.00387276	0.00499125
1998	0.59793978860401376	0.12504856198082046	0.00782835	0.00998747
2997	0.59294399367651907	0.12511080621408036	0.0118641	0.0149837
3996	0.58794863519746043	0.12519974759422403	0.0159812	0.0199798
4995	0.58295388117961167	0.12531647436881604	0.0201806	0.0249759
5994	0.57795991897528076	0.12546211290334372	0.0244634	0.029972
6993	0.57296695694566557	0.12563782794215417	0.0288304	0.0349681
7992	0.56797522622873242	0.12584482270624758	0.0332825	0.0399641
