# Filename: 3Dvlt_flow_plot_Op31133_K4.147_y0.006_step1000000.dat
# Source: 3Dvlt_flow_plot.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpB=1, OpC=1, OpD=3, OpE=3, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=100, dataskipds=999
# Option-dependent values: K=4.14676641694675929273, y=0.00583313560321287345733, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	4.1467664169467593	0.0058331356032128735	0	0
1	4.1467664169467593	0.0058331356032128735	2.07544e-317	0
2	4.1467664606480712	0.0058281321784030655	2.45692e-05	5.00362e-06
3	4.146766591715271	0.0058231326255656921	4.91405e-05	1.00049e-05
4	4.1467671154849315	0.0058131485849443843	9.82721e-05	2.00027e-05
5	4.146767986229082	0.0058031950991646389	0.000147338	2.99942e-05
6	4.1467692002762488	0.0057932838722586453	0.000196278	3.99795e-05
7	4.1467707524001449	0.0057834261006855549	0.000245038	4.99587e-05
8	4.1467726359463528	0.005773632320403654	0.000293564	5.99319e-05
9	4.146774842988374	0.0057639122802015013	0.000341806	6.98994e-05
10	4.1467773645045449	0.0057542748447918235	0.000389718	7.98612e-05
999	4.1562727727053987	0.0037964256003123588	0.0122856	0.00991736
1998	4.1662140625755892	0.0030938967076716214	0.0181209	0.019884
2997	4.1761767408420569	0.0026226045152027773	0.0228203	0.0298579
3996	4.1861480552018895	0.0022675259783972185	0.0269455	0.0398355
4995	4.1961240597437479	0.0019848243128992313	0.0307109	0.0498156
5994	4.2061030071340175	0.0017522525441120509	0.0342252	0.0597972
6993	4.2160839687977862	0.0015567072132193509	0.0375527	0.0697801
7992	4.2260663920618411	0.0013897161657791801	0.0407348	0.0797639
8991	4.2360499213254004	0.0012454379302577461	0.0438001	0.0897485
9990	4.2460343143402994	0.0011196505656838021	0.0467694	0.0997337
10989	4.2560193986986095	0.0010091907306877242	0.0496582	0.109719
11988	4.2660050473755131	0.00091161993963434908	0.0524784	0.119706
12987	4.275991164117106	0.0008250148143887911	0.0552395	0.129692
13986	4.2859776742708799	0.00074782932207438039	0.0579491	0.139679
14985	4.2959645187948894	0.00067880094720181776	0.0606134	0.149666
15984	4.3059516502090878	0.00061688481051597459	0.0632375	0.159653
16983	4.3159390297793649	0.00056120619518813548	0.0658257	0.169641
