# Filename: 3Dvlt_flow_plot_Op31144_K0.608_y0.125_step1000000.dat
# Source: 3Dvlt_flow_plot.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpB=1, OpC=1, OpD=4, OpE=4, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.607927101854026652461, y=                0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.60792710185402665	            0.125	0	0
1	0.60792710185402665	            0.125	2.07544e-317	0
2	0.6079370994149057	0.1250000000473552	-7.67886e-06	9.99756e-06
3	0.60794709697565574	0.12500000018941571	-1.53574e-05	1.99951e-05
4	0.60795709453627589	0.12500000042617382	-2.30357e-05	2.99927e-05
5	0.60796709209676514	0.12500000075762185	-3.07136e-05	3.99902e-05
6	0.6079770896571226	0.1250000011837521	-3.83912e-05	4.99878e-05
7	0.60798708721734751	0.12500000170455688	-4.60685e-05	5.99854e-05
8	0.60799708477743886	0.12500000232002856	-5.37455e-05	6.99829e-05
9	0.60800708233739575	0.1250000030301594	-6.14222e-05	7.99805e-05
10	0.60801707989721732	0.12500000383494173	-6.90985e-05	8.9978e-05
999	0.6179044637807366	0.12504591709112467	-0.00751014	0.0099775
1998	0.62789091818927234	0.12517902748886428	-0.0147272	0.0199649
2997	0.63787585301049621	0.12539249215488385	-0.0216541	0.0299521
3996	0.64785880383092909	0.125679989431149	-0.0283016	0.0399392
4995	0.65783942941109319	0.12603568411155799	-0.0346809	0.0499262
5994	0.66781748893936599	0.12645419578645986	-0.0408027	0.0599131
6993	0.67779282293148735	0.12693056730899893	-0.0466779	0.0698998
7992	0.68776533727984079	0.12746023397592082	-0.0523172	0.0798863
