# Filename: 3Dvlt_flow_plot_Op31144_K0.922_y0.026_step1000000.dat
# Source: 3Dvlt_flow_plot.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpB=1, OpC=1, OpD=4, OpE=4, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.922262475419999949722, y=0.0262275127412985829822, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.92226247541999995	0.026227512741298583	0	0
1	0.92226247541999995	0.026227512741298583	2.07546e-317	0
2	0.92226248972793445	0.02623565073752784	-0.0001	8.13801e-06
3	0.92226253265956903	0.026243791259594185	-0.0002	1.62786e-05
4	0.92226260422665918	0.026251934309023586	-0.0003	2.4422e-05
5	0.92226270444097225	0.026260079887343482	-0.0004	3.25682e-05
6	0.92226283331428749	0.026268227996082784	-0.0005	4.07173e-05
7	0.92226299085839614	0.026276378636771871	-0.0006	4.88695e-05
8	0.92226317708510119	0.026284531810942601	-0.0007	5.70248e-05
9	0.92226339200621765	0.026292687520128307	-0.0008	6.51833e-05
10	0.92226363563357261	0.026300845765863792	-0.0009	7.33452e-05
999	 0.92938256280914	0.032333201681793031	-0.0669683	0.00977776
1998	0.93873250812498521	0.035822434523049465	-0.0988429	0.0197631
2997	0.94832247013275306	0.038601129721782486	-0.121413	0.0297485
3996	0.95800856613503271	0.041026400211474676	-0.139305	0.0397339
4995	0.96774715991080473	0.043232265182666881	-0.15426	0.0497194
5994	0.97751904230062547	0.045285844577850856	-0.167157	0.0597048
6993	0.98731400845289896	0.04722624987246437	-0.178511	0.0696901
7992	0.99712597102118739	0.049078539795931388	-0.188657	0.0796754
8991	1.0069509996636066	0.050859854443331083	-0.197824	0.0896606
9990	1.0167864060060487	0.052582493126711496	-0.206181	0.0996458
10989	1.0266302684972162	0.054255611256702446	-0.213852	0.109631
11988	1.036481165221155	0.055886224506483229	-0.220935	0.119616
12987	1.0463380140422847	0.057479836840393941	-0.227508	0.129601
13986	1.0561999720938355	0.059040851160319902	-0.233633	0.139585
14985	1.0660663699498296	0.060572847813062457	-0.239361	0.14957
15984	1.0759366670180841	0.062078779350041371	-0.244734	0.159555
16983	1.0858104204265797	0.063561110310749624	-0.24979	0.169539
17982	1.0956872627755441	0.065021919818067209	-0.254559	0.179523
18981	1.1055668858819188	0.066462978357632568	-0.259067	0.189507
19980	1.1154490286753107	0.067885806225885303	-0.263338	0.199491
20979	1.1253334680332181	0.069291718699636004	-0.267391	0.209475
21978	1.1352200117376334	0.07068186141578818	-0.271245	0.219459
22977	1.1451084929894246	0.072057238418461789	-0.274914	0.229443
23976	1.154998766084274	0.073418734635541341	-0.278412	0.239426
24975	1.1648907029670252	0.074767134068687666	-0.281753	0.24941
25974	1.1747841904586813	0.076103134646277271	-0.284947	0.259393
26973	1.1846791280045241	0.077427360450731939	-0.288004	0.269376
27972	1.1945754258302703	0.07874037185985687	-0.290933	0.279359
28971	1.2044730034207252	0.080042674016062187	-0.293742	0.289342
29970	1.2143717882557574	0.081334723944158194	-0.29644	0.299325
30969	1.224271714753203	0.0826169365685792	-0.299032	0.309307
31968	1.2341727233794491	0.083889689827984934	-0.301525	0.31929
32967	1.2440747598969657	0.085153329044727818	-0.303926	0.329272
33966	1.2539777747242928	0.086408170675421073	-0.306238	0.339255
34965	1.2638817223890317	0.087654505544527458	-0.308467	0.349237
35964	1.2737865610582002	0.088892601643787025	-0.310617	0.359218
36963	1.2836922521332512	0.090122706565211166	-0.312693	0.3692
37962	1.2935987598994385	0.091345049623347996	-0.314698	0.379182
38961	1.3035060512210959	0.09255984371288549	-0.316636	0.389163
39960	1.3134140952758255	0.093767286939890157	-0.318511	0.399145
40959	1.3233228633219025	0.094967564058671683	-0.320325	0.409126
41958	1.3332323284940124	0.096160847741125016	-0.322082	0.419107
42957	1.3431424656233801	0.097347299701173395	-0.323783	0.429088
43956	 1.35305325107889	0.098527071693471857	-0.325432	0.439069
44955	1.3629646626263454	0.099700306402642574	-0.327031	0.449049
45954	1.3728766793035243	0.10086713823692479	-0.328582	0.45903
46953	1.382789281308898	0.10202769403811829	-0.330088	0.46901
47952	1.3927024499023557	0.10318209371802552	-0.33155	0.47899
48951	1.4026161673163788	0.10433045083018284	-0.33297	0.48897
49950	1.4125304166764272	0.10547287308447729	-0.33435	0.49895
50949	1.4224451819294095	0.10660946281123851	-0.335691	0.50893
51948	1.4323604477792848	0.10774031738052373	-0.336996	0.518909
52947	1.4422761996290097	0.10886552958159297	-0.338265	0.528889
53946	1.4521924235280206	0.1099851879669267	-0.339501	0.538868
54945	 1.46210910612475	0.11109937716460937	-0.340703	0.548847
55944	1.4720262346235162	0.11220817816243064	-0.341874	0.558826
56943	1.4819437967453768	0.11331166856665698	-0.343015	0.568805
57942	1.4918617806925081	0.11440992283807146	-0.344127	0.578783
58941	1.5017801751157283	0.11550301250759068	-0.345211	0.588762
59940	1.5116989690848732	0.11659100637348524	-0.346268	0.59874
