# Filename: 3Dvlt_flow_Op11133_K0.320_y0.283_step1000000.dat
# Source: 3Dvlt_flow.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=1, OpC=1, OpD=3, OpE=3, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=1e-05, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=999, dataskipds=999
# Option-dependent values: K=0.319635238693854517589, y=0.28312427500908071698, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0.575343, oldK0c=-100
# Input-file parameter: Cc=0.4
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.31963523869385452	0.28312427500908072	0	0
1	0.31963523869385452	0.28312427500908072	2.0755e-317	0
2	0.3196264768426218	0.28312621863259357	1e-05	8.97484e-06
3	0.31961771547725687	0.28312816253493467	2e-05	1.79493e-05
4	0.3196089545977075	0.28313010671609884	3e-05	2.69233e-05
5	0.31960019420392149	0.28313205117608098	4e-05	3.58969e-05
6	0.31959143429584663	0.28313399591487592	5e-05	4.487e-05
7	0.31958267487343067	0.28313594093247857	6e-05	5.38428e-05
8	0.31957391593662138	0.28313788622888375	7e-05	6.28152e-05
9	0.31956515748536662	0.28313983180408636	8e-05	7.17871e-05
10	0.31955639951961418	0.2831417776580813	9e-05	8.07586e-05
999	0.31112429773570432	0.28520194344194771	0.00998	0.00876154
1998	0.30304149734560748	0.28755557617694438	0.01997	0.0171808
2997	0.29535312368302991	0.29018024173567514	0.02996	0.0253055
3996	0.28802196943666125	0.29307422901495978	0.03995	0.0331879
4995	0.28101530377809725	0.29623700233039413	0.04994	0.0408761
5994	0.27430422007841371	0.29966911849545752	0.05993	0.0484147
6993	0.26786309558568122	0.30337215968160802	0.06992	0.0558451
7992	0.26166914121464818	0.30734867971801949	0.07991	0.0632064
8991	0.25570202434912842	0.31160216194079204	0.0899	0.070535
9990	0.24994355117464367	0.31613698706180443	0.09989	0.0778654
10989	0.24437739783600179	0.32095840981732071	0.10988	0.0852301
11988	0.23898888186324019	0.32607254339124681	0.11987	0.0926597
12987	0.23376476698390256	0.33148635079941918	0.12986	0.100184
13986	0.22869309575363458	0.33720764257862629	0.13985	0.10783
14985	0.22376304547481254	0.34324508025424327	0.14984	0.115625
15984	0.21896480369756474	0.34960818516892056	0.15983	0.123595
16983	0.21428946025663087	0.35630735234608574	0.16982	0.131765
17982	0.20972891332722943	0.36335386913948814	0.17981	0.140159
18981	0.20527578741109043	0.37075993848637806	0.1898	0.148801
19980	0.20092336151133983	0.37853870663933198	0.19979	0.157715
20979	0.19666550603847527	0.38670429530200123	0.20978	0.166924
21978	0.1924966272220896	0.39527183813855643	0.21977	0.176452
22977	0.18841361598038991	0.4042529769106552	0.229755	0.186318
23976	0.18450197323934078	0.41344506725295421	0.239508	0.196308
24975	0.18079619162797259	0.42272209814191786	0.248917	0.206298
25974	0.17727961869391634	0.4320725169685713	0.257997	0.216288
26973	0.17393717200945175	0.44148660477200224	0.266767	0.226278
27972	0.17075521998443602	0.45095615969078351	0.27524	0.236268
28971	0.16772145348871398	0.46047423554659095	0.283433	0.246258
29970	0.16482475792481746	0.47003492712699485	0.29136	0.256248
30969	0.16205509128312939	0.47963319428385737	0.299034	0.266238
31968	0.15940337105910615	0.48926471792024245	0.30647	0.276228
32967	0.15686137124971669	0.49892578199340354	0.31368	0.286218
33966	0.15442162964034542	0.50861317666328376	0.320674	0.296208
34965	0.15207736501373328	0.51832411860141703	0.327464	0.306198
35964	0.14982240360398003	0.52805618522660558	0.33406	0.316188
36963	0.14765111397861408	0.53780726025597014	0.340472	0.326178
37962	0.14555834949355215	0.54757548846750848	0.346709	0.336168
38961	0.14353939748651881	0.55735923798018505	0.352779	0.346157
39960	0.14158993442721235	0.56715706868688653	0.358689	0.356147
40959	0.13970598631031694	0.57696770573927547	0.364447	0.366137
41958	0.13788389365030804	0.5867900171944056	0.370061	0.376127
42957	0.13612028050893352	0.59662299510168493	0.375536	0.386117
43956	0.13441202705400676	0.60646573944378857	0.380879	0.396107
44955	0.13275624521022089	0.61631744445337489	0.386095	0.406097
45954	0.13115025701838579	0.62617738691458891	0.39119	0.416087
46953	0.12959157536890151	0.63604491612836789	0.396169	0.426077
47952	0.12807788681867999	0.64591944527731937	0.401037	0.436066
48951	0.12660703623863165	0.65580044397181891	0.405797	0.446056
49950	0.12517701307180576	0.66568743179634438	0.410455	0.456046
50949	0.12378593901084342	0.67557997270551218	0.415014	0.466036
51948	0.12243205692816513	0.68547767014416261	0.419478	0.476026
52947	0.12111372091370021	0.69538016278636905	0.423851	0.486016
53946	0.11982938729347643	0.70528712080500711	0.428137	0.496006
