# Filename: 3Dvlt_flow_Op11144_K0.494_y0.005_step1000000.dat
# Source: 3Dvlt_flow.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=1, OpC=1, OpD=4, OpE=4, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=1e-05, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=999, dataskipds=999
# Option-dependent values: K=0.494114898344637898386, y=0.0046803123357064954288, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0.296469, oldK0c=-100
# Input-file parameter: Cc=1.1
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.4941148983446379	0.0046803123357064954	0	0
1	0.4941148983446379	0.0046803123357064954	2.0755e-317	0
2	0.49411042962595159	0.0046803563081464026	-1e-05	4.46894e-06
3	0.4941059609478457	0.0046804002793005605	-2e-05	8.93783e-06
4	0.49410149231031969	0.0046804442491689292	-3e-05	1.34067e-05
5	0.494097023713373	0.0046804882177514696	-4e-05	1.78755e-05
6	0.49409255515700512	0.0046805321850481411	-5e-05	2.23443e-05
7	0.49408808664121545	0.0046805761510589038	-6e-05	2.6813e-05
8	0.49408361816600349	0.0046806201157837185	-7e-05	3.12817e-05
9	0.49407914973136874	0.0046806640792225454	-8e-05	3.57503e-05
10	0.49407468133731058	0.0046807080413753446	-9e-05	4.0219e-05
999	0.48967521697052846	0.0047235506444789173	-0.00998	0.00443989
1998	0.48527103316967724	0.0047655108484914417	-0.01997	0.00884428
2997	0.48090629049033545	0.004806111098396469	-0.02996	0.0132092
3996	0.47658047335429499	0.0048453147740890245	-0.03995	0.0175352
4995	0.47229307580932228	0.0048830865664707549	-0.04994	0.0218228
5994	0.46804360151516061	0.0049193925308134304	-0.05993	0.0260724
6993	0.46383156372237438	0.0049542001378868761	-0.06992	0.0302846
7992	0.45965648524404129	0.0049874783227461753	-0.07991	0.0344598
8991	0.45551789842031665	0.0050191975310782434	-0.0899	0.0385985
9990	0.45141534507591202	0.0050493297630131604	-0.09989	0.0427012
10989	0.44734837647054354	0.0050778486143113685	-0.10988	0.0467682
11988	0.44331655324241603	0.0051047293148434739	-0.11987	0.0508001
12987	0.4393194453448222	0.0051299487642854427	-0.12986	0.0547973
13986	0.43535663197595981	0.005153485564958123	-0.13985	0.0587602
14985	0.4314277015020731	0.0051753200517465382	-0.14984	0.0626892
15984	0.42753225137404033	0.0051954343190410666	-0.15983	0.0665847
16983	0.42366988803754718	0.0052138122446487899	-0.16982	0.0704471
17982	0.41984022683699584	0.005230439510630935	-0.17981	0.0742768
18981	0.41604289191330479	0.0052453036210285981	-0.1898	0.0780742
19980	0.41227751609577717	0.0052583939164465004	-0.19979	0.0818396
20979	0.40854374078823286	0.0052697015854714559	-0.20978	0.0855734
21978	0.40484121584957866	0.0052792196729096116	-0.21977	0.0892759
22977	0.40116959946904113	0.0052869430848336684	-0.22976	0.0929475
23976	0.39752855803627724	0.0052928685904388194	-0.23975	0.0965886
24975	0.39391776600657835	0.0052969948207131842	-0.24974	0.100199
25974	0.39033690576141583	0.0052993222639362136	-0.25973	0.10378
26973	0.38678566746456261	0.0052998532580255577	-0.26972	0.107331
27972	0.38326374891405185	0.0052985919797603155	-0.27971	0.110853
28971	0.37977085539021987	0.0052955444309155534	-0.2897	0.114346
29970	0.37630669950010032	0.0052907184213503728	-0.29969	0.11781
30969	0.37287100101845272	0.0052841235490986016	-0.30968	0.121246
31968	0.36946348672568086	0.005275771177517913	-0.31967	0.124654
32967	0.3660838902429292	0.005265674409560263	-0.32966	0.128033
33966	0.36273195186464935	0.005253848059232573	-0.33965	0.131385
34965	0.35940741838890145	0.0052403086203232615	-0.34964	0.13471
35964	0.35611004294569165	0.0052250742324762116	-0.35963	0.138007
36963	0.3528395848236297	0.0052081646446995953	-0.36962	0.141278
37962	0.34959580929519585	0.0051896011764026697	-0.37961	0.144522
38961	0.34637848744089972	0.0051694066760588553	-0.3896	0.147739
39960	0.3431873959726226	0.0051476054775987969	-0.39959	0.15093
40959	0.34002231705642522	0.0051242233546413933	-0.40958	0.154095
41958	0.33688303813509818	0.0050992874726757398	-0.41957	0.157235
42957	0.33376935175074213	0.0050728263393104087	-0.42956	0.160348
43956	0.33068105536764475	0.0050448697527108628	-0.43955	0.163437
44955	0.32761795119572057	0.0050154487483488816	-0.44954	0.1665
45954	0.32457984601478335	0.0049845955441907633	-0.45953	0.169538
46953	0.32156655099989745	0.004952343484454046	-0.46952	0.172552
47952	0.31857788154807387	0.0049187269820645365	-0.47951	0.175541
48951	0.31561365710653977	0.0048837814599472515	-0.4895	0.178505
49950	0.312673701002814	0.0048475432912866009	-0.49949	0.181445
50949	0.3097578402768324	0.0048100497388920051	-0.50948	0.184361
51948	0.30686590551531229	0.0047713388938057126	-0.51947	0.187254
52947	0.30399773068859054	0.0047314496132902237	-0.52946	0.190122
53946	0.30115315299011708	0.0046904214583321979	-0.53945	0.192967
54945	0.29833201267879139	0.0046482946307994507	-0.54944	0.195788
55944	0.29553415292432544	0.0046051099103866615	-0.55943	0.198587
56943	0.29275941965579688	0.0045609085914839519	-0.56942	0.201362
57942	0.29000766141353962	0.0045157324201012452	-0.57941	0.204114
58941	0.28727872920452913	0.0044696235309787157	-0.5894	0.206843
59940	0.28457247636138955	0.0044226243850117083	-0.59939	0.20955
60939	0.28188875840513422	0.0043747777071155101	-0.60938	0.212234
61938	0.27922743291176222	0.0043261264246524491	-0.61937	0.214896
62937	0.27658835938280707	0.004276713606540211	-0.62936	0.217535
63936	0.27397139911991397	0.0042265824031567176	-0.63935	0.220153
64935	0.27137641510353738	0.0041757759871531679	-0.64934	0.222748
65934	0.26880327187580755	0.0041243374952820294	-0.65933	0.225322
66933	0.2662518354276186	0.0040723099713429849	-0.66932	0.227874
67932	0.26372197309000378	0.0040197363103445984	-0.67931	0.230404
68931	0.26121355342979757	0.0039666592039748943	-0.6893	0.232913
69930	0.25872644614962137	0.0039131210874688944	-0.69929	0.235401
70929	0.25626052199220095	0.0038591640879557377	-0.70928	0.237867
71928	0.2538156526490204	0.0038048299743628972	-0.71927	0.240313
72927	0.25139171067328803	0.0037501601089493602	-0.72926	0.242737
73926	0.2489885693972147	0.0036951954005339377	-0.73925	0.245141
74925	0.24660610285356327	0.0036399762594794016	-0.74924	0.247524
75924	0.24424418570143686	0.0035845425544872439	-0.75923	0.249887
76923	0.24190269315626409	0.0035289335712522154	-0.76922	0.252229
77922	0.23958150092392733	0.0034731879730198665	-0.77921	0.254551
78921	0.23728048513896918	0.0034173437630846794	-0.7892	0.256853
79920	0.23499952230682278	0.0033614382492605992	-0.79919	0.259134
80919	0.23273848924998189	0.003305508010350009	-0.80918	0.261396
81918	0.2304972630580375	0.0032495888646316634	-0.81917	0.263638
82917	0.22827572104149427	0.0031937158403824392	-0.82916	0.26586
83916	0.22607374068928071	0.0031379231484424393	-0.83915	0.268063
84915	0.22389119962985626	0.0030822441568275705	-0.84914	0.270246
85914	0.22172797559581645	0.0030267113673885172	-0.85913	0.27241
86913	0.21958394639189857	0.0029713563945100753	-0.86912	0.274555
87912	0.21745898986627668	0.0029162099458397719	-0.87911	0.27668
88911	0.21535298388504409	0.0028613018050301451	-0.8891	0.278787
89910	0.21326580630976744	0.0028066608164744856	-0.89909	0.280875
90909	0.21119733497800419	0.0027523148720113256	-0.90908	0.282944
91908	0.20914744768666491	0.00269829089956915	-0.91907	0.284995
92907	0.20711602217811434	0.002644614853718624	-0.92906	0.287027
93906	0.20510293612887712	0.0025913117080959822	-0.93905	0.289041
94905	0.203108067140853	0.0025384054496578531	-0.94904	0.291036
95904	0.20113129273491137	0.0024859190747244268	-0.95903	0.293014
96903	0.19917249034674891	0.0024338745867648641	-0.96902	0.294973
97902	0.19723153732490101	0.0023822929958761058	-0.97901	0.296915
98901	0.19530831093078296	0.0023311943199036578	-0.989	0.298839
99900	0.19340268834065549	0.0022805975871505986	-0.99899	0.300745
100899	0.19151454664939363	0.0022305208406190212	-1.00898	0.302634
101898	0.18964376287595314	0.0021809811437261996	-1.01897	0.304505
102897	0.18779021397042142	0.002131994587436248	-1.02896	0.30636
103896	0.18595377682254749	0.0020835762987465056	-1.03895	0.308197
104895	0.1841343282716435	0.0020357404504669266	-1.04894	0.310017
105894	0.18233174511775679	0.0019885002722295915	-1.05893	0.31182
106893	0.18054590413400862	0.0019418680626648254	-1.06892	0.313606
107892	0.17877668208000802	0.0018958552026799482	-1.07891	0.315376
108891	0.17702395571623597	0.0018504721697762405	-1.0889	0.317129
109890	0.17528760181931777	0.0018057285533396219	-1.09889	0.318866
110889	0.17356749719808498	0.001761633070840639	-1.10888	0.320587
111888	0.17186351871035138	0.0017181935848795357	-1.11887	0.322292
112887	0.17017554328030365	0.0016754171210126394	-1.12886	0.32398
113886	0.16850344791644889	0.0016333098862968748	-1.13885	0.325653
114885	0.16684710973002084	0.0015918772884898427	-1.14884	0.32731
115884	0.165206405953784	0.0015511239558439337	-1.15883	0.328951
116883	0.16358121396116118	0.001511053757433805	-1.16882	0.330576
117882	0.16197141128561926	0.0014716698239577869	-1.17881	0.332187
118881	0.16037687564024627	0.0014329745689549663	-1.1888	0.333782
119880	0.15879748493746201	0.0013949697103810799	-1.19879	0.335362
120879	0.15723311730880538	0.00135765629248785	-1.20878	0.336926
121878	0.15568365112473972	0.0013210347079518243	-1.21877	0.338476
122877	0.15414896501443023	0.0012851047202005986	-1.22876	0.340011
123876	0.15262893788544324	0.0012498654858857665	-1.23875	0.341532
124875	0.15112344894332122	0.0012153155774539317	-1.24874	0.343038
125874	0.14963237771099369	0.0011814530057687718	-1.25873	0.344529
126873	0.14815560404798317	0.0011482752427390743	-1.26872	0.346006
127872	0.14669300816936898	0.0011157792439096027	-1.27871	0.347469
128871	0.14524447066448085	0.0010839614709734775	-1.2887	0.348918
129870	0.14380987251527955	0.0010528179141668361	-1.29869	0.350353
130869	0.14238909511441267	0.0010223441145083944	-1.30868	0.351774
131868	0.14098202028290302	0.00099253518584861071	-1.31867	0.353182
132867	0.13958853028745791	0.00096338583669508516	-1.32866	0.354575
133866	0.13820850785737288	0.00093489039178274065	-1.33865	0.355956
134865	0.1368418362010082	0.00090704281335950469	-1.34864	0.357323
135864	0.13548839902183257	0.00087983672215989454	-1.35863	0.358676
136863	0.13414808053400398	0.00085326541804106441	-1.36862	0.360017
137862	0.13282076547748742	0.00082732190025765011	-1.37861	0.361345
138861	0.13150633913268878	0.00080199888735368386	-1.3886	0.362659
139860	0.13020468733460402	0.00077728883665166353	-1.39859	0.363961
140859	0.12891569648647069	0.0007531839633206916	-1.40858	0.36525
141858	0.12763925357291778	0.00072967625900733583	-1.41857	0.366527
142857	0.12637524617260867	0.00070675751001460045	-1.42856	0.367791
143856	0.12512356247037426	0.0006844193150160649	-1.43855	0.369043
144855	0.12388409126883498	0.00066265310229386037	-1.44854	0.370283
145854	0.12265672199951276	0.00064145014649073361	-1.45853	0.37151
146853	0.12144134473342706	0.00062080158486795673	-1.46852	0.372726
147852	0.12023785019118666	0.00060069843306230801	-1.47851	0.37393
148851	0.11904612975257234	0.00058113160033673944	-1.4885	0.375121
