# Filename: 3Dvlt_flow_Op11144_K2.877_y0.000_step1000000.dat
# Source: 3Dvlt_flow.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=1, OpC=1, OpD=4, OpE=4, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=1e-05, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=999, dataskipds=999
# Option-dependent values: K=2.87671714824469049177, y=1.16894469788005208834e-05, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0.575343, oldK0c=-100
# Input-file parameter: Cc=0.4
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	2.8767171482446905	1.1689446978800521e-05	0	0
1	2.8767171482446905	1.1689446978800521e-05	2.0755e-317	0
2	2.8767121482234761	1.168990256992649e-05	-1.74052e-06	5.00002e-06
3	2.8767071482022617	1.169035817862035e-05	-3.48104e-06	1e-05
4	2.8767021481810473	1.1690813804882774e-05	-5.22157e-06	1.50001e-05
5	2.8766971481598329	1.1691269448714428e-05	-6.9621e-06	2.00001e-05
6	2.8766921481386185	1.1691725110115981e-05	-8.70264e-06	2.50001e-05
7	2.8766871481174041	1.1692180789088111e-05	-1.04432e-05	3.00001e-05
8	2.8766821480961897	1.1692636485631481e-05	-1.21837e-05	3.50001e-05
9	2.8766771480749753	1.1693092199746766e-05	-1.39243e-05	4.00002e-05
10	2.8766721480537609	1.1693547931434635e-05	-1.56648e-05	4.50002e-05
999	2.8717271270673645	1.2152978732058853e-05	-0.00173859	0.00499002
1998	2.8667321058574817	1.26351804763369e-05	-0.00348205	0.00998504
2997	2.8617370846357058	1.3136303690026468e-05	-0.00522864	0.0149801
3996	2.8567420634014988	1.365708259550549e-05	-0.00697839	0.0199751
4995	2.8517470421542774	1.4198279623255593e-05	-0.0087313	0.0249701
5994	2.8467520208934713	1.4760686489315244e-05	-0.0104874	0.0299651
6993	2.841756999618481	1.5345125314079513e-05	-0.0122467	0.0349601
7992	2.8367619783287048	1.5952449784074043e-05	-0.0140092	0.0399552
8991	2.8317669570235253	1.6583546358399932e-05	-0.0157749	0.0449502
9990	2.8267719357023235	1.7239335521621681e-05	-0.0175439	0.0499452
10989	2.8217769143644493	1.7920773084945132e-05	-0.0193162	0.0549402
11988	2.816781893009261	1.8628851537604066e-05	-0.0210917	0.0599353
12987	2.8117868716361016	1.9364601450469947e-05	-0.0228705	0.0649303
13986	2.8067918502442977	2.0129092933974183e-05	-0.0246526	0.0699253
14985	2.8017968288331754	2.0923437152530107e-05	-0.0264381	0.0749203
15984	2.7968018074020464	2.1748787897735159e-05	-0.0282269	0.0799153
16983	2.7918067859502269	2.2606343222735064e-05	-0.030019	0.0849104
17982	2.7868117644770205	2.349734714023893e-05	-0.0318146	0.0899054
18981	2.7818167429817233	2.4423091386780769e-05	-0.0336135	0.0949004
19980	2.7768217214636293	2.5384917255943197e-05	-0.0354159	0.0998954
20979	2.7718266999220336	2.638421750338298e-05	-0.0372217	0.10489
21978	2.7668316783562363	2.7422438326624775e-05	-0.039031	0.109885
22977	2.7618366567655266	2.8501081422724374e-05	-0.0408437	0.11488
23976	2.7568416351492151	2.9621706127050728e-05	-0.04266	0.119876
24975	2.7518466135066064	3.0785931636584797e-05	-0.0444797	0.124871
25974	2.7468515918370242	3.1995439321287893e-05	-0.046303	0.129866
26973	2.7418565701397952	3.3251975127271496e-05	-0.0481299	0.134861
27972	2.736861548414268	3.4557352075664902e-05	-0.0499604	0.139856
28971	2.7318665266598026	3.5913452861275179e-05	-0.0517944	0.144851
29970	2.726871504875799	3.7322232555324735e-05	-0.0536321	0.149846
30969	2.7218764830616635	3.878572141676428e-05	-0.0554735	0.154841
