# Filename: 3Dvlt_flow_plot_Op13363_K0.388_y0.062_step1000000.dat
# Source: 3Dvlt_flow_plot.c
# Source version: 1 (2012 Jul 19 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=3, OpC=3, OpD=6, OpE=3, A3=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-16, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=1.48878567955778740028, initialKdir=1, flowdir=0, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.90179e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38751747159197641	0.062417284340769763	0	1e-05
2	0.38751747297404066	0.062417283786771111	0.0001	1.00015e-05
3	0.38751747435631068	0.062417283232689975	0.0002	1.0003e-05
4	0.38751747573878648	0.062417282678526344	0.0003	1.00045e-05
5	0.38751747712146811	0.062417282124280202	0.0004	1.0006e-05
6	0.38751747850435558	0.062417281569951542	0.0005	1.00074e-05
7	0.38751747988744895	0.062417281015540352	0.0006	1.00089e-05
8	0.3875174812707482	0.062417280461046609	0.0007	1.00104e-05
9	0.3875174826542534	0.062417279906470315	0.0008	1.00119e-05
10	0.38751748403796454	0.062417279351811447	0.0009	1.00134e-05
999	0.38751895851051721	0.062416688308473266	0.0998	1.16019e-05
1998	0.38752068545894364	0.062415996057471952	0.1997	1.34625e-05
2997	0.38752268932954631	0.062415192804464691	0.2996	1.56213e-05
3996	0.38752501453355964	0.062414260753469335	0.3995	1.81264e-05
4995	0.38752771260373714	0.062413179255809755	0.4994	2.10331e-05
5994	0.38753084333663984	0.062411924353115045	0.5993	2.4406e-05
6993	0.38753447611812414	0.062410468247172793	0.6992	2.83197e-05
7992	0.38753869146142356	0.062408778684958172	0.7991	3.28611e-05
8991	0.38754358279195611	0.062406818245306417	0.899	3.81307e-05
9990	0.38754925851843608	0.06240454351154872	0.9989	4.42453e-05
10989	0.38755584443627517	0.06240190411194773	1.0988	5.13404e-05
11988	0.38756348651659589	0.062398841606900818	1.1987	5.95733e-05
12987	0.38757235414278551	0.062395288198561445	1.2986	6.91263e-05
13986	0.3875826438664573	0.062391165234701951	1.3985	8.02113e-05
14985	0.38759458376625699	0.062386381474228057	1.4984	9.30739e-05
15984	0.38760843850636634	0.062380831076666511	1.5983	0.000107999
16983	0.38762451520717311	0.062374391272095764	1.6982	0.000125318
17982	0.38764317025867512	0.0623669196612587	1.7981	0.000145413
18981	0.38766481722825896	0.062358251087880387	1.898	0.000168731
19980	0.3876899360389614	0.062348194016371768	1.9979	0.000195789
20979	0.38771908362278379	0.062336526338001824	2.0978	0.000227185
21978	0.38775290628670367	0.062322990517112077	2.1977	0.000263616
22977	0.38779215406753592	0.062307287975880893	2.2976	0.000305888
23976	0.38783769739660717	0.062289072601362613	2.3975	0.000354939
24975	0.38789054644732912	0.062267943241887599	2.4974	0.000411855
25974	0.38795187359959121	0.062243435041291692	2.5973	0.000477898
26973	0.38802303952565625	0.062215009438757261	2.6972	0.000554531
27972	0.38810562348492028	0.062182042639285756	2.7971	0.000643452
28971	0.38820145851132898	0.06214381233506009	2.897	0.000746631
29970	0.38831267228992394	0.062099482431426177	2.9969	0.000866354
30969	0.38844173465083115	0.062048085503401004	3.0968	0.00100527
31968	0.38859151276327053	0.061988502680255832	3.1967	0.00116647
32967	0.38876533529314866	0.061919440628063906	3.2966	0.00135351
33966	0.38896706700013639	0.061839405274957703	3.3965	0.00157054
34965	0.38920119549992693	0.061746671903908486	3.4964	0.00182236
35964	0.38947293221150842	0.06163925122690269	3.5963	0.00211456
36963	0.38978832985643325	0.06151485105780085	3.6962	0.0024536
37962	0.390154419287498	0.061370833226245293	3.7961	0.002847
38961	0.39057936891066475	0.061204165431723086	3.896	0.00330347
39960	0.3910726705416277	0.061011367838658688	3.9959	0.00383311
40959	0.3916453562260328	0.060788454377933843	4.0958	0.00444765
41958	0.39231025137267056	0.060530868970640479	4.1957	0.00516069
42957	0.39308227052979056	0.060233417255988478	4.2956	0.00598803
43956	0.39397876330987591	0.059890194924791251	4.3955	0.00694798
44955	0.39501991937852315	0.059494514479618212	4.4954	0.00806179
45954	0.39622924311756047	0.059038833218963749	4.5953	0.00935412
46953	0.39763411060929565	0.058514686541485707	4.6952	0.0108536
47952	0.39926642403526885	0.057912632360486924	4.7951	0.0125934
48951	0.40116338151536107	0.057222214583016844	4.895	0.0146121
49950	0.40336838391362323	0.056431956307848551	4.9949	0.0169544
50949	0.40593210428703563	0.055529396669802812	5.0948	0.0196724
51948	0.40891375052005519	0.054501189083272172	5.1947	0.0228263
52947	0.41238255730152346	0.053333282887820875	5.2946	0.0264865
53946	0.41641954991383462	0.052011214769984451	5.3945	0.0307345
54945	0.42111962912640716	0.0505205402528843	5.4944	0.0356653
55944	0.42659403337733148	0.048847438040158508	5.5943	0.0413897
56943	0.43297324054175734	0.046979519570074235	5.6942	0.0480368
57942	0.44041037543492972	0.044906870611704709	5.7941	0.0557574
58941	0.44908518832799049	0.042623338222677554	5.894	0.0647278
59940	0.45874820247413001	0.040237780304706282	5.98968	0.074681
60939	0.4684819731003419	0.037990648613367956	6.07355	0.0846709
61938	0.47824653627365393	0.035881622511833543	6.14796	0.0946607
62937	0.48803806429679486	0.03390179642459281	6.21482	0.10465
63936	0.49785320559076368	0.032042774606474346	6.2755	0.11464
64935	0.50768902940118732	0.030296666677046911	6.33105	0.12463
65934	0.51754297526332937	0.028656075942561889	6.38226	0.134619
66933	0.52741280743394148	0.027114082536911187	6.42975	0.144609
67932	0.53729657420531418	0.025664223030529419	6.47403	0.154599
68931	0.54719257184786263	0.024300467812462829	6.5155	0.164588
69930	0.55709931283612979	0.02301719725663464	6.5545	0.174578
70929	0.56701549797164619	0.021809177439165845	6.59131	0.184567
71928	0.57693999200661872	0.020671535975427403	6.62617	0.194557
72927	0.58687180238298753	0.01959973838748813	6.65927	0.204546
73926	0.5968100607237774	0.018589565288529716	6.69078	0.214536
74925	0.60675400674248425	0.017637090574732811	6.72085	0.224525
75924	0.61670297426767418	0.016738660741774148	6.74962	0.234515
76923	0.62665637911181371	0.01589087538787699	6.77719	0.244504
77922	0.63661370854404864	0.015090568924498742	6.80366	0.254494
78921	0.64657451215534578	0.01433479348609824	6.82912	0.264483
79920	0.65653839393065616	0.013620803009454589	6.85364	0.274472
80919	0.66650500536655133	0.012946038438687418	6.8773	0.284462
81918	0.67647403949377161	0.012308114002848793	6.90016	0.294451
82917	0.6864452256828687	0.011704804507457192	6.92227	0.304441
83916	0.69641832512745172	0.011134033578644394	6.94368	0.31443
84915	0.7063931269138416	0.010593862797926661	6.96444	0.32442
85914	0.71636944459836394	0.010082481666407761	6.98459	0.334409
86913	0.72634711322427792	0.0095981983390329428	7.00416	0.344398
87912	0.73632598671965244	0.0091394310719974982	7.0232	0.354388
88911	0.74630593562555125	0.0087047003293265982	7.04173	0.364377
89910	0.75628684511081834	0.0082926214977911503	7.05978	0.374367
90909	0.76626861323569062	0.0079018981625752424	7.07737	0.384356
91908	0.77625114943169615	0.0075313158993652804	7.09454	0.394345
92907	0.7862343731696414	0.0071797365417169629	7.1113	0.404335
93906	0.7962182127913332	0.0068460928856309685	7.12767	0.414324
94905	0.8062026044839723	0.0065293837961979207	7.14368	0.424314
95904	0.8161874913789624	0.0062286696839396706	7.15934	0.434303
96903	0.82617282275932458	0.0059430683210691133	7.17466	0.444293
97902	0.83615855336200584	0.0056717509703099822	7.18967	0.454282
98901	0.84614464276316215	0.0054139388011645376	7.20438	0.464271
99900	0.85613105483609142	0.0051688995705945319	7.21879	0.474261
100899	0.86611775727279561	0.0049359445469970764	7.23293	0.48425
101898	0.87610472116136251	0.0047144256581201282	7.24681	0.49424
102897	0.88609192061233255	0.0045037328451818012	7.26043	0.504229
103896	0.89607933242810234	0.0043032916069425603	7.27381	0.514219
104895	0.90606693581017705	0.0041125607188394891	7.28695	0.524208
105894	0.91605471209973111	0.0039310301135366561	7.29987	0.534197
106893	0.92604264454750973	0.0037582189103838193	7.31258	0.544187
107892	0.93603071810959182	0.0035936735823161982	7.32507	0.554176
108891	0.94601891926598602	0.0034369662496784889	7.33737	0.564166
