# Filename: 2DKT_FPinject_SteadyState_vsl_T_0.1_lmax10_dl0.008_linj3_InjConst0.01.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=0.01, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.80373e-33
0.1	0.9	0.04	7.44313	0.995266	0.00018066
0.1	0.9	0.08	7.37453	0.986093	0.000209723
0.1	0.9	0.12	7.29012	0.974807	0.000216177
0.1	0.9	0.16	7.19156	0.961628	0.000219547
0.1	0.9	0.2	7.07759	0.946388	0.000222878
0.1	0.9	0.24	6.94632	0.928835	0.000226728
0.1	0.9	0.28	6.79565	0.908687	0.000231292
0.1	0.9	0.32	6.62337	0.885651	0.00023673
0.1	0.9	0.36	6.42728	0.859431	0.00024323
0.1	0.9	0.4	6.20528	0.829745	0.00025102
0.1	0.9	0.44	5.9555	0.796347	0.000260386
0.1	0.9	0.48	5.67654	0.759045	0.000271683
0.1	0.9	0.52	5.36765	0.717741	0.000285361
0.1	0.9	0.56	5.02906	0.672466	0.000301984
0.1	0.9	0.6	4.66226	0.62342	0.000322266
0.1	0.9	0.64	4.27036	0.571016	0.000347106
0.1	0.9	0.68	3.85831	0.515919	0.000377637
0.1	0.9	0.72	3.43305	0.459054	0.000415262
0.1	0.9	0.76	3.00341	0.401604	0.000461701
0.1	0.9	0.8	2.57974	0.344953	0.000519011
0.1	0.9	0.84	2.17311	0.290579	0.00058956
0.1	0.9	0.88	1.79422	0.239916	0.00067595
0.1	0.9	0.92	1.45216	0.194177	0.000780858
0.1	0.9	0.96	1.15322	0.154205	0.000906796
0.1	0.9	1	0.900261	0.120379	0.00105584
0.1	0.9	1.04	0.692623	0.0926148	0.00122937
0.1	0.9	1.08	0.526791	0.0704405	0.00142789
0.1	0.9	1.12	0.397393	0.0531378	0.00165103
0.1	0.9	1.16	0.298278	0.0398846	0.00189762
0.1	0.9	1.2	0.223397	0.0298718	0.00216588
0.1	0.9	1.24	0.167345	0.0223768	0.00245368
0.1	0.9	1.28	0.125611	0.0167963	0.00275873
0.1	0.9	1.32	0.0946038	0.0126501	0.00307877
0.1	0.9	1.36	0.0715564	0.00956825	0.00341166
0.1	0.9	1.4	0.0543869	0.0072724	0.00375546
0.1	0.9	1.44	0.0415502	0.00555593	0.00410847
0.1	0.9	1.48	0.0319099	0.00426687	0.0044692
0.1	0.9	1.52	0.0246339	0.00329395	0.0048364
0.1	0.9	1.56	0.0191132	0.00255574	0.00520899
0.1	0.9	1.6	0.0149017	0.0019926	0.00558609
0.1	0.9	1.64	0.0116719	0.00156072	0.00596693
0.1	0.9	1.68	0.00918198	0.00122778	0.00635089
0.1	0.9	1.72	0.00725279	0.000969815	0.00673746
0.1	0.9	1.76	0.00575089	0.000768987	0.0071262
0.1	0.9	1.8	0.00457633	0.000611929	0.00751675
0.1	0.9	1.84	0.00365381	0.000488574	0.00790882
0.1	0.9	1.88	0.00292633	0.000391297	0.00830215
0.1	0.9	1.92	0.00235047	0.000314296	0.00869655
0.1	0.9	1.96	0.00189302	0.000253127	0.00909183
0.1	0.9	2	0.00152842	0.000204375	0.00948785
0.1	0.9	2.04	0.00123693	0.000165398	0.0098845
0.1	0.9	2.08	0.00100321	0.000134146	0.0102817
0.1	0.9	2.12	0.000815308	0.00010902	0.0106793
0.1	0.9	2.16	0.000663856	8.87682e-05	0.0110773
0.1	0.9	2.2	0.000541495	7.24066e-05	0.0114756
0.1	0.9	2.24	0.00044242	5.91587e-05	0.0118741
0.1	0.9	2.28	0.000362034	4.84098e-05	0.0122729
0.1	0.9	2.32	0.000296685	3.96716e-05	0.0126719
0.1	0.9	2.36	0.000243464	3.25551e-05	0.013071
0.1	0.9	2.4	0.000200046	2.67494e-05	0.0134703
0.1	0.9	2.44	0.00016457	2.20057e-05	0.0138697
0.1	0.9	2.48	0.000135539	1.81237e-05	0.0142691
0.1	0.9	2.52	0.000111749	1.49426e-05	0.0146687
0.1	0.9	2.56	9.22275e-05	1.23323e-05	0.0150683
0.1	0.9	2.6	7.61891e-05	1.01877e-05	0.015468
0.1	0.9	2.64	6.29967e-05	8.42367e-06	0.0158677
0.1	0.9	2.68	5.21331e-05	6.97104e-06	0.0162675
0.1	0.9	2.72	4.3178e-05	5.77359e-06	0.0166673
0.1	0.9	2.76	3.57886e-05	4.78552e-06	0.0170671
0.1	0.9	2.8	2.96856e-05	3.96944e-06	0.017467
0.1	0.9	2.84	2.46404e-05	3.29482e-06	0.0178669
0.1	0.9	2.88	2.04662e-05	2.73666e-06	0.0182668
0.1	0.9	2.92	1.70098e-05	2.27449e-06	0.0186667
0.1	0.9	2.96	1.41457e-05	1.8915e-06	0.0190666
0.1	0.9	3	1.17705e-05	1.57391e-06	0.0194665
0.1	0.9	3.04	9.81673e-06	1.31266e-06	0.0194665
0.1	0.9	3.08	8.21627e-06	1.09865e-06	0.0194664
0.1	0.9	3.12	6.89676e-06	9.22208e-07	0.0194664
0.1	0.9	3.16	5.8031e-06	7.75968e-07	0.0194664
0.1	0.9	3.2	4.89263e-06	6.54223e-07	0.0194663
0.1	0.9	3.24	4.13188e-06	5.52499e-07	0.0194663
0.1	0.9	3.28	3.49429e-06	4.67242e-07	0.0194663
0.1	0.9	3.32	2.95854e-06	3.95604e-07	0.0194663
0.1	0.9	3.36	2.5074e-06	3.35279e-07	0.0194663
0.1	0.9	3.4	2.12681e-06	2.84389e-07	0.0194663
0.1	0.9	3.44	1.80526e-06	2.41392e-07	0.0194663
0.1	0.9	3.48	1.53323e-06	2.05017e-07	0.0194662
0.1	0.9	3.52	1.30284e-06	1.74211e-07	0.0194662
0.1	0.9	3.56	1.10754e-06	1.48096e-07	0.0194662
0.1	0.9	3.6	9.4186e-07	1.25942e-07	0.0194662
0.1	0.9	3.64	8.01206e-07	1.07134e-07	0.0194662
0.1	0.9	3.68	6.81734e-07	9.11589e-08	0.0194662
0.1	0.9	3.72	5.80205e-07	7.75828e-08	0.0194662
0.1	0.9	3.76	4.93889e-07	6.60409e-08	0.0194662
0.1	0.9	3.8	4.20481e-07	5.62251e-08	0.0194662
0.1	0.9	3.84	3.58032e-07	4.78747e-08	0.0194662
0.1	0.9	3.88	3.04893e-07	4.07692e-08	0.0194662
0.1	0.9	3.92	2.59667e-07	3.47216e-08	0.0194662
0.1	0.9	3.96	2.21167e-07	2.95736e-08	0.0194662
0.1	0.9	4	1.88389e-07	2.51907e-08	0.0194662
0.1	0.9	4.04	1.60479e-07	2.14586e-08	0.0194662
0.1	0.9	4.08	1.36711e-07	1.82804e-08	0.0194662
0.1	0.9	4.12	1.16468e-07	1.55736e-08	0.0194662
0.1	0.9	4.16	9.9226e-08	1.32681e-08	0.0194662
0.1	0.9	4.2	8.45393e-08	1.13043e-08	0.0194662
0.1	0.9	4.24	7.20284e-08	9.63136e-09	0.0194662
0.1	0.9	4.28	6.13704e-08	8.20621e-09	0.0194662
0.1	0.9	4.32	5.22905e-08	6.99208e-09	0.0194662
0.1	0.9	4.36	4.45547e-08	5.95768e-09	0.0194662
0.1	0.9	4.4	3.79639e-08	5.07639e-09	0.0194662
0.1	0.9	4.44	3.23484e-08	4.32551e-09	0.0194662
0.1	0.9	4.48	2.75639e-08	3.68573e-09	0.0194662
0.1	0.9	4.52	2.34872e-08	3.14062e-09	0.0194662
0.1	0.9	4.56	2.00136e-08	2.67614e-09	0.0194662
0.1	0.9	4.6	1.70538e-08	2.28037e-09	0.0194662
0.1	0.9	4.64	1.45319e-08	1.94314e-09	0.0194662
0.1	0.9	4.68	1.23829e-08	1.65579e-09	0.0194662
0.1	0.9	4.72	1.05518e-08	1.41094e-09	0.0194662
0.1	0.9	4.76	8.99145e-09	1.2023e-09	0.0194662
0.1	0.9	4.8	7.66188e-09	1.02452e-09	0.0194662
0.1	0.9	4.84	6.52893e-09	8.73024e-10	0.0194662
0.1	0.9	4.88	5.56352e-09	7.43933e-10	0.0194662
0.1	0.9	4.92	4.74087e-09	6.33931e-10	0.0194662
0.1	0.9	4.96	4.03987e-09	5.40196e-10	0.0194662
0.1	0.9	5	3.44252e-09	4.60321e-10	0.0194662
0.1	0.9	5.04	2.93351e-09	3.92257e-10	0.0194662
0.1	0.9	5.08	2.49976e-09	3.34258e-10	0.0194662
0.1	0.9	5.12	2.13014e-09	2.84834e-10	0.0194662
0.1	0.9	5.16	1.81518e-09	2.42719e-10	0.0194662
0.1	0.9	5.2	1.54679e-09	2.06831e-10	0.0194662
0.1	0.9	5.24	1.31808e-09	1.76249e-10	0.0194662
0.1	0.9	5.28	1.12319e-09	1.50189e-10	0.0194662
0.1	0.9	5.32	9.5712e-10	1.27982e-10	0.0194662
0.1	0.9	5.36	8.15603e-10	1.09059e-10	0.0194662
0.1	0.9	5.4	6.9501e-10	9.2934e-11	0.0194662
0.1	0.9	5.44	5.92248e-10	7.9193e-11	0.0194662
0.1	0.9	5.48	5.0468e-10	6.74838e-11	0.0194662
0.1	0.9	5.52	4.30059e-10	5.75058e-11	0.0194662
0.1	0.9	5.56	3.66472e-10	4.90032e-11	0.0194662
0.1	0.9	5.6	3.12287e-10	4.17577e-11	0.0194662
0.1	0.9	5.64	2.66113e-10	3.55836e-11	0.0194662
0.1	0.9	5.68	2.26766e-10	3.03223e-11	0.0194662
0.1	0.9	5.72	1.93237e-10	2.5839e-11	0.0194662
0.1	0.9	5.76	1.64666e-10	2.20185e-11	0.0194662
0.1	0.9	5.8	1.40319e-10	1.87629e-11	0.0194662
0.1	0.9	5.84	1.19572e-10	1.59887e-11	0.0194662
0.1	0.9	5.88	1.01893e-10	1.36247e-11	0.0194662
0.1	0.9	5.92	8.68271e-11	1.16102e-11	0.0194662
0.1	0.9	5.96	7.39891e-11	9.89354e-12	0.0194662
0.1	0.9	6	6.30494e-11	8.43072e-12	0.0194662
0.1	0.9	6.04	5.37271e-11	7.18418e-12	0.0194662
0.1	0.9	6.08	4.57832e-11	6.12196e-12	0.0194662
0.1	0.9	6.12	3.90139e-11	5.21679e-12	0.0194662
0.1	0.9	6.16	3.32454e-11	4.44545e-12	0.0194662
0.1	0.9	6.2	2.83299e-11	3.78816e-12	0.0194662
0.1	0.9	6.24	2.41411e-11	3.22806e-12	0.0194662
0.1	0.9	6.28	2.05717e-11	2.75077e-12	0.0194662
0.1	0.9	6.32	1.75301e-11	2.34405e-12	0.0194662
0.1	0.9	6.36	1.49381e-11	1.99747e-12	0.0194662
0.1	0.9	6.4	1.27294e-11	1.70213e-12	0.0194662
0.1	0.9	6.44	1.08473e-11	1.45046e-12	0.0194662
0.1	0.9	6.48	9.24347e-12	1.236e-12	0.0194662
0.1	0.9	6.52	7.87677e-12	1.05325e-12	0.0194662
0.1	0.9	6.56	6.71214e-12	8.97521e-13	0.0194662
0.1	0.9	6.6	5.71971e-12	7.64817e-13	0.0194662
0.1	0.9	6.64	4.87401e-12	6.51734e-13	0.0194662
0.1	0.9	6.68	4.15336e-12	5.55371e-13	0.0194662
0.1	0.9	6.72	3.53926e-12	4.73256e-13	0.0194662
0.1	0.9	6.76	3.01596e-12	4.03282e-13	0.0194662
0.1	0.9	6.8	2.57003e-12	3.43654e-13	0.0194662
0.1	0.9	6.84	2.19003e-12	2.92843e-13	0.0194662
0.1	0.9	6.88	1.86622e-12	2.49544e-13	0.0194662
0.1	0.9	6.92	1.59029e-12	2.12648e-13	0.0194662
0.1	0.9	6.96	1.35516e-12	1.81206e-13	0.0194662
0.1	0.9	7	1.15479e-12	1.54414e-13	0.0194662
0.1	0.9	7.04	9.84046e-13	1.31583e-13	0.0194662
0.1	0.9	7.08	8.38549e-13	1.12127e-13	0.0194662
0.1	0.9	7.12	7.14564e-13	9.55487e-14	0.0194662
0.1	0.9	7.16	6.08911e-13	8.14213e-14	0.0194662
0.1	0.9	7.2	5.1888e-13	6.93826e-14	0.0194662
0.1	0.9	7.24	4.4216e-13	5.9124e-14	0.0194662
0.1	0.9	7.28	3.76784e-13	5.03821e-14	0.0194662
0.1	0.9	7.32	3.21074e-13	4.29328e-14	0.0194662
0.1	0.9	7.36	2.73601e-13	3.65849e-14	0.0194662
0.1	0.9	7.4	2.33148e-13	3.11756e-14	0.0194662
0.1	0.9	7.44	1.98675e-13	2.65661e-14	0.0194662
0.1	0.9	7.48	1.693e-13	2.26381e-14	0.0194662
0.1	0.9	7.52	1.44268e-13	1.9291e-14	0.0194662
0.1	0.9	7.56	1.22937e-13	1.64387e-14	0.0194662
0.1	0.9	7.6	1.0476e-13	1.40081e-14	0.0194662
0.1	0.9	7.64	8.92706e-14	1.19369e-14	0.0194662
0.1	0.9	7.68	7.60714e-14	1.0172e-14	0.0194662
0.1	0.9	7.72	6.48238e-14	8.66798e-15	0.0194662
0.1	0.9	7.76	5.52392e-14	7.38637e-15	0.0194662
0.1	0.9	7.8	4.70717e-14	6.29425e-15	0.0194662
0.1	0.9	7.84	4.01119e-14	5.36361e-15	0.0194662
0.1	0.9	7.88	3.41811e-14	4.57056e-15	0.0194662
0.1	0.9	7.92	2.91272e-14	3.89478e-15	0.0194662
0.1	0.9	7.96	2.48206e-14	3.31891e-15	0.0194662
0.1	0.9	8	2.11507e-14	2.82819e-15	0.0194662
0.1	0.9	8.04	1.80234e-14	2.41002e-15	0.0194662
0.1	0.9	8.08	1.53586e-14	2.05369e-15	0.0194662
0.1	0.9	8.12	1.30877e-14	1.75004e-15	0.0194662
0.1	0.9	8.16	1.11526e-14	1.49128e-15	0.0194662
0.1	0.9	8.2	9.50362e-15	1.27079e-15	0.0194662
0.1	0.9	8.24	8.09845e-15	1.08289e-15	0.0194662
0.1	0.9	8.28	6.90104e-15	9.22781e-16	0.0194662
0.1	0.9	8.32	5.88068e-15	7.86342e-16	0.0194662
0.1	0.9	8.36	5.01119e-15	6.70076e-16	0.0194662
0.1	0.9	8.4	4.27025e-15	5.71001e-16	0.0194662
0.1	0.9	8.44	3.63887e-15	4.86575e-16	0.0194662
0.1	0.9	8.48	3.10084e-15	4.14632e-16	0.0194662
0.1	0.9	8.52	2.64236e-15	3.53326e-16	0.0194662
0.1	0.9	8.56	2.25167e-15	3.01085e-16	0.0194662
0.1	0.9	8.6	1.91875e-15	2.56567e-16	0.0194662
0.1	0.9	8.64	1.63505e-15	2.18632e-16	0.0194662
0.1	0.9	8.68	1.3933e-15	1.86306e-16	0.0194662
0.1	0.9	8.72	1.18729e-15	1.5876e-16	0.0194662
0.1	0.9	8.76	1.01174e-15	1.35286e-16	0.0194662
0.1	0.9	8.8	8.62149e-16	1.15283e-16	0.0194662
0.1	0.9	8.84	7.34675e-16	9.82379e-17	0.0194662
0.1	0.9	8.88	6.26049e-16	8.37128e-17	0.0194662
0.1	0.9	8.92	5.33483e-16	7.13353e-17	0.0194662
0.1	0.9	8.96	4.54605e-16	6.0788e-17	0.0194662
0.1	0.9	9	3.87388e-16	5.18001e-17	0.0194662
0.1	0.9	9.04	3.30111e-16	4.41411e-17	0.0194662
0.1	0.9	9.08	2.81302e-16	3.76146e-17	0.0194662
0.1	0.9	9.12	2.3971e-16	3.2053e-17	0.0194662
0.1	0.9	9.16	2.04267e-16	2.73138e-17	0.0194662
0.1	0.9	9.2	1.74065e-16	2.32753e-17	0.0194662
0.1	0.9	9.24	1.48328e-16	1.98339e-17	0.0194662
0.1	0.9	9.28	1.26397e-16	1.69013e-17	0.0194662
0.1	0.9	9.32	1.07708e-16	1.44024e-17	0.0194662
0.1	0.9	9.36	9.17831e-17	1.22729e-17	0.0194662
0.1	0.9	9.4	7.82124e-17	1.04583e-17	0.0194662
0.1	0.9	9.44	6.66482e-17	8.91194e-18	0.0194662
0.1	0.9	9.48	5.67938e-17	7.59425e-18	0.0194662
0.1	0.9	9.52	4.83965e-17	6.47139e-18	0.0194662
0.1	0.9	9.56	4.12408e-17	5.51456e-18	0.0194662
