# Filename: 2DKT_FPinject_SteadyState_vsl_T_0.1_lmax10_dl0.008_linj3_InjConst2.5e-06.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=2.5e-06, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.80373e-33
0.1	0.9	0.04	7.47852	0.999999	4.50785e-08
0.1	0.9	0.08	7.4785	0.999996	5.19631e-08
0.1	0.9	0.12	7.47848	0.999994	5.30147e-08
0.1	0.9	0.16	7.47846	0.99999	5.31754e-08
0.1	0.9	0.2	7.47843	0.999986	5.32002e-08
0.1	0.9	0.24	7.47839	0.999981	5.32041e-08
0.1	0.9	0.28	7.47835	0.999976	5.3205e-08
0.1	0.9	0.32	7.4783	0.999969	5.32054e-08
0.1	0.9	0.36	7.47824	0.999962	5.32058e-08
0.1	0.9	0.4	7.47818	0.999953	5.32062e-08
0.1	0.9	0.44	7.4781	0.999942	5.32067e-08
0.1	0.9	0.48	7.47801	0.99993	5.32073e-08
0.1	0.9	0.52	7.4779	0.999915	5.3208e-08
0.1	0.9	0.56	7.47777	0.999898	5.32089e-08
0.1	0.9	0.6	7.47762	0.999878	5.32099e-08
0.1	0.9	0.64	7.47745	0.999855	5.3211e-08
0.1	0.9	0.68	7.47724	0.999828	5.32124e-08
0.1	0.9	0.72	7.477	0.999795	5.32139e-08
0.1	0.9	0.76	7.47672	0.999758	5.32158e-08
0.1	0.9	0.8	7.47639	0.999713	5.3218e-08
0.1	0.9	0.84	7.476	0.999661	5.32205e-08
0.1	0.9	0.88	7.47554	0.9996	5.32235e-08
0.1	0.9	0.92	7.475	0.999528	5.3227e-08
0.1	0.9	0.96	7.47437	0.999444	5.32312e-08
0.1	0.9	1	7.47363	0.999345	5.3236e-08
0.1	0.9	1.04	7.47277	0.99923	5.32417e-08
0.1	0.9	1.08	7.47175	0.999094	5.32484e-08
0.1	0.9	1.12	7.47056	0.998934	5.32562e-08
0.1	0.9	1.16	7.46916	0.998747	5.32654e-08
0.1	0.9	1.2	7.46752	0.998527	5.32762e-08
0.1	0.9	1.24	7.46559	0.99827	5.32889e-08
0.1	0.9	1.28	7.46333	0.997968	5.33037e-08
0.1	0.9	1.32	7.46068	0.997613	5.33212e-08
0.1	0.9	1.36	7.45757	0.997197	5.33417e-08
