# Filename: 2DKT_FPinject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.692891	0.926507	0.0371114
1	0	0.08	0.562103	0.751622	0.0687591
1	0	0.12	0.41716	0.55781	0.0985693
1	0	0.16	0.295909	0.395677	0.128552
1	0	0.2	0.206579	0.276229	0.159612
1	0	0.24	0.144246	0.19288	0.191995
1	0	0.28	0.101543	0.13578	0.22565
1	0	0.32	0.0723097	0.0966897	0.260419
1	0	0.36	0.0521417	0.0697218	0.296127
1	0	0.4	0.0380672	0.050902	0.332608
1	0	0.44	0.0281186	0.0375991	0.36972
1	0	0.48	0.020995	0.0280737	0.407347
1	0	0.52	0.0158306	0.0211681	0.445393
1	0	0.56	0.012043	0.0161034	0.48378
1	0	0.6	0.0092351	0.0123488	0.522446
1	0	0.64	0.00713311	0.00953811	0.56134
1	0	0.68	0.00554543	0.00741513	0.600421
1	0	0.72	0.00433645	0.00579853	0.639657
1	0	0.76	0.00340904	0.00455844	0.679019
1	0	0.8	0.00269284	0.00360076	0.718487
1	0	0.84	0.00213637	0.00285668	0.758041
1	0	0.88	0.00170161	0.00227533	0.797668
1	0	0.92	0.00136022	0.00181884	0.837355
1	0	0.96	0.00109091	0.00145872	0.877093
1	0	1	0.000877562	0.00117344	0.916872
1	0	1.04	0.000707895	0.000946569	0.956686
1	0	1.08	0.000572486	0.000765506	0.99653
1	0	1.12	0.000464066	0.000620531	1.0364
1	0	1.16	0.000376996	0.000504104	1.07629
1	0	1.2	0.000306877	0.000410344	1.11619
1	0	1.24	0.000250265	0.000334644	1.15611
1	0	1.28	0.000204449	0.000273381	1.19605
1	0	1.32	0.00016729	0.000223694	1.23599
1	0	1.36	0.00013709	0.000183311	1.27594
1	0	1.4	0.000112499	0.00015043	1.3159
1	0	1.44	9.24408e-05	0.000123608	1.35587
1	0	1.48	7.60521e-05	0.000101694	1.39584
1	0	1.52	6.26411e-05	8.37612e-05	1.43581
1	0	1.56	5.16509e-05	6.90656e-05	1.47579
1	0	1.6	4.26324e-05	5.70064e-05	1.51578
1	0	1.64	3.52225e-05	4.70981e-05	1.55576
1	0	1.68	2.91269e-05	3.89473e-05	1.59575
1	0	1.72	2.41069e-05	3.22348e-05	1.63574
1	0	1.76	1.99683e-05	2.67008e-05	1.67573
1	0	1.8	1.65529e-05	2.21339e-05	1.71572
1	0	1.84	1.37318e-05	1.83616e-05	1.75571
1	0	1.88	1.13993e-05	1.52427e-05	1.79571
1	0	1.92	9.46932e-06	1.2662e-05	1.8357
1	0	1.96	7.87101e-06	1.05248e-05	1.8757
1	0	2	6.5464e-06	8.7536e-06	1.9157
1	0	2.04	5.44782e-06	7.28461e-06	1.95569
1	0	2.08	4.53607e-06	6.06545e-06	1.99569
1	0	2.12	3.77888e-06	5.05297e-06	2.03569
1	0	2.16	3.14965e-06	4.21159e-06	2.07569
1	0	2.2	2.62645e-06	3.51199e-06	2.11569
1	0	2.24	2.19116e-06	2.92994e-06	2.15568
1	0	2.28	1.82882e-06	2.44542e-06	2.19568
1	0	2.32	1.52704e-06	2.04189e-06	2.23568
1	0	2.36	1.27557e-06	1.70564e-06	2.27568
1	0	2.4	1.06593e-06	1.42532e-06	2.31568
1	0	2.44	8.91073e-07	1.19151e-06	2.35568
1	0	2.48	7.4517e-07	9.96412e-07	2.39568
1	0	2.52	6.23373e-07	8.3355e-07	2.43568
1	0	2.56	5.21658e-07	6.97541e-07	2.47568
1	0	2.6	4.36681e-07	5.83913e-07	2.51568
1	0	2.64	3.6566e-07	4.88947e-07	2.55568
1	0	2.68	3.06282e-07	4.09549e-07	2.59568
1	0	2.72	2.56621e-07	3.43143e-07	2.63568
1	0	2.76	2.15072e-07	2.87586e-07	2.67568
1	0	2.8	1.80299e-07	2.41089e-07	2.71568
1	0	2.84	1.51188e-07	2.02163e-07	2.75568
1	0	2.88	1.2681e-07	1.69565e-07	2.79568
1	0	2.92	1.06389e-07	1.42259e-07	2.83568
1	0	2.96	8.92774e-08	1.19378e-07	2.87568
1	0	3	7.49356e-08	1.00201e-07	2.91568
1	0	3.04	6.29826e-08	8.42178e-08	2.91568
1	0	3.08	5.30519e-08	7.09389e-08	2.91568
1	0	3.12	4.47683e-08	5.98625e-08	2.91568
1	0	3.16	3.78356e-08	5.05923e-08	2.91568
1	0	3.2	3.20172e-08	4.28122e-08	2.91568
1	0	3.24	2.71226e-08	3.62672e-08	2.91568
1	0	3.28	2.29969e-08	3.07506e-08	2.91568
1	0	3.32	1.95136e-08	2.60929e-08	2.91568
1	0	3.36	1.65686e-08	2.21549e-08	2.91568
1	0	3.4	1.40757e-08	1.88214e-08	2.91568
1	0	3.44	1.19633e-08	1.59969e-08	2.91568
1	0	3.48	1.0172e-08	1.36015e-08	2.91568
1	0	3.52	8.65169e-09	1.15687e-08	2.91568
1	0	3.56	7.3607e-09	9.84244e-09	2.91568
1	0	3.6	6.26384e-09	8.37576e-09	2.91568
1	0	3.64	5.33151e-09	7.12909e-09	2.91568
1	0	3.68	4.53874e-09	6.06902e-09	2.91568
1	0	3.72	3.86441e-09	5.16734e-09	2.91568
1	0	3.76	3.29068e-09	4.40017e-09	2.91568
1	0	3.8	2.80243e-09	3.7473e-09	2.91568
1	0	3.84	2.38683e-09	3.19158e-09	2.91568
1	0	3.88	2.03303e-09	2.71848e-09	2.91568
1	0	3.92	1.73178e-09	2.31567e-09	2.91568
1	0	3.96	1.47525e-09	1.97265e-09	2.91568
1	0	4	1.25678e-09	1.68052e-09	2.91568
1	0	4.04	1.07071e-09	1.43171e-09	2.91568
1	0	4.08	9.12219e-10	1.21978e-09	2.91568
1	0	4.12	7.77211e-10	1.03926e-09	2.91568
1	0	4.16	6.622e-10	8.85468e-10	2.91568
1	0	4.2	5.64221e-10	7.54454e-10	2.91568
1	0	4.24	4.80747e-10	6.42836e-10	2.91568
1	0	4.28	4.09629e-10	5.4774e-10	2.91568
1	0	4.32	3.49036e-10	4.66718e-10	2.91568
1	0	4.36	2.9741e-10	3.97685e-10	2.91568
1	0	4.4	2.53422e-10	3.38866e-10	2.91568
1	0	4.44	2.15942e-10	2.88749e-10	2.91568
1	0	4.48	1.84006e-10	2.46046e-10	2.91568
1	0	4.52	1.56794e-10	2.09659e-10	2.91568
1	0	4.56	1.33608e-10	1.78655e-10	2.91568
1	0	4.6	1.1385e-10	1.52236e-10	2.91568
1	0	4.64	9.70146e-11	1.29724e-10	2.91568
1	0	4.68	8.26689e-11	1.10542e-10	2.91568
1	0	4.72	7.04447e-11	9.41959e-11	2.91568
1	0	4.76	6.00282e-11	8.02674e-11	2.91568
1	0	4.8	5.11521e-11	6.83986e-11	2.91568
1	0	4.84	4.35885e-11	5.82849e-11	2.91568
1	0	4.88	3.71434e-11	4.96667e-11	2.91568
1	0	4.92	3.16513e-11	4.23229e-11	2.91568
1	0	4.96	2.69713e-11	3.6065e-11	2.91568
1	0	5	2.29833e-11	3.07324e-11	2.91568
1	0	5.04	1.9585e-11	2.61883e-11	2.91568
1	0	5.08	1.66892e-11	2.23161e-11	2.91568
1	0	5.12	1.42215e-11	1.90165e-11	2.91568
1	0	5.16	1.21188e-11	1.62047e-11	2.91568
1	0	5.2	1.03269e-11	1.38087e-11	2.91568
1	0	5.24	8.79999e-12	1.1767e-11	2.91568
1	0	5.28	7.49884e-12	1.00272e-11	2.91568
1	0	5.32	6.39009e-12	8.54457e-12	2.91568
1	0	5.36	5.44526e-12	7.2812e-12	2.91568
1	0	5.4	4.64014e-12	6.20462e-12	2.91568
1	0	5.44	3.95407e-12	5.28722e-12	2.91568
1	0	5.48	3.36943e-12	4.50547e-12	2.91568
1	0	5.52	2.87124e-12	3.83931e-12	2.91568
1	0	5.56	2.44671e-12	3.27164e-12	2.91568
1	0	5.6	2.08494e-12	2.78791e-12	2.91568
1	0	5.64	1.77667e-12	2.3757e-12	2.91568
1	0	5.68	1.51398e-12	2.02443e-12	2.91568
1	0	5.72	1.29013e-12	1.72511e-12	2.91568
1	0	5.76	1.09937e-12	1.47004e-12	2.91568
1	0	5.8	9.36825e-13	1.25269e-12	2.91568
1	0	5.84	7.98309e-13	1.06747e-12	2.91568
1	0	5.88	6.80274e-13	9.09636e-13	2.91568
1	0	5.92	5.79691e-13	7.75141e-13	2.91568
1	0	5.96	4.9398e-13	6.60531e-13	2.91568
1	0	6	4.20942e-13	5.62867e-13	2.91568
1	0	6.04	3.58703e-13	4.79644e-13	2.91568
1	0	6.08	3.05667e-13	4.08726e-13	2.91568
1	0	6.12	2.60472e-13	3.48293e-13	2.91568
1	0	6.16	2.2196e-13	2.96796e-13	2.91568
1	0	6.2	1.89141e-13	2.52913e-13	2.91568
1	0	6.24	1.61176e-13	2.15518e-13	2.91568
1	0	6.28	1.37345e-13	1.83652e-13	2.91568
1	0	6.32	1.17038e-13	1.56498e-13	2.91568
1	0	6.36	9.97328e-14	1.33359e-13	2.91568
1	0	6.4	8.49867e-14	1.13641e-13	2.91568
1	0	6.44	7.24209e-14	9.68384e-14	2.91568
1	0	6.48	6.1713e-14	8.25203e-14	2.91568
1	0	6.52	5.25884e-14	7.03191e-14	2.91568
1	0	6.56	4.48128e-14	5.9922e-14	2.91568
1	0	6.6	3.8187e-14	5.10622e-14	2.91568
1	0	6.64	3.25408e-14	4.35123e-14	2.91568
1	0	6.68	2.77294e-14	3.70787e-14	2.91568
1	0	6.72	2.36295e-14	3.15964e-14	2.91568
1	0	6.76	2.01357e-14	2.69247e-14	2.91568
1	0	6.8	1.71585e-14	2.29437e-14	2.91568
1	0	6.84	1.46215e-14	1.95513e-14	2.91568
1	0	6.88	1.24596e-14	1.66606e-14	2.91568
1	0	6.92	1.06174e-14	1.41972e-14	2.91568
1	0	6.96	9.04756e-15	1.2098e-14	2.91568
1	0	7	7.70982e-15	1.03093e-14	2.91568
1	0	7.04	6.56988e-15	8.78498e-15	2.91568
1	0	7.08	5.59848e-15	7.48607e-15	2.91568
1	0	7.12	4.77071e-15	6.37921e-15	2.91568
1	0	7.16	4.06533e-15	5.436e-15	2.91568
1	0	7.2	3.46425e-15	4.63225e-15	2.91568
1	0	7.24	2.95204e-15	3.94735e-15	2.91568
1	0	7.28	2.51556e-15	3.36371e-15	2.91568
1	0	7.32	2.14362e-15	2.86636e-15	2.91568
1	0	7.36	1.82667e-15	2.44255e-15	2.91568
1	0	7.4	1.55659e-15	2.08141e-15	2.91568
1	0	7.44	1.32643e-15	1.77366e-15	2.91568
1	0	7.48	1.13031e-15	1.51141e-15	2.91568
1	0	7.52	9.63189e-16	1.28794e-15	2.91568
1	0	7.56	8.20776e-16	1.09751e-15	2.91568
1	0	7.6	6.99419e-16	9.35236e-16	2.91568
1	0	7.64	5.96006e-16	7.96956e-16	2.91568
1	0	7.68	5.07883e-16	6.79121e-16	2.91568
1	0	7.72	4.32789e-16	5.78709e-16	2.91568
1	0	7.76	3.68798e-16	4.93143e-16	2.91568
1	0	7.8	3.14269e-16	4.20229e-16	2.91568
1	0	7.84	2.67803e-16	3.58095e-16	2.91568
1	0	7.88	2.28206e-16	3.05149e-16	2.91568
1	0	7.92	1.94465e-16	2.60031e-16	2.91568
1	0	7.96	1.65712e-16	2.21583e-16	2.91568
1	0	8	1.4121e-16	1.88821e-16	2.91568
1	0	8.04	1.20331e-16	1.60903e-16	2.91568
1	0	8.08	1.0254e-16	1.37112e-16	2.91568
1	0	8.12	8.73786e-17	1.16839e-16	2.91568
1	0	8.16	7.44591e-17	9.95638e-17	2.91568
1	0	8.2	6.34499e-17	8.48427e-17	2.91568
1	0	8.24	5.40684e-17	7.22982e-17	2.91568
1	0	8.28	4.60741e-17	6.16084e-17	2.91568
1	0	8.32	3.92617e-17	5.24993e-17	2.91568
1	0	8.36	3.34566e-17	4.47369e-17	2.91568
1	0	8.4	2.85099e-17	3.81223e-17	2.91568
1	0	8.44	2.42945e-17	3.24857e-17	2.91568
1	0	8.48	2.07024e-17	2.76825e-17	2.91568
1	0	8.52	1.76414e-17	2.35894e-17	2.91568
1	0	8.56	1.5033e-17	2.01016e-17	2.91568
1	0	8.6	1.28103e-17	1.71294e-17	2.91568
1	0	8.64	1.09162e-17	1.45968e-17	2.91568
1	0	8.68	9.30219e-18	1.24385e-17	2.91568
1	0	8.72	7.92681e-18	1.05994e-17	2.91568
1	0	8.76	6.75478e-18	9.03223e-18	2.91568
1	0	8.8	5.75604e-18	7.69676e-18	2.91568
1	0	8.84	4.90498e-18	6.55874e-18	2.91568
1	0	8.88	4.17974e-18	5.58899e-18	2.91568
1	0	8.92	3.56174e-18	4.76263e-18	2.91568
1	0	8.96	3.03512e-18	4.05844e-18	2.91568
1	0	9	2.58636e-18	3.45838e-18	2.91568
1	0	9.04	2.20395e-18	2.94703e-18	2.91568
1	0	9.08	1.87808e-18	2.5113e-18	2.91568
1	0	9.12	1.60039e-18	2.13999e-18	2.91568
1	0	9.16	1.36377e-18	1.82358e-18	2.91568
1	0	9.2	1.16212e-18	1.55395e-18	2.91568
1	0	9.24	9.90298e-19	1.32419e-18	2.91568
1	0	9.28	8.43876e-19	1.1284e-18	2.91568
1	0	9.32	7.19104e-19	9.61557e-19	2.91568
1	0	9.36	6.1278e-19	8.19385e-19	2.91568
1	0	9.4	5.22176e-19	6.98234e-19	2.91568
1	0	9.44	4.44969e-19	5.94996e-19	2.91568
1	0	9.48	3.79178e-19	5.07022e-19	2.91568
1	0	9.52	3.23114e-19	4.32056e-19	2.91568
1	0	9.56	2.7534e-19	3.68173e-19	2.91568
1	0	9.6	2.34629e-19	3.13737e-19	2.91568
1	0	9.64	1.99938e-19	2.67349e-19	2.91568
1	0	9.68	1.70376e-19	2.2782e-19	2.91568
1	0	9.72	1.45185e-19	1.94135e-19	2.91568
1	0	9.76	1.23718e-19	1.65431e-19	2.91568
1	0	9.8	1.05426e-19	1.40971e-19	2.91568
1	0	9.84	8.98378e-20	1.20128e-19	2.91568
1	0	9.88	7.65547e-20	1.02366e-19	2.91568
1	0	9.92	6.52356e-20	8.72305e-20	2.91568
1	0	9.96	5.55901e-20	7.43329e-20	2.91568
1	0	10	4.73708e-20	6.33424e-20	2.91568
