# Filename: 2DKT_FPinject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1e-06_sink.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-06, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.746166	0.997744	0.000516338
1	0	0.08	0.744531	0.995558	0.000428134
1	0	0.12	0.742948	0.993441	0.000355141
1	0	0.16	0.741412	0.991388	0.000294708
1	0	0.2	0.739923	0.989396	0.000244652
1	0	0.24	0.738477	0.987463	0.000203173
1	0	0.28	0.737074	0.985586	0.000168786
1	0	0.32	0.73571	0.983763	0.000140269
1	0	0.36	0.734385	0.981992	0.000116609
1	0	0.4	0.733097	0.980269	9.69712e-05
1	0	0.44	0.731844	0.978593	8.06666e-05
1	0	0.48	0.730625	0.976963	6.71243e-05
1	0	0.52	0.729438	0.975376	5.58724e-05
1	0	0.56	0.728282	0.97383	4.65203e-05
1	0	0.6	0.727156	0.972325	3.87447e-05
1	0	0.64	0.726059	0.970857	3.22778e-05
1	0	0.68	0.724989	0.969427	2.68975e-05
1	0	0.72	0.723946	0.968032	2.24201e-05
1	0	0.76	0.722928	0.966672	1.86928e-05
1	0	0.8	0.721935	0.965344	1.55891e-05
1	0	0.84	0.720966	0.964048	1.30039e-05
1	0	0.88	0.720019	0.962782	1.08501e-05
1	0	0.92	0.719095	0.961546	9.05511e-06
1	0	0.96	0.718192	0.960338	7.55882e-06
1	0	1	0.717309	0.959158	6.31119e-06
1	0	1.04	0.716446	0.958004	5.27065e-06
1	0	1.08	0.715603	0.956876	4.40261e-06
1	0	1.12	0.714778	0.955773	3.6783e-06
1	0	1.16	0.71397	0.954694	3.07379e-06
1	0	1.2	0.713181	0.953637	2.56914e-06
1	0	1.24	0.712407	0.952603	2.14776e-06
1	0	1.28	0.71165	0.951591	1.79584e-06
1	0	1.32	0.710909	0.9506	1.50187e-06
1	0	1.36	0.710183	0.949629	1.25625e-06
1	0	1.4	0.709472	0.948678	1.05099e-06
1	0	1.44	0.708775	0.947746	8.79422e-07
1	0	1.48	0.708092	0.946833	7.3599e-07
1	0	1.52	0.707422	0.945937	6.16056e-07
1	0	1.56	0.706765	0.945059	5.15752e-07
1	0	1.6	0.706121	0.944198	4.3185e-07
1	0	1.64	0.705489	0.943353	3.61655e-07
1	0	1.68	0.70487	0.942524	3.02917e-07
1	0	1.72	0.704261	0.941711	2.53759e-07
1	0	1.76	0.703665	0.940913	2.1261e-07
1	0	1.8	0.703079	0.940129	1.7816e-07
1	0	1.84	0.702503	0.93936	1.49314e-07
1	0	1.88	0.701938	0.938605	1.25156e-07
1	0	1.92	0.701384	0.937863	1.04922e-07
1	0	1.96	0.700839	0.937134	8.79713e-08
1	0	2	0.700303	0.936418	7.37689e-08
1	0	2.04	0.699777	0.935715	6.18677e-08
1	0	2.08	0.69926	0.935023	5.18934e-08
1	0	2.12	0.698752	0.934343	4.35327e-08
1	0	2.16	0.698252	0.933675	3.65236e-08
1	0	2.2	0.697761	0.933018	3.06469e-08
1	0	2.24	0.697277	0.932372	2.57189e-08
1	0	2.28	0.696802	0.931737	2.15859e-08
1	0	2.32	0.696335	0.931112	1.81192e-08
1	0	2.36	0.695875	0.930497	1.52111e-08
1	0	2.4	0.695423	0.929892	1.27712e-08
1	0	2.44	0.694977	0.929297	1.07238e-08
1	0	2.48	0.694539	0.928711	9.00567e-09
1	0	2.52	0.694108	0.928134	7.56364e-09
1	0	2.56	0.693683	0.927566	6.35319e-09
1	0	2.6	0.693265	0.927007	5.33703e-09
1	0	2.64	0.692853	0.926457	4.48386e-09
1	0	2.68	0.692448	0.925915	3.76746e-09
1	0	2.72	0.692049	0.925381	3.16585e-09
1	0	2.76	0.691655	0.924855	2.66057e-09
1	0	2.8	0.691268	0.924337	2.23615e-09
1	0	2.84	0.690886	0.923826	1.87962e-09
1	0	2.88	0.69051	0.923323	1.58009e-09
1	0	2.92	0.690139	0.922827	1.32841e-09
1	0	2.96	0.689774	0.922339	1.11692e-09
1	0	3	0.689414	0.921857	9.39191e-10
1	0	3.04	0.681159	0.910819	3.75356e-08
1	0	3.08	0.656607	0.87799	6.85482e-08
1	0	3.12	0.616601	0.824495	9.53855e-08
1	0	3.16	0.563934	0.754071	1.19428e-07
1	0	3.2	0.502731	0.672233	1.41914e-07
1	0	3.24	0.437585	0.585122	1.63872e-07
1	0	3.28	0.372748	0.498424	1.86097e-07
1	0	3.32	0.311578	0.416629	2.09161e-07
1	0	3.36	0.256313	0.342732	2.33436e-07
1	0	3.4	0.208109	0.278275	2.59134e-07
1	0	3.44	0.167236	0.223622	2.86342e-07
1	0	3.48	0.133351	0.178312	3.15051e-07
1	0	3.52	0.105747	0.1414	3.45194e-07
1	0	3.56	0.0835548	0.111726	3.76664e-07
1	0	3.6	0.0658871	0.0881017	4.09331e-07
1	0	3.64	0.0519164	0.0694206	4.43063e-07
1	0	3.68	0.0409179	0.0547139	4.77727e-07
1	0	3.72	0.0322814	0.0431654	5.13199e-07
1	0	3.76	0.0255069	0.0341068	5.49365e-07
1	0	3.8	0.0201928	0.0270011	5.86124e-07
1	0	3.84	0.0160207	0.0214223	6.23388e-07
1	0	3.88	0.0127403	0.0170359	6.6108e-07
1	0	3.92	0.0101561	0.0135803	6.99135e-07
1	0	3.96	0.00811579	0.0108521	7.37494e-07
1	0	4	0.00650106	0.00869297	7.76112e-07
1	0	4.04	0.00521996	0.00697993	8.14946e-07
1	0	4.08	0.00420096	0.00561736	8.53963e-07
1	0	4.12	0.00338839	0.00453083	8.93134e-07
1	0	4.16	0.00273881	0.00366223	9.32434e-07
1	0	4.2	0.00221826	0.00296617	9.71844e-07
1	0	4.24	0.00180012	0.00240706	1.01135e-06
1	0	4.28	0.00146349	0.00195692	1.05092e-06
1	0	4.32	0.00119189	0.00159374	1.09057e-06
1	0	4.36	0.00097229	0.00130011	1.13027e-06
1	0	4.4	0.000794393	0.00106223	1.17001e-06
1	0	4.44	0.000650004	0.00086916	1.2098e-06
1	0	4.48	0.000532603	0.000712176	1.24962e-06
1	0	4.52	0.000436983	0.000584317	1.28946e-06
1	0	4.56	0.000358979	0.000480013	1.32933e-06
1	0	4.6	0.000295248	0.000394794	1.36922e-06
1	0	4.64	0.000243103	0.000325068	1.40913e-06
1	0	4.68	0.00020038	0.00026794	1.44905e-06
1	0	4.72	0.00016533	0.000221074	1.48898e-06
1	0	4.76	0.000136542	0.000182578	1.52892e-06
1	0	4.8	0.000112868	0.000150923	1.56888e-06
1	0	4.84	9.33786e-05	0.000124862	1.60884e-06
1	0	4.88	7.73175e-05	0.000103386	1.6488e-06
1	0	4.92	6.40685e-05	8.56699e-05	1.68877e-06
