# Filename: 2DKT_FPinject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1e-06_sinkzf.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-06, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.746166	0.997744	0.000516368
1	0	0.08	0.744531	0.995558	0.000428195
1	0	0.12	0.742947	0.99344	0.000355228
1	0	0.16	0.741411	0.991386	0.000294817
1	0	0.2	0.739921	0.989394	0.000244779
1	0	0.24	0.738475	0.98746	0.000203315
1	0	0.28	0.73707	0.985582	0.000168941
1	0	0.32	0.735705	0.983757	0.000140434
1	0	0.36	0.734379	0.981983	0.000116783
1	0	0.4	0.733088	0.980257	9.71527e-05
1	0	0.44	0.731833	0.978578	8.08543e-05
1	0	0.48	0.73061	0.976943	6.73173e-05
1	0	0.52	0.729419	0.975351	5.60698e-05
1	0	0.56	0.728259	0.9738	4.67214e-05
1	0	0.6	0.727128	0.972287	3.8949e-05
1	0	0.64	0.726024	0.970812	3.24848e-05
1	0	0.68	0.724947	0.969371	2.71069e-05
1	0	0.72	0.723895	0.967965	2.26314e-05
1	0	0.76	0.722867	0.96659	1.89058e-05
1	0	0.8	0.721862	0.965246	1.58036e-05
1	0	0.84	0.720878	0.96393	1.32197e-05
1	0	0.88	0.719915	0.962642	1.1067e-05
1	0	0.92	0.71897	0.961379	9.27298e-06
1	0	0.96	0.718044	0.96014	7.77755e-06
1	0	1	0.717133	0.958923	6.53069e-06
1	0	1.04	0.716238	0.957726	5.49083e-06
1	0	1.08	0.715356	0.956547	4.6234e-06
1	0	1.12	0.714487	0.955384	3.89964e-06
1	0	1.16	0.713627	0.954234	3.29562e-06
1	0	1.2	0.712775	0.953095	2.79143e-06
1	0	1.24	0.71193	0.951965	2.37048e-06
1	0	1.28	0.711088	0.950839	2.01895e-06
1	0	1.32	0.710247	0.949715	1.72535e-06
1	0	1.36	0.709405	0.948588	1.48008e-06
1	0	1.4	0.708557	0.947454	1.27515e-06
1	0	1.44	0.707699	0.946308	1.1039e-06
1	0	1.48	0.706828	0.945143	9.60773e-07
1	0	1.52	0.705938	0.943953	8.41137e-07
1	0	1.56	0.705023	0.942729	7.41127e-07
1	0	1.6	0.704076	0.941463	6.57515e-07
1	0	1.64	0.703089	0.940143	5.8761e-07
1	0	1.68	0.702053	0.938758	5.29165e-07
1	0	1.72	0.700957	0.937293	4.80303e-07
1	0	1.76	0.699789	0.935731	4.39459e-07
1	0	1.8	0.698534	0.934053	4.05325e-07
1	0	1.84	0.697176	0.932236	3.76809e-07
1	0	1.88	0.695694	0.930254	3.53e-07
1	0	1.92	0.694066	0.928077	3.33136e-07
1	0	1.96	0.692265	0.92567	3.16584e-07
1	0	2	0.690261	0.92299	3.02814e-07
1	0	2.04	0.688019	0.919992	2.91385e-07
1	0	2.08	0.685497	0.91662	2.81931e-07
1	0	2.12	0.682649	0.912812	2.74149e-07
1	0	2.16	0.67942	0.908494	2.67785e-07
1	0	2.2	0.675748	0.903585	2.62634e-07
1	0	2.24	0.671564	0.897989	2.58526e-07
1	0	2.28	0.666785	0.891599	2.55324e-07
1	0	2.32	0.661323	0.884296	2.52919e-07
1	0	2.36	0.655077	0.875943	2.51225e-07
1	0	2.4	0.647933	0.866391	2.50178e-07
1	0	2.44	0.63977	0.855476	2.49733e-07
1	0	2.48	0.630455	0.84302	2.49862e-07
1	0	2.52	0.619846	0.828834	2.5055e-07
1	0	2.56	0.607797	0.812723	2.51801e-07
1	0	2.6	0.59416	0.794488	2.5363e-07
1	0	2.64	0.578792	0.773938	2.56065e-07
1	0	2.68	0.561561	0.750898	2.59149e-07
1	0	2.72	0.542361	0.725224	2.62936e-07
1	0	2.76	0.521117	0.696818	2.67492e-07
1	0	2.8	0.497805	0.665646	2.72897e-07
1	0	2.84	0.472463	0.63176	2.79239e-07
1	0	2.88	0.445205	0.595311	2.86617e-07
1	0	2.92	0.416232	0.55657	2.95136e-07
1	0	2.96	0.385839	0.515929	3.04906e-07
1	0	3	0.354411	0.473905	3.16039e-07
1	0	3.04	0.324226	0.433542	2.90224e-07
1	0	3.08	0.296876	0.396971	2.68449e-07
1	0	3.12	0.271896	0.363568	2.49943e-07
1	0	3.16	0.248938	0.332871	2.34118e-07
1	0	3.2	0.227741	0.304526	2.20513e-07
1	0	3.24	0.208103	0.278267	2.08767e-07
1	0	3.28	0.189868	0.253885	1.98589e-07
1	0	3.32	0.172917	0.231217	1.89744e-07
1	0	3.36	0.157151	0.210137	1.8204e-07
1	0	3.4	0.142496	0.190539	1.75317e-07
1	0	3.44	0.128886	0.172342	1.69442e-07
1	0	3.48	0.11627	0.155472	1.64305e-07
1	0	3.52	0.1046	0.139868	1.59811e-07
1	0	3.56	0.0938349	0.125472	1.55878e-07
1	0	3.6	0.0839338	0.112233	1.52437e-07
1	0	3.64	0.074858	0.100097	1.49428e-07
1	0	3.68	0.0665683	0.0890125	1.46799e-07
1	0	3.72	0.059025	0.078926	1.44502e-07
1	0	3.76	0.0521874	0.0697829	1.42499e-07
1	0	3.8	0.0460136	0.0615276	1.40753e-07
1	0	3.84	0.0404611	0.054103	1.39234e-07
1	0	3.88	0.0354867	0.0474514	1.37913e-07
1	0	3.92	0.0310471	0.041515	1.36766e-07
1	0	3.96	0.0270995	0.0362364	1.35772e-07
1	0	4	0.0236018	0.0315593	1.34911e-07
