# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst100.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=100, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.0834518	0.111588	3.89778
1	0	0.08	0.0203968	0.0272738	7.84074
1	0	0.12	0.0082233	0.0109959	11.8095
1	0	0.16	0.00414824	0.00554686	15.7894
1	0	0.2	0.00237207	0.00317183	19.7755
1	0	0.24	0.00146892	0.00196419	23.7653
1	0	0.28	0.000961008	0.00128502	27.7576
1	0	0.32	0.000654396	0.000875033	31.7517
1	0	0.36	0.000459357	0.000614235	35.7471
1	0	0.4	0.00033021	0.000441545	39.7434
1	0	0.44	0.000241945	0.00032352	43.7404
1	0	0.48	0.000180061	0.000240771	47.738
1	0	0.52	0.000135756	0.000181527	51.736
1	0	0.56	0.000103477	0.000138366	55.7344
1	0	0.6	7.96121e-05	0.000106454	59.7331
1	0	0.64	6.17446e-05	8.25625e-05	63.732
1	0	0.68	4.82221e-05	6.44808e-05	67.7311
1	0	0.72	3.78917e-05	5.06673e-05	71.7304
1	0	0.76	2.99349e-05	4.00278e-05	75.7298
1	0	0.8	2.3762e-05	3.17736e-05	79.7292
1	0	0.84	1.89424e-05	2.5329e-05	83.7288
1	0	0.88	1.5158e-05	2.02687e-05	87.7284
1	0	0.92	1.21714e-05	1.62751e-05	91.7281
1	0	0.96	9.80362e-06	1.3109e-05	95.7279
1	0	1	7.91875e-06	1.05886e-05	99.7277
1	0	1.04	6.41271e-06	8.57483e-06	103.727
1	0	1.08	5.20531e-06	6.96034e-06	107.727
1	0	1.12	4.23434e-06	5.662e-06	111.727
1	0	1.16	3.45132e-06	4.61498e-06	115.727
1	0	1.2	2.81825e-06	3.76845e-06	119.727
1	0	1.24	2.30519e-06	3.0824e-06	123.727
1	0	1.28	1.88848e-06	2.52521e-06	127.727
1	0	1.32	1.54936e-06	2.07175e-06	131.727
1	0	1.36	1.27286e-06	1.70202e-06	135.727
1	0	1.4	1.04703e-06	1.40005e-06	139.727
1	0	1.44	8.62287e-07	1.15302e-06	143.727
1	0	1.48	7.10929e-07	9.50626e-07	147.727
1	0	1.52	5.86749e-07	7.84578e-07	151.727
1	0	1.56	4.84735e-07	6.48169e-07	155.727
1	0	1.6	4.00827e-07	5.3597e-07	159.727
1	0	1.64	3.31732e-07	4.43579e-07	163.727
1	0	1.68	2.74773e-07	3.67416e-07	167.727
1	0	1.72	2.27771e-07	3.04567e-07	171.727
1	0	1.76	1.88949e-07	2.52655e-07	175.727
1	0	1.8	1.56853e-07	2.09738e-07	179.727
1	0	1.84	1.30296e-07	1.74226e-07	183.727
1	0	1.88	1.08303e-07	1.44819e-07	187.727
1	0	1.92	9.00771e-08	1.20448e-07	191.727
1	0	1.96	7.49612e-08	1.00235e-07	195.727
1	0	2	6.24159e-08	8.34602e-08	199.727
1	0	2.04	5.19974e-08	6.95289e-08	203.727
1	0	2.08	4.33396e-08	5.79521e-08	207.726
1	0	2.12	3.61406e-08	4.83259e-08	211.726
1	0	2.16	3.01513e-08	4.03171e-08	215.726
1	0	2.2	2.51655e-08	3.36504e-08	219.726
1	0	2.24	2.10131e-08	2.80979e-08	223.726
1	0	2.28	1.75529e-08	2.34711e-08	227.726
1	0	2.32	1.46682e-08	1.96138e-08	231.726
1	0	2.36	1.22622e-08	1.63965e-08	235.726
1	0	2.4	1.02545e-08	1.37119e-08	239.726
1	0	2.44	8.57853e-09	1.14709e-08	243.726
1	0	2.48	7.17886e-09	9.5993e-09	247.726
1	0	2.52	6.0095e-09	8.03567e-09	251.726
1	0	2.56	5.03218e-09	6.72884e-09	255.726
1	0	2.6	4.21507e-09	5.63623e-09	259.726
1	0	2.64	3.53166e-09	4.72241e-09	263.726
1	0	2.68	2.95989e-09	3.95785e-09	267.726
1	0	2.72	2.48136e-09	3.31798e-09	271.726
1	0	2.76	2.08075e-09	2.78229e-09	275.726
1	0	2.8	1.74525e-09	2.33368e-09	279.726
1	0	2.84	1.46421e-09	1.95789e-09	283.726
1	0	2.88	1.22872e-09	1.643e-09	287.726
1	0	2.92	1.03135e-09	1.37908e-09	291.726
1	0	2.96	8.65871e-10	1.15781e-09	295.726
1	0	3	7.27103e-10	9.72255e-10	299.726
1	0	3.04	6.1137e-10	8.17501e-10	299.726
1	0	3.08	5.15147e-10	6.88835e-10	299.726
1	0	3.12	4.34834e-10	5.81444e-10	299.726
1	0	3.16	3.67583e-10	4.91518e-10	299.726
1	0	3.2	3.11118e-10	4.16014e-10	299.726
1	0	3.24	2.63599e-10	3.52475e-10	299.726
1	0	3.28	2.23534e-10	2.98901e-10	299.726
1	0	3.32	1.89699e-10	2.53657e-10	299.726
1	0	3.36	1.61085e-10	2.15397e-10	299.726
1	0	3.4	1.3686e-10	1.83003e-10	299.726
1	0	3.44	1.16329e-10	1.55551e-10	299.726
1	0	3.48	9.89164e-11	1.32267e-10	299.726
1	0	3.52	8.4137e-11	1.12505e-10	299.726
1	0	3.56	7.15854e-11	9.57212e-11	299.726
1	0	3.6	6.09203e-11	8.14603e-11	299.726
1	0	3.64	5.18544e-11	6.93377e-11	299.726
1	0	3.68	4.41451e-11	5.90291e-11	299.726
1	0	3.72	3.75872e-11	5.02602e-11	299.726
1	0	3.76	3.20075e-11	4.27991e-11	299.726
1	0	3.8	2.72588e-11	3.64494e-11	299.726
1	0	3.84	2.32167e-11	3.10445e-11	299.726
1	0	3.88	1.97755e-11	2.6443e-11	299.726
1	0	3.92	1.68454e-11	2.2525e-11	299.726
1	0	3.96	1.43502e-11	1.91886e-11	299.726
1	0	4	1.22252e-11	1.63471e-11	299.726
1	0	4.04	1.04153e-11	1.39269e-11	299.726
1	0	4.08	8.8736e-12	1.18654e-11	299.726
1	0	4.12	7.56035e-12	1.01094e-11	299.726
1	0	4.16	6.4416e-12	8.61346e-12	299.726
1	0	4.2	5.48852e-12	7.33903e-12	299.726
1	0	4.24	4.67653e-12	6.25327e-12	299.726
1	0	4.28	3.98473e-12	5.32823e-12	299.726
1	0	4.32	3.39531e-12	4.54008e-12	299.726
1	0	4.36	2.89311e-12	3.86856e-12	299.726
1	0	4.4	2.46522e-12	3.29639e-12	299.726
1	0	4.44	2.10062e-12	2.80887e-12	299.726
1	0	4.48	1.78996e-12	2.39347e-12	299.726
1	0	4.52	1.52526e-12	2.03951e-12	299.726
1	0	4.56	1.2997e-12	1.73791e-12	299.726
1	0	4.6	1.1075e-12	1.48091e-12	299.726
1	0	4.64	9.43734e-13	1.26192e-12	299.726
1	0	4.68	8.04183e-13	1.07532e-12	299.726
1	0	4.72	6.85269e-13	9.16316e-13	299.726
1	0	4.76	5.83941e-13	7.80823e-13	299.726
1	0	4.8	4.97596e-13	6.65366e-13	299.726
1	0	4.84	4.2402e-13	5.66982e-13	299.726
1	0	4.88	3.61323e-13	4.83147e-13	299.726
1	0	4.92	3.07897e-13	4.11708e-13	299.726
1	0	4.96	2.62371e-13	3.50832e-13	299.726
1	0	5	2.23577e-13	2.98958e-13	299.726
1	0	5.04	1.90519e-13	2.54754e-13	299.726
1	0	5.08	1.62349e-13	2.17086e-13	299.726
1	0	5.12	1.38344e-13	1.84988e-13	299.726
1	0	5.16	1.17889e-13	1.57636e-13	299.726
1	0	5.2	1.00458e-13	1.34328e-13	299.726
1	0	5.24	8.56044e-14	1.14467e-13	299.726
1	0	5.28	7.29472e-14	9.75421e-14	299.726
1	0	5.32	6.21614e-14	8.31198e-14	299.726
1	0	5.36	5.29704e-14	7.08299e-14	299.726
1	0	5.4	4.51383e-14	6.03572e-14	299.726
1	0	5.44	3.84643e-14	5.1433e-14	299.726
1	0	5.48	3.27771e-14	4.38283e-14	299.726
1	0	5.52	2.79308e-14	3.7348e-14	299.726
1	0	5.56	2.3801e-14	3.18258e-14	299.726
1	0	5.6	2.02819e-14	2.71202e-14	299.726
1	0	5.64	1.72831e-14	2.31103e-14	299.726
1	0	5.68	1.47277e-14	1.96933e-14	299.726
1	0	5.72	1.25501e-14	1.67815e-14	299.726
1	0	5.76	1.06945e-14	1.43002e-14	299.726
1	0	5.8	9.11323e-15	1.21859e-14	299.726
1	0	5.84	7.76578e-15	1.03841e-14	299.726
1	0	5.88	6.61756e-15	8.84875e-15	299.726
1	0	5.92	5.63911e-15	7.54041e-15	299.726
1	0	5.96	4.80534e-15	6.42551e-15	299.726
1	0	6	4.09484e-15	5.47546e-15	299.726
1	0	6.04	3.48939e-15	4.66588e-15	299.726
1	0	6.08	2.97346e-15	3.976e-15	299.726
1	0	6.12	2.53382e-15	3.38812e-15	299.726
1	0	6.16	2.15918e-15	2.88717e-15	299.726
1	0	6.2	1.83993e-15	2.46028e-15	299.726
1	0	6.24	1.56788e-15	2.09651e-15	299.726
1	0	6.28	1.33606e-15	1.78653e-15	299.726
1	0	6.32	1.13852e-15	1.52238e-15	299.726
1	0	6.36	9.7018e-16	1.29729e-15	299.726
1	0	6.4	8.26733e-16	1.10548e-15	299.726
1	0	6.44	7.04495e-16	9.42024e-16	299.726
1	0	6.48	6.00331e-16	8.0274e-16	299.726
1	0	6.52	5.11569e-16	6.8405e-16	299.726
1	0	6.56	4.3593e-16	5.82909e-16	299.726
1	0	6.6	3.71475e-16	4.96722e-16	299.726
1	0	6.64	3.1655e-16	4.23279e-16	299.726
1	0	6.68	2.69746e-16	3.60694e-16	299.726
1	0	6.72	2.29863e-16	3.07363e-16	299.726
1	0	6.76	1.95876e-16	2.61918e-16	299.726
1	0	6.8	1.66914e-16	2.23192e-16	299.726
1	0	6.84	1.42235e-16	1.90191e-16	299.726
1	0	6.88	1.21205e-16	1.6207e-16	299.726
1	0	6.92	1.03284e-16	1.38107e-16	299.726
1	0	6.96	8.80127e-17	1.17687e-16	299.726
1	0	7	7.49995e-17	1.00286e-16	299.726
1	0	7.04	6.39104e-17	8.54585e-17	299.726
1	0	7.08	5.44608e-17	7.28229e-17	299.726
1	0	7.12	4.64085e-17	6.20556e-17	299.726
1	0	7.16	3.95467e-17	5.28803e-17	299.726
1	0	7.2	3.36995e-17	4.50616e-17	299.726
1	0	7.24	2.87168e-17	3.8399e-17	299.726
1	0	7.28	2.44708e-17	3.27214e-17	299.726
1	0	7.32	2.08527e-17	2.78834e-17	299.726
1	0	7.36	1.77695e-17	2.37606e-17	299.726
1	0	7.4	1.51421e-17	2.02475e-17	299.726
1	0	7.44	1.29033e-17	1.72538e-17	299.726
1	0	7.48	1.09955e-17	1.47027e-17	299.726
1	0	7.52	9.36971e-18	1.25288e-17	299.726
1	0	7.56	7.98434e-18	1.06763e-17	299.726
1	0	7.6	6.8038e-18	9.09778e-18	299.726
1	0	7.64	5.79782e-18	7.75262e-18	299.726
1	0	7.68	4.94057e-18	6.60634e-18	299.726
1	0	7.72	4.21008e-18	5.62956e-18	299.726
1	0	7.76	3.58759e-18	4.79719e-18	299.726
1	0	7.8	3.05715e-18	4.0879e-18	299.726
1	0	7.84	2.60513e-18	3.48348e-18	299.726
1	0	7.88	2.21994e-18	2.96842e-18	299.726
1	0	7.92	1.89171e-18	2.52952e-18	299.726
1	0	7.96	1.61201e-18	2.15552e-18	299.726
1	0	8	1.37366e-18	1.83681e-18	299.726
1	0	8.04	1.17056e-18	1.56523e-18	299.726
1	0	8.08	9.97485e-19	1.3338e-18	299.726
1	0	8.12	8.50001e-19	1.13659e-18	299.726
1	0	8.16	7.24323e-19	9.68536e-19	299.726
1	0	8.2	6.17227e-19	8.25332e-19	299.726
1	0	8.24	5.25966e-19	7.03302e-19	299.726
1	0	8.28	4.48199e-19	5.99314e-19	299.726
1	0	8.32	3.8193e-19	5.10702e-19	299.726
1	0	8.36	3.25459e-19	4.35191e-19	299.726
1	0	8.4	2.77338e-19	3.70846e-19	299.726
1	0	8.44	2.36332e-19	3.16014e-19	299.726
1	0	8.48	2.01389e-19	2.69289e-19	299.726
1	0	8.52	1.71612e-19	2.29473e-19	299.726
1	0	8.56	1.46238e-19	1.95544e-19	299.726
1	0	8.6	1.24616e-19	1.66632e-19	299.726
1	0	8.64	1.06191e-19	1.41994e-19	299.726
1	0	8.68	9.04898e-20	1.20999e-19	299.726
1	0	8.72	7.71103e-20	1.03109e-19	299.726
1	0	8.76	6.57091e-20	8.78636e-20	299.726
1	0	8.8	5.59936e-20	7.48724e-20	299.726
1	0	8.84	4.77146e-20	6.38021e-20	299.726
1	0	8.88	4.06597e-20	5.43685e-20	299.726
1	0	8.92	3.46479e-20	4.63298e-20	299.726
1	0	8.96	2.9525e-20	3.94797e-20	299.726
1	0	9	2.51595e-20	3.36424e-20	299.726
1	0	9.04	2.14395e-20	2.86681e-20	299.726
1	0	9.08	1.82696e-20	2.44294e-20	299.726
1	0	9.12	1.55683e-20	2.08173e-20	299.726
1	0	9.16	1.32664e-20	1.77394e-20	299.726
1	0	9.2	1.13049e-20	1.51165e-20	299.726
1	0	9.24	9.63341e-21	1.28814e-20	299.726
1	0	9.28	8.20905e-21	1.09768e-20	299.726
1	0	9.32	6.99529e-21	9.35383e-21	299.726
1	0	9.36	5.96099e-21	7.97081e-21	299.726
1	0	9.4	5.07962e-21	6.79227e-21	299.726
1	0	9.44	4.32857e-21	5.78799e-21	299.726
1	0	9.48	3.68856e-21	4.9322e-21	299.726
1	0	9.52	3.14319e-21	4.20295e-21	299.726
1	0	9.56	2.67845e-21	3.58151e-21	299.726
1	0	9.6	2.28242e-21	3.05197e-21	299.726
1	0	9.64	1.94495e-21	2.60071e-21	299.726
1	0	9.68	1.65738e-21	2.21618e-21	299.726
1	0	9.72	1.41232e-21	1.88851e-21	299.726
1	0	9.76	1.2035e-21	1.60928e-21	299.726
1	0	9.8	1.02556e-21	1.37134e-21	299.726
1	0	9.84	8.73923e-22	1.16858e-21	299.726
1	0	9.88	7.44708e-22	9.95795e-22	299.726
1	0	9.92	6.34598e-22	8.4856e-22	299.726
1	0	9.96	5.40769e-22	7.23095e-22	299.726
1	0	10	4.60813e-22	6.16181e-22	299.726
