# Filename: 2DKT_FPquench_vsl_T_0.1_0.1_lmax10_dl0.008_tmax10_dt01e-05_BC1_equil.dat
# Source: 2DKT_FPquench.c
# Source version: 4 (2011 May 26 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.1, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.80373e-33
0.1	0.9	0.04	7.47853	1	1.34453e-33
0.1	0.9	0.08	7.47853	1	2.0534e-34
0.1	0.9	0.12	7.47853	1	3.13601e-35
0.1	0.9	0.16	7.47853	1	4.7894e-36
0.1	0.9	0.2	7.47853	1	7.31451e-37
0.1	0.9	0.24	7.47853	1	1.11709e-37
0.1	0.9	0.28	7.47853	1	1.70605e-38
0.1	0.9	0.32	7.47853	1	2.60553e-39
0.1	0.9	0.36	7.47853	1	3.97924e-40
0.1	0.9	0.4	7.47853	1	6.0772e-41
0.1	0.9	0.44	7.47853	1	9.28127e-42
0.1	0.9	0.48	7.47853	1	1.41746e-42
0.1	0.9	0.52	7.47853	1	2.16478e-43
0.1	0.9	0.56	7.47853	1	3.30612e-44
0.1	0.9	0.6	7.47853	1	5.04919e-45
0.1	0.9	0.64	7.47853	1	7.71127e-46
0.1	0.9	0.68	7.47853	1	1.17769e-46
0.1	0.9	0.72	7.47853	1	1.79859e-47
0.1	0.9	0.76	7.47853	1	2.74686e-48
0.1	0.9	0.8	7.47853	1	4.19508e-49
0.1	0.9	0.84	7.47853	1	6.40684e-50
0.1	0.9	0.88	7.47853	1	9.78471e-51
0.1	0.9	0.92	7.47853	1	1.49435e-51
0.1	0.9	0.96	7.47853	1	2.28221e-52
0.1	0.9	1	7.47853	1	3.48545e-53
0.1	0.9	1.04	7.47853	1	5.32308e-54
0.1	0.9	1.08	7.47853	1	8.12955e-55
0.1	0.9	1.12	7.47853	1	1.24157e-55
0.1	0.9	1.16	7.47853	1	1.89615e-56
0.1	0.9	1.2	7.47853	1	2.89586e-57
0.1	0.9	1.24	7.47853	1	4.42263e-58
0.1	0.9	1.28	7.47853	1	6.75437e-59
0.1	0.9	1.32	7.47853	1	1.03155e-59
0.1	0.9	1.36	7.47853	1	1.5754e-60
0.1	0.9	1.4	7.47853	1	2.406e-61
0.1	0.9	1.44	7.47853	1	3.67451e-62
0.1	0.9	1.48	7.47853	1	5.61181e-63
0.1	0.9	1.52	7.47853	1	8.57052e-64
0.1	0.9	1.56	7.47853	1	1.30891e-64
0.1	0.9	1.6	7.47853	1	1.99901e-65
0.1	0.9	1.64	7.47853	1	3.05294e-66
0.1	0.9	1.68	7.47853	1	4.66253e-67
0.1	0.9	1.72	7.47853	1	7.12074e-68
0.1	0.9	1.76	7.47853	1	1.0875e-68
0.1	0.9	1.8	7.47853	1	1.66086e-69
0.1	0.9	1.84	7.47853	1	2.53651e-70
0.1	0.9	1.88	7.47853	1	3.87383e-71
0.1	0.9	1.92	7.47853	1	5.91621e-72
0.1	0.9	1.96	7.47853	1	9.0354e-73
0.1	0.9	2	7.47853	1	1.37991e-73
0.1	0.9	2.04	7.47853	1	2.10744e-74
0.1	0.9	2.08	7.47853	1	3.21854e-75
0.1	0.9	2.12	7.47853	1	4.91544e-76
0.1	0.9	2.16	7.47853	1	7.50699e-77
0.1	0.9	2.2	7.47853	1	1.14649e-77
0.1	0.9	2.24	7.47853	1	1.75095e-78
0.1	0.9	2.28	7.47853	1	2.6741e-79
0.1	0.9	2.32	7.47853	1	4.08395e-80
0.1	0.9	2.36	7.47853	1	6.23712e-81
0.1	0.9	2.4	7.47853	1	9.52551e-82
0.1	0.9	2.44	7.47853	1	1.45476e-82
0.1	0.9	2.48	7.47853	1	2.22175e-83
0.1	0.9	2.52	7.47853	1	3.39312e-84
0.1	0.9	2.56	7.47853	1	5.18207e-85
0.1	0.9	2.6	7.47853	1	7.91419e-86
0.1	0.9	2.64	7.47853	1	1.20868e-86
0.1	0.9	2.68	7.47853	1	1.84592e-87
0.1	0.9	2.72	7.47853	1	2.81915e-88
0.1	0.9	2.76	7.47853	1	4.30548e-89
0.1	0.9	2.8	7.47853	1	6.57544e-90
0.1	0.9	2.84	7.47853	1	1.00422e-90
0.1	0.9	2.88	7.47853	1	1.53367e-91
0.1	0.9	2.92	7.47853	1	2.34227e-92
0.1	0.9	2.96	7.47853	1	3.57717e-93
0.1	0.9	3	7.47853	1	5.46315e-94
0.1	0.9	3.04	7.47853	1	8.34348e-95
0.1	0.9	3.08	7.47853	1	1.27424e-95
0.1	0.9	3.12	7.47853	1	1.94605e-96
0.1	0.9	3.16	7.47853	1	2.97206e-97
0.1	0.9	3.2	7.47853	1	4.53902e-98
0.1	0.9	3.24	7.47853	1	6.93211e-99
0.1	0.9	3.28	7.47853	1	1.05869e-99
0.1	0.9	3.32	7.47853	1	1.61686e-100
0.1	0.9	3.36	7.47853	1	2.46932e-101
0.1	0.9	3.4	7.47853	1	3.77121e-102
0.1	0.9	3.44	7.47853	1	5.75949e-103
0.1	0.9	3.48	7.47853	1	8.79605e-104
0.1	0.9	3.52	7.47853	1	1.34336e-104
0.1	0.9	3.56	7.47853	1	2.05161e-105
0.1	0.9	3.6	7.47853	1	3.13328e-106
0.1	0.9	3.64	7.47853	1	4.78523e-107
0.1	0.9	3.68	7.47853	1	7.30813e-108
0.1	0.9	3.72	7.47853	1	1.11612e-108
0.1	0.9	3.76	7.47853	1	1.70456e-109
0.1	0.9	3.8	7.47853	1	2.60326e-110
0.1	0.9	3.84	7.47853	1	3.97577e-111
0.1	0.9	3.88	7.47853	1	6.0719e-112
0.1	0.9	3.92	7.47853	1	9.27317e-113
