# Filename: 2DKT_FPinject_vsl_IC1_T0.1_lmax10_dl0.008_tmax10_dt01e-05_linj3_InjConst1e-06.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-06, tmax=10, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.80373e-33
0.1	0.9	0.04	7.47853	1	1.80314e-08
0.1	0.9	0.08	7.47852	0.999999	2.07852e-08
0.1	0.9	0.12	7.47851	0.999997	2.12058e-08
0.1	0.9	0.16	7.4785	0.999996	2.12701e-08
0.1	0.9	0.2	7.47849	0.999994	2.12799e-08
0.1	0.9	0.24	7.47847	0.999993	2.12814e-08
0.1	0.9	0.28	7.47846	0.99999	2.12817e-08
0.1	0.9	0.32	7.47844	0.999988	2.12818e-08
0.1	0.9	0.36	7.47842	0.999985	2.12819e-08
0.1	0.9	0.4	7.47839	0.999981	2.12819e-08
0.1	0.9	0.44	7.47836	0.999977	2.1282e-08
0.1	0.9	0.48	7.47832	0.999972	2.12821e-08
0.1	0.9	0.52	7.47828	0.999966	2.12822e-08
0.1	0.9	0.56	7.47823	0.999959	2.12824e-08
0.1	0.9	0.6	7.47817	0.999951	2.12825e-08
0.1	0.9	0.64	7.4781	0.999942	2.12827e-08
0.1	0.9	0.68	7.47801	0.999931	2.12829e-08
0.1	0.9	0.72	7.47792	0.999918	2.12832e-08
0.1	0.9	0.76	7.4778	0.999903	2.12835e-08
0.1	0.9	0.8	7.47767	0.999885	2.12838e-08
0.1	0.9	0.84	7.47752	0.999864	2.12842e-08
0.1	0.9	0.88	7.47733	0.99984	2.12847e-08
0.1	0.9	0.92	7.47712	0.999811	2.12853e-08
0.1	0.9	0.96	7.47687	0.999778	2.12859e-08
0.1	0.9	1	7.47657	0.999738	2.12867e-08
0.1	0.9	1.04	7.47622	0.999692	2.12876e-08
0.1	0.9	1.08	7.47582	0.999637	2.12887e-08
0.1	0.9	1.12	7.47534	0.999574	2.12899e-08
0.1	0.9	1.16	7.47478	0.999499	2.12914e-08
0.1	0.9	1.2	7.47412	0.999411	2.12931e-08
0.1	0.9	1.24	7.47335	0.999308	2.12952e-08
0.1	0.9	1.28	7.47245	0.999187	2.12975e-08
0.1	0.9	1.32	7.47138	0.999045	2.13003e-08
0.1	0.9	1.36	7.47014	0.998878	2.13036e-08
0.1	0.9	1.4	7.46868	0.998682	2.13074e-08
0.1	0.9	1.44	7.46696	0.998453	2.1312e-08
0.1	0.9	1.48	7.46495	0.998184	2.13172e-08
0.1	0.9	1.52	7.46259	0.997868	2.13235e-08
0.1	0.9	1.56	7.45982	0.997498	2.13308e-08
0.1	0.9	1.6	7.45657	0.997064	2.13393e-08
0.1	0.9	1.64	7.45276	0.996554	2.13494e-08
0.1	0.9	1.68	7.44829	0.995957	2.13612e-08
0.1	0.9	1.72	7.44305	0.995256	2.1375e-08
0.1	0.9	1.76	7.43691	0.994435	2.13913e-08
0.1	0.9	1.8	7.42971	0.993471	2.14104e-08
0.1	0.9	1.84	7.42126	0.992342	2.14328e-08
0.1	0.9	1.88	7.41137	0.991019	2.14591e-08
0.1	0.9	1.92	7.39977	0.989469	2.14901e-08
0.1	0.9	1.96	7.38619	0.987653	2.15264e-08
0.1	0.9	2	7.37029	0.985526	2.15692e-08
0.1	0.9	2.04	7.35167	0.983037	2.16194e-08
0.1	0.9	2.08	7.32989	0.980125	2.16784e-08
0.1	0.9	2.12	7.30442	0.976719	2.17479e-08
0.1	0.9	2.16	7.27466	0.972739	2.18296e-08
0.1	0.9	2.2	7.23989	0.96809	2.19258e-08
0.1	0.9	2.24	7.19932	0.962665	2.20391e-08
0.1	0.9	2.28	7.15203	0.956342	2.21726e-08
0.1	0.9	2.32	7.09696	0.948978	2.23301e-08
0.1	0.9	2.36	7.03292	0.940415	2.25159e-08
0.1	0.9	2.4	6.95857	0.930473	2.27355e-08
0.1	0.9	2.44	6.8724	0.918951	2.29952e-08
0.1	0.9	2.48	6.77277	0.905628	2.33028e-08
0.1	0.9	2.52	6.65785	0.890262	2.36677e-08
0.1	0.9	2.56	6.52571	0.872592	2.41012e-08
0.1	0.9	2.6	6.37429	0.852345	2.46172e-08
0.1	0.9	2.64	6.2015	0.829241	2.52329e-08
0.1	0.9	2.68	6.0053	0.803005	2.59693e-08
