# Filename: 2DKT_FPinject_vst_IC0_T1_lmax10_dl0.008_tmax10_dt01e-05_linj3_InjConst1e+06.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e+06, tmax=10, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	1	0	10	0.661641	0.884721	1.37963e-22	0.0014958
1	1e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
2	2e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
3	3e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
4	4e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
6	6e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
8	8e-05	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
10	0.0001	0.95	0.05	10	0.660285	0.882907	1.37805e-22	0.0014958
12	0.00012	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
14	0.00014	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
17	0.00017	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
20	0.0002	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
24	0.00024	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
28	0.00028	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
32	0.00032	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
37	0.00037	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
43	0.00043	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
49	0.00049	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
56	0.00056	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
64	0.00064	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
73	0.00073	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
83	0.00083	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
94	0.00094	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
107	0.00107	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
121	0.00121	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
137	0.00137	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.0014958
155	0.00155	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
175	0.00175	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
197	0.00197	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
222	0.00222	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
250	0.0025	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
282	0.00282	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
318	0.00318	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
357	0.00357	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
402	0.00402	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
452	0.00452	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
508	0.00508	0.95	0.05	10	0.660284	0.882907	1.37805e-22	0.00149579
