# Filename: 2DKT_FPinject_vst_IC1_T0.1_lmax10_dl0.008_tmax10_dt01e-05_linj3_InjConst1e-06.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-06, tmax=10, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.1	0.9	10	2.96042	0.395856	9.5861e-65	4.03548e-05
1	1e-05	0.95	0.05	10	2.93093	0.391912	9.33932e-65	4.03548e-05
2	2e-05	0.95	0.05	10	2.93093	0.391913	9.33932e-65	4.03547e-05
3	3e-05	0.95	0.05	10	2.93094	0.391914	9.33932e-65	4.03546e-05
4	4e-05	0.95	0.05	10	2.93094	0.391914	9.33932e-65	4.03546e-05
6	6e-05	0.95	0.05	10	2.93095	0.391915	9.33932e-65	4.03545e-05
8	8e-05	0.95	0.05	10	2.93096	0.391916	9.33932e-65	4.03543e-05
10	0.0001	0.95	0.05	10	2.93097	0.391918	9.33932e-65	4.03542e-05
12	0.00012	0.95	0.05	10	2.93098	0.391919	9.33932e-65	4.03541e-05
14	0.00014	0.95	0.05	10	2.93099	0.39192	9.33932e-65	4.0354e-05
17	0.00017	0.95	0.05	10	2.931	0.391922	9.33932e-65	4.03538e-05
20	0.0002	0.95	0.05	10	2.93101	0.391923	9.33932e-65	4.03536e-05
24	0.00024	0.95	0.05	10	2.93103	0.391926	9.33932e-65	4.03533e-05
28	0.00028	0.95	0.05	10	2.93105	0.391928	9.33932e-65	4.03531e-05
32	0.00032	0.95	0.05	10	2.93106	0.39193	9.33932e-65	4.03528e-05
37	0.00037	0.95	0.05	10	2.93108	0.391933	9.33932e-65	4.03525e-05
43	0.00043	0.95	0.05	10	2.93111	0.391937	9.33932e-65	4.03521e-05
49	0.00049	0.95	0.05	10	2.93114	0.39194	9.33932e-65	4.03518e-05
56	0.00056	0.95	0.05	10	2.93117	0.391944	9.33932e-65	4.03513e-05
64	0.00064	0.95	0.05	10	2.9312	0.391949	9.33932e-65	4.03508e-05
73	0.00073	0.95	0.05	10	2.93124	0.391954	9.33932e-65	4.03503e-05
83	0.00083	0.95	0.05	10	2.93128	0.39196	9.33932e-65	4.03496e-05
94	0.00094	0.95	0.05	10	2.93133	0.391966	9.33932e-65	4.03489e-05
107	0.00107	0.95	0.05	10	2.93139	0.391974	9.33932e-65	4.03481e-05
121	0.00121	0.95	0.05	10	2.93145	0.391982	9.33932e-65	4.03473e-05
137	0.00137	0.95	0.05	10	2.93152	0.391991	9.33932e-65	4.03462e-05
155	0.00155	0.95	0.05	10	2.9316	0.392002	9.33932e-65	4.03451e-05
175	0.00175	0.95	0.05	10	2.93168	0.392013	9.33932e-65	4.03439e-05
197	0.00197	0.95	0.05	10	2.93178	0.392026	9.33932e-65	4.03425e-05
222	0.00222	0.95	0.05	10	2.93189	0.392041	9.33932e-65	4.03409e-05
250	0.0025	0.95	0.05	10	2.93201	0.392057	9.33932e-65	4.03392e-05
282	0.00282	0.95	0.05	10	2.93215	0.392075	9.33932e-65	4.03371e-05
318	0.00318	0.95	0.05	10	2.9323	0.392096	9.33932e-65	4.03349e-05
357	0.00357	0.95	0.05	10	2.93247	0.392119	9.33932e-65	4.03324e-05
402	0.00402	0.95	0.05	10	2.93267	0.392145	9.33932e-65	4.03296e-05
452	0.00452	0.95	0.05	10	2.93288	0.392174	9.33932e-65	4.03265e-05
508	0.00508	0.95	0.05	10	2.93313	0.392206	9.33932e-65	4.03229e-05
572	0.00572	0.95	0.05	10	2.93341	0.392244	9.33932e-65	4.03189e-05
642	0.00642	0.95	0.05	10	2.93371	0.392284	9.33932e-65	4.03145e-05
722	0.00722	0.95	0.05	10	2.93406	0.392331	9.33932e-65	4.03095e-05
811	0.00811	0.95	0.05	10	2.93444	0.392382	9.33932e-65	4.03039e-05
911	0.00911	0.95	0.05	10	2.93488	0.39244	9.33932e-65	4.02976e-05
1023	0.01023	0.95	0.05	10	2.93536	0.392506	9.33932e-65	4.02906e-05
1149	0.01149	0.95	0.05	10	2.93591	0.392579	9.33932e-65	4.02827e-05
1290	0.0129	0.95	0.05	10	2.93652	0.392661	9.33932e-65	4.02738e-05
1449	0.01449	0.95	0.05	10	2.93722	0.392753	9.33932e-65	4.02638e-05
1627	0.01627	0.95	0.05	10	2.93799	0.392857	9.33932e-65	4.02526e-05
1826	0.01826	0.95	0.05	10	2.93886	0.392972	9.33932e-65	4.02401e-05
2050	0.0205	0.95	0.05	10	2.93983	0.393103	9.33932e-65	4.02261e-05
2301	0.02301	0.95	0.05	10	2.94092	0.393249	9.33932e-65	4.02103e-05
2583	0.02583	0.95	0.05	10	2.94215	0.393413	9.33932e-65	4.01926e-05
2899	0.02899	0.95	0.05	10	2.94353	0.393598	9.33932e-65	4.01727e-05
3254	0.03254	0.95	0.05	10	2.94508	0.393805	9.33932e-65	4.01504e-05
3652	0.03652	0.95	0.05	10	2.94682	0.394037	9.33932e-65	4.01254e-05
4099	0.04099	0.95	0.05	10	2.94877	0.394298	9.33932e-65	4.00973e-05
4600	0.046	0.95	0.05	10	2.95096	0.394591	9.33932e-65	4.00658e-05
5162	0.05162	0.95	0.05	10	2.95343	0.394921	9.33932e-65	4.00305e-05
5793	0.05793	0.95	0.05	10	2.95619	0.395291	9.33932e-65	3.99909e-05
6501	0.06501	0.95	0.05	10	2.9593	0.395706	9.33932e-65	3.99464e-05
7296	0.07296	0.95	0.05	10	2.9628	0.396174	9.33931e-65	3.98964e-05
8187	0.08187	0.95	0.05	10	2.96673	0.396699	9.33931e-65	3.98405e-05
9187	0.09187	0.95	0.05	10	2.97114	0.39729	9.33931e-65	3.97776e-05
10309	0.10309	0.95	0.05	10	2.97611	0.397953	9.33931e-65	3.97071e-05
11568	0.11568	0.95	0.05	10	2.98169	0.3987	9.33931e-65	3.9628e-05
12980	0.1298	0.95	0.05	10	2.98797	0.39954	9.33931e-65	3.95393e-05
14565	0.14565	0.95	0.05	10	2.99505	0.400486	9.33931e-65	3.94397e-05
16343	0.16343	0.95	0.05	10	3.00301	0.401551	9.33931e-65	3.9328e-05
18339	0.18339	0.95	0.05	10	3.01199	0.402751	9.33931e-65	3.92026e-05
20577	0.20577	0.95	0.05	10	3.02209	0.404103	9.33931e-65	3.9062e-05
23089	0.23089	0.95	0.05	10	3.0335	0.405627	9.33931e-65	3.89041e-05
25908	0.25908	0.95	0.05	10	3.04636	0.407348	9.33931e-65	3.8727e-05
29070	0.2907	0.95	0.05	10	3.06089	0.40929	9.33931e-65	3.85283e-05
32618	0.32618	0.95	0.05	10	3.0773	0.411485	9.33931e-65	3.83054e-05
36599	0.36599	0.95	0.05	10	3.09586	0.413966	9.33931e-65	3.80553e-05
41066	0.41066	0.95	0.05	10	3.11687	0.416776	9.33931e-65	3.77746e-05
46078	0.46078	0.95	0.05	10	3.14068	0.419959	9.33931e-65	3.74597e-05
51701	0.51701	0.95	0.05	10	3.16768	0.42357	9.33931e-65	3.71064e-05
58011	0.58011	0.95	0.05	10	3.19837	0.427673	9.33931e-65	3.67099e-05
65090	0.6509	0.95	0.05	10	3.23327	0.43234	9.3393e-65	3.62651e-05
73034	0.73034	0.95	0.05	10	3.27304	0.437658	9.3393e-65	3.5766e-05
81946	0.81946	0.95	0.05	10	3.31844	0.443728	9.3393e-65	3.5206e-05
91946	0.91946	0.95	0.05	10	3.37036	0.450671	9.3393e-65	3.45777e-05
103166	1.03166	0.95	0.05	10	3.42987	0.458629	9.3393e-65	3.38727e-05
