# Filename: 2DKT_FPinject_vsl_IC0_T0.1_lmax10_dl0.008_tmax10000_dt01e-05_linj3_InjConst1e+20.dat
# Source: 2DKT_FPinject.c
# Source version: 3 (2011 Jun 04 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: RESUME=0, IC=0, iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e+20, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n_t = 100001	t = 1.000010e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.95	0.05	0	7.47853	1	8.80373e-33
0.95	0.05	0.04	7.47853	1	1.3139e-33
0.95	0.05	0.08	7.47853	1	1.96092e-34
0.95	0.05	0.12	7.47853	1	2.92655e-35
0.95	0.05	0.16	7.47853	1	4.36769e-36
0.95	0.05	0.2	7.47853	1	6.5185e-37
0.95	0.05	0.24	7.47853	1	9.72846e-38
0.95	0.05	0.28	7.47853	1	1.45191e-38
0.95	0.05	0.32	7.47853	1	2.16689e-39
0.95	0.05	0.36	7.47853	1	3.23395e-40
0.95	0.05	0.4	7.47853	1	4.82646e-41
0.95	0.05	0.44	7.47853	1	7.20319e-42
0.95	0.05	0.48	7.47853	1	1.07503e-42
0.95	0.05	0.52	7.47853	1	1.60442e-43
0.95	0.05	0.56	7.47853	1	2.39449e-44
0.95	0.05	0.6	7.47853	1	3.57363e-45
0.95	0.05	0.64	7.47853	1	5.33342e-46
0.95	0.05	0.68	7.47853	1	7.9598e-47
0.95	0.05	0.72	7.47853	1	1.18795e-47
0.95	0.05	0.76	7.47853	1	1.77294e-48
0.95	0.05	0.8	7.47853	1	2.64601e-49
0.95	0.05	0.84	7.47853	1	3.949e-50
0.95	0.05	0.88	7.47853	1	5.89364e-51
0.95	0.05	0.92	7.47853	1	8.79589e-52
0.95	0.05	0.96	7.47853	1	1.31273e-52
0.95	0.05	1	7.47853	1	1.95917e-53
0.95	0.05	1.04	7.47853	1	2.92394e-54
0.95	0.05	1.08	7.47853	1	4.3638e-55
0.95	0.05	1.12	7.47853	1	6.51269e-56
0.95	0.05	1.16	7.47853	1	9.71979e-57
0.95	0.05	1.2	7.47853	1	1.45062e-57
0.95	0.05	1.24	7.47853	1	2.16496e-58
0.95	0.05	1.28	7.47853	1	3.23106e-59
0.95	0.05	1.32	7.47853	1	4.82216e-60
0.95	0.05	1.36	7.47853	1	7.19678e-61
0.95	0.05	1.4	7.47853	1	1.07407e-61
0.95	0.05	1.44	7.47853	1	1.60299e-62
0.95	0.05	1.48	7.47853	1	2.39236e-63
0.95	0.05	1.52	7.47853	1	3.57045e-64
0.95	0.05	1.56	7.47853	1	5.32867e-65
0.95	0.05	1.6	7.47853	1	7.95271e-66
0.95	0.05	1.64	7.47853	1	1.18689e-66
0.95	0.05	1.68	7.47853	1	1.77136e-67
0.95	0.05	1.72	7.47853	1	2.64366e-68
0.95	0.05	1.76	7.47853	1	3.94551e-69
0.95	0.05	1.8	7.47853	1	5.88855e-70
0.95	0.05	1.84	7.47853	1	8.78885e-71
0.95	0.05	1.88	7.47853	1	1.31194e-71
0.95	0.05	1.92	7.47853	1	1.95912e-72
0.95	0.05	1.96	7.47853	1	2.92845e-73
0.95	0.05	2	7.47853	1	4.38785e-74
0.95	0.05	2.04	7.47853	1	6.6091e-75
0.95	0.05	2.08	7.47853	1	1.00582e-75
0.95	0.05	2.12	7.47853	1	1.5584e-76
0.95	0.05	2.16	7.47853	1	2.47933e-77
0.95	0.05	2.2	7.47853	1	4.07321e-78
0.95	0.05	2.24	7.47853	1	6.89707e-79
0.95	0.05	2.28	7.47853	1	1.19101e-79
0.95	0.05	2.32	7.47853	1	2.06559e-80
0.95	0.05	2.36	7.47853	1	3.54835e-81
0.95	0.05	2.4	7.47853	1	5.9868e-82
0.95	0.05	2.44	7.47853	1	9.89727e-83
0.95	0.05	2.48	7.47853	1	1.60646e-83
0.95	0.05	2.52	7.47853	1	2.57037e-84
0.95	0.05	2.56	7.47853	1	4.07054e-85
0.95	0.05	2.6	7.47853	1	6.40022e-86
0.95	0.05	2.64	7.47853	1	1.00123e-86
0.95	0.05	2.68	7.47853	1	1.56042e-87
0.95	0.05	2.72	7.47853	1	2.42491e-88
0.95	0.05	2.76	7.47853	1	3.75964e-89
0.95	0.05	2.8	7.47853	1	5.81807e-90
0.95	0.05	2.84	7.47853	1	8.9894e-91
0.95	0.05	2.88	7.47853	1	1.3871e-91
0.95	0.05	2.92	7.47853	1	2.13794e-92
0.95	0.05	2.96	7.47853	1	3.292e-93
0.95	0.05	3	7.47853	1	5.06475e-94
0.95	0.05	3.04	7.47853	1	7.78639e-95
0.95	0.05	3.08	7.47853	1	1.19628e-95
0.95	0.05	3.12	7.47853	1	1.83689e-96
0.95	0.05	3.16	7.47853	1	2.8191e-97
0.95	0.05	3.2	7.47853	1	4.32456e-98
0.95	0.05	3.24	7.47853	1	6.6313e-99
0.95	0.05	3.28	7.47853	1	1.01648e-99
0.95	0.05	3.32	7.47853	1	1.5576e-100
0.95	0.05	3.36	7.47853	1	2.38609e-101
0.95	0.05	3.4	7.47853	1	3.65429e-102
0.95	0.05	3.44	7.47853	1	5.59519e-103
0.95	0.05	3.48	7.47853	1	8.56511e-104
0.95	0.05	3.52	7.47853	1	1.31089e-104
0.95	0.05	3.56	7.47853	1	2.00595e-105
0.95	0.05	3.6	7.47853	1	3.06905e-106
0.95	0.05	3.64	7.47853	1	4.69487e-107
0.95	0.05	3.68	7.47853	1	7.18098e-108
0.95	0.05	3.72	7.47853	1	1.09822e-108
0.95	0.05	3.76	7.47853	1	1.67938e-109
0.95	0.05	3.8	7.47853	1	2.56781e-110
0.95	0.05	3.84	7.47853	1	3.92585e-111
0.95	0.05	3.88	7.47853	1	6.00162e-112
0.95	0.05	3.92	7.47853	1	9.17421e-113
0.95	0.05	3.96	7.47853	1	1.40229e-113
0.95	0.05	4	7.47853	1	2.14327e-114
0.95	0.05	4.04	7.47853	1	3.27559e-115
0.95	0.05	4.08	7.47853	1	5.00584e-116
0.95	0.05	4.12	7.47853	1	7.64968e-117
0.95	0.05	4.16	7.47853	1	1.16893e-117
0.95	0.05	4.2	7.47853	1	1.78614e-118
0.95	0.05	4.24	7.47853	1	2.72912e-119
0.95	0.05	4.28	7.47853	1	4.16981e-120
0.95	0.05	4.32	7.47853	1	6.37079e-121
0.95	0.05	4.36	7.47853	1	9.73325e-122
0.95	0.05	4.4	7.47853	1	1.487e-122
0.95	0.05	4.44	7.47853	1	2.27169e-123
0.95	0.05	4.48	7.47853	1	3.4704e-124
0.95	0.05	4.52	7.47853	1	5.3015e-125
0.95	0.05	4.56	7.47853	1	8.09859e-126
0.95	0.05	4.6	7.47853	1	1.23712e-126
0.95	0.05	4.64	7.47853	1	1.88976e-127
0.95	0.05	4.68	7.47853	1	2.88665e-128
0.95	0.05	4.72	7.47853	1	4.40936e-129
0.95	0.05	4.76	7.47853	1	6.73521e-130
0.95	0.05	4.8	7.47853	1	1.02878e-130
0.95	0.05	4.84	7.47853	1	1.57139e-131
0.95	0.05	4.88	7.47853	1	2.40019e-132
0.95	0.05	4.92	7.47853	1	3.66607e-133
0.95	0.05	4.96	7.47853	1	5.59953e-134
0.95	0.05	5	7.47853	1	8.55263e-135
0.95	0.05	5.04	7.47853	1	1.3063e-135
0.95	0.05	5.08	7.47853	1	1.99519e-136
0.95	0.05	5.12	7.47853	1	3.04736e-137
0.95	0.05	5.16	7.47853	1	4.65435e-138
0.95	0.05	5.2	7.47853	1	7.10874e-139
0.95	0.05	5.24	7.47853	1	1.08573e-139
0.95	0.05	5.28	7.47853	1	1.65826e-140
0.95	0.05	5.32	7.47853	1	2.53267e-141
0.95	0.05	5.36	7.47853	1	3.86816e-142
0.95	0.05	5.4	7.47853	1	5.90783e-143
0.95	0.05	5.44	7.47853	1	9.02297e-144
0.95	0.05	5.48	7.47853	1	1.37807e-144
0.95	0.05	5.52	7.47853	1	2.1047e-145
