# Filename: 2DKT_FPinject_SteadyState_vsl_T_0.1_lmax5_dl0.004_linj3_InjConst100.dat
# Source: 2DKT_FPinject_SteadyState.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=5, lsteps=1250, (dl=0.004), lpts=1251, ldatamax=250, linj=3, InjConst=100, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	8.80373e-33
0.1	0.9	0.02	0.392295	0.0524561	1.85978
0.1	0.9	0.04	0.0956976	0.0127963	3.79588
0.1	0.9	0.06	0.0401534	0.00536916	5.75962
0.1	0.9	0.08	0.0212736	0.00284463	7.73515
0.1	0.9	0.1	0.0128271	0.00171519	9.71717
0.1	0.9	0.12	0.00839595	0.00112267	11.7033
0.1	0.9	0.14	0.00581602	0.000777696	13.6922
0.1	0.9	0.16	0.00419932	0.000561517	15.6831
0.1	0.9	0.18	0.00312933	0.000418442	17.6755
0.1	0.9	0.2	0.00239066	0.00031967	19.6691
0.1	0.9	0.22	0.00186335	0.000249159	21.6636
0.1	0.9	0.24	0.00147651	0.000197433	23.6589
0.1	0.9	0.26	0.00118625	0.00015862	25.6548
0.1	0.9	0.28	0.000964279	0.00012894	27.6512
0.1	0.9	0.3	0.000791769	0.000105872	29.648
0.1	0.9	0.32	0.000655815	8.76931e-05	31.6453
0.1	0.9	0.34	0.000547367	7.31918e-05	33.6428
0.1	0.9	0.36	0.000459936	6.15008e-05	35.6406
0.1	0.9	0.38	0.000388784	5.19867e-05	37.6387
0.1	0.9	0.4	0.000330397	4.41793e-05	39.6369
0.1	0.9	0.42	0.000282125	3.77247e-05	41.6354
0.1	0.9	0.44	0.000241949	3.23525e-05	43.634
0.1	0.9	0.46	0.000208309	2.78542e-05	45.6327
0.1	0.9	0.48	0.000179985	2.40669e-05	47.6316
0.1	0.9	0.5	0.00015602	2.08624e-05	49.6306
0.1	0.9	0.52	0.00013565	1.81386e-05	51.6296
0.1	0.9	0.54	0.000118263	1.58136e-05	53.6288
0.1	0.9	0.56	0.000103365	1.38216e-05	55.628
0.1	0.9	0.58	9.0556e-05	1.21088e-05	57.6274
0.1	0.9	0.6	7.9506e-05	1.06312e-05	59.6267
0.1	0.9	0.62	6.99449e-05	9.35276e-06	61.6262
0.1	0.9	0.64	6.16489e-05	8.24346e-06	63.6256
0.1	0.9	0.66	5.4432e-05	7.27843e-06	65.6252
0.1	0.9	0.68	4.81385e-05	6.43689e-06	67.6247
0.1	0.9	0.7	4.26378e-05	5.70135e-06	69.6244
0.1	0.9	0.72	3.78198e-05	5.05712e-06	71.624
0.1	0.9	0.74	3.35915e-05	4.49173e-06	73.6237
0.1	0.9	0.76	2.98738e-05	3.99461e-06	75.6234
0.1	0.9	0.78	2.65994e-05	3.55677e-06	77.6231
0.1	0.9	0.8	2.37105e-05	3.17048e-06	79.6229
0.1	0.9	0.82	2.1158e-05	2.82916e-06	81.6226
0.1	0.9	0.84	1.88993e-05	2.52714e-06	83.6224
0.1	0.9	0.86	1.68978e-05	2.25951e-06	85.6222
0.1	0.9	0.88	1.5122e-05	2.02206e-06	87.6221
0.1	0.9	0.9	1.35445e-05	1.81111e-06	89.6219
0.1	0.9	0.92	1.21414e-05	1.6235e-06	91.6217
0.1	0.9	0.94	1.08922e-05	1.45646e-06	93.6216
0.1	0.9	0.96	9.77868e-06	1.30757e-06	95.6215
0.1	0.9	0.98	8.78523e-06	1.17473e-06	97.6214
0.1	0.9	1	7.89803e-06	1.05609e-06	99.6213
0.1	0.9	1.02	7.10499e-06	9.50052e-07	101.621
0.1	0.9	1.04	6.39551e-06	8.55182e-07	103.621
0.1	0.9	1.06	5.76026e-06	7.70239e-07	105.621
0.1	0.9	1.08	5.19103e-06	6.94124e-07	107.621
0.1	0.9	1.1	4.68057e-06	6.25868e-07	109.621
0.1	0.9	1.12	4.22249e-06	5.64615e-07	111.621
0.1	0.9	1.14	3.81113e-06	5.0961e-07	113.621
0.1	0.9	1.16	3.44149e-06	4.60182e-07	115.621
0.1	0.9	1.18	3.10912e-06	4.15739e-07	117.621
0.1	0.9	1.2	2.81008e-06	3.75753e-07	119.621
0.1	0.9	1.22	2.54088e-06	3.39757e-07	121.621
