# Filename: 2DKT_FPinject_vst_IC0_T0.1_lmax5_dl0.004_tmax10000_dt01e-05_linj3_InjConst1e+200.dat
# Source: 2DKT_FPinject.c
# Source version: 3 (2011 Jun 04 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: RESUME=0, IC=0, iTfrac=0.1, qTfrac=0.95, lmax=5, lsteps=1250, (dl=0.004), lpts=1251, ldatamax=250, linj=3, InjConst=1e+200, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.1	0.9	5	7.47853	1	8.13979e-135	1.23287e-33
1	1e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.87485e-30
2	2e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.875e-30
3	3e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.87515e-30
4	4e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.8753e-30
6	6e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.87561e-30
8	8e-05	0.95	0.05	5	7.47853	1	8.80373e-33	4.87591e-30
10	0.0001	0.95	0.05	5	7.47853	1	8.80373e-33	4.87621e-30
12	0.00012	0.95	0.05	5	7.47853	1	8.80373e-33	4.87651e-30
14	0.00014	0.95	0.05	5	7.47853	1	8.80373e-33	4.87682e-30
17	0.00017	0.95	0.05	5	7.47853	1	8.80373e-33	4.87727e-30
20	0.0002	0.95	0.05	5	7.47853	1	8.80373e-33	4.87772e-30
24	0.00024	0.95	0.05	5	7.47853	1	8.80373e-33	4.87833e-30
28	0.00028	0.95	0.05	5	7.47853	1	8.80373e-33	4.87893e-30
32	0.00032	0.95	0.05	5	7.47853	1	8.80373e-33	4.87954e-30
37	0.00037	0.95	0.05	5	7.47853	1	8.80373e-33	4.88029e-30
43	0.00043	0.95	0.05	5	7.47853	1	8.80373e-33	4.8812e-30
49	0.00049	0.95	0.05	5	7.47853	1	8.80373e-33	4.88211e-30
56	0.00056	0.95	0.05	5	7.47853	1	8.80373e-33	4.88316e-30
64	0.00064	0.95	0.05	5	7.47853	1	8.80373e-33	4.88437e-30
