# Filename: 2Dvpt_macro_T_lmax1_dl0.001_Op3.dat
# Source: 2Dvpt_constT.c
# Source version: 2 (2011 Jun 16 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	y	G
0.205672	0.794328	1	3.63615	1	1.3022e-12	3.10582e-26
0.369043	0.630957	1	2.02647	1	5.76349e-07	6.08405e-15
0.498813	0.501187	1	1.49925	0.999987	4.07272e-05	3.03802e-11
0.601893	0.398107	1	1.24227	0.999813	0.000324125	1.92418e-09
0.683772	0.316228	1	1.09272	0.999087	0.00107972	2.13523e-08
0.748811	0.251189	1	0.996168	0.997445	0.00233289	9.96804e-08
0.800474	0.199526	1	0.929425	0.994822	0.00394366	2.84854e-07
0.841511	0.158489	1	0.881094	0.991438	0.00572707	6.00741e-07
0.874107	0.125893	1	0.844981	0.987633	0.00752463	1.03703e-06
0.9	0.1	1	0.817433	0.983736	0.00922656	1.5592e-06
0.920567	0.0794328	1	0.796132	0.979996	0.0107692	2.12419e-06
0.936904	0.0630957	1	0.779514	0.976569	0.0121244	2.69242e-06
0.949881	0.0501187	1	0.766475	0.973534	0.0132876	3.23382e-06
0.960189	0.0398107	1	0.756206	0.970914	0.0142688	3.72906e-06
0.968377	0.0316228	1	0.748097	0.968693	0.0150857	4.16825e-06
0.974881	0.0251189	1	0.741683	0.966838	0.0157589	4.54853e-06
0.980047	0.0199526	1	0.736604	0.965306	0.0163092	4.87179e-06
0.984151	0.0158489	1	0.732579	0.96405	0.0167564	5.14264e-06
0.987411	0.0125893	1	0.729387	0.963029	0.0171181	5.36703e-06
0.99	0.01	1	0.726854	0.962202	0.0174095	5.55131e-06
0.992057	0.00794328	1	0.724845	0.961535	0.0176436	5.70159e-06
0.99369	0.00630957	1	0.72325	0.960999	0.0178312	5.82347e-06
0.994988	0.00501187	1	0.721983	0.960569	0.0179812	5.9219e-06
0.996019	0.00398107	1	0.720978	0.960226	0.0181011	6.00111e-06
0.996838	0.00316228	1	0.720179	0.959951	0.0181967	6.06469e-06
0.997488	0.00251189	1	0.719546	0.959732	0.018273	6.11561e-06
0.998005	0.00199526	1	0.719042	0.959557	0.0183337	6.15632e-06
0.998415	0.00158489	1	0.718642	0.959417	0.018382	6.18883e-06
0.998741	0.00125893	1	0.718325	0.959307	0.0184205	6.21475e-06
0.999	0.001	1	0.718072	0.959218	0.0184511	6.23542e-06
1.00126	-0.00125893	1	0.715873	0.958442	0.0187196	6.41823e-06
1.00158	-0.00158489	1	0.715555	0.958329	0.0187586	6.44499e-06
1.002	-0.00199526	1	0.715156	0.958187	0.0188078	6.47883e-06
1.00251	-0.00251189	1	0.714653	0.958007	0.0188698	6.52164e-06
1.00316	-0.00316228	1	0.714021	0.95778	0.0189481	6.57588e-06
1.00398	-0.00398107	1	0.713224	0.957492	0.019047	6.64473e-06
1.00501	-0.00501187	1	0.712222	0.957128	0.0191721	6.7323e-06
1.00631	-0.00630957	1	0.71096	0.956667	0.0193305	6.84397e-06
1.00794	-0.00794328	1	0.709373	0.956081	0.0195312	6.98685e-06
1.01	-0.01	1	0.707376	0.955334	0.0197862	7.17042e-06
1.01259	-0.0125893	1	0.704863	0.954381	0.0201106	7.40749e-06
1.01585	-0.0158489	1	0.701702	0.95316	0.0205246	7.71564e-06
1.01995	-0.0199526	1	0.697726	0.951587	0.0210548	8.11944e-06
1.02512	-0.0251189	1	0.692725	0.949552	0.0217368	8.65391e-06
1.03162	-0.0316228	1	0.686436	0.946902	0.0226185	9.37024e-06
1.03981	-0.0398107	1	0.678527	0.94342	0.0237662	1.03453e-05
1.05012	-0.0501187	1	0.668579	0.938803	0.0252722	1.16979e-05
1.0631	-0.0630957	1	0.65606	0.93261	0.0272682	1.36187e-05
1.07943	-0.0794328	1	0.640297	0.924189	0.0299462	1.6425e-05
1.1	-0.1	1	0.620423	0.912566	0.0335927	2.06686e-05
1.12589	-0.125893	1	0.595324	0.89626	0.0386466	2.73555e-05
1.15849	-0.158489	1	0.563568	0.873015	0.0457997	3.84192e-05
1.19953	-0.199526	1	0.52335	0.839432	0.0561735	5.77943e-05
1.25119	-0.251189	1	0.472573	0.790634	0.0716335	9.39841e-05
1.31623	-0.316228	1	0.40935	0.72046	0.0953373	0.000166474
1.39811	-0.398107	1	0.333512	0.623499	0.132607	0.000322075
1.50119	-0.501187	1	0.249427	0.500682	0.192013	0.00067528
1.63096	-0.630957	1	0.167944	0.366261	0.285862	0.0014967
1.79433	-0.794328	1	0.102119	0.245014	0.428613	0.00336476
2	-1	1	0.0580033	0.15512	0.633012	0.00733915
