# Filename: 2Dvpt_macro_T_lmax175_dl0.001_Op1.dat
# Source: 2Dvpt_constT.c
# Source version: 2 (2011 Jun 16 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=175, lsteps=175000, (dl=0.001), lpts=175001, ldatamax=100, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	y	G
1	0	175	0.639991	0.855772	0.000271806	7.28417e-312
0.9	0.1	175	0.811168	0.976197	2.39009e-09	5.63235e-322
0.8	0.2	175	0.929109	0.993894	2.23852e-09	4.94066e-322
0.7	0.3	175	1.06699	0.998714	2.08795e-09	4.29837e-322
0.6	0.4	175	1.24619	0.999817	1.92565e-09	3.65609e-322
0.5	0.5	175	1.49569	0.999987	1.76261e-09	3.06321e-322
0.4	0.6	175	1.86963	1	1.56696e-09	2.42092e-322
0.3	0.7	175	2.49284	1	1.36164e-09	1.82804e-322
0.2	0.8	175	3.73927	1	1.11926e-09	1.23516e-322
0.1	0.9	175	7.47853	1	7.75446e-10	5.92879e-323
