# Filename: 2Dvpt_macro_T_lmax4_dl0.001_Op7.dat
# Source: 2Dvpt_macro.c
# Source version: 3 (2012 Mar 10 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=4, lsteps=4000, (dl=0.001), lpts=4001, ldatamax=100, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=7
T/Tc	1-T/Tc	l	K	K/K0	y	G	e	vpdens
0	1	4	-nan	-nan	-nan	-nan	-nan	0
0.001	0.999	4	747.853	1	0	0	0	0
0.002	0.998	4	373.926	1	0	0	0	0
0.003	0.997	4	249.284	1	0	0	0	0
0.004	0.996	4	186.963	1	0	0	0	0
0.005	0.995	4	149.571	1	0	0	0	0
0.006	0.994	4	124.642	1	0	0	0	0
0.007	0.993	4	106.836	1	0	0	0	0
0.008	0.992	4	93.4816	1	0	0	0	0
0.009	0.991	4	83.0948	1	0	0	0	0
0.01	0.99	4	74.7853	1	6.62595e-159	4.94066e-324	-4.51428e-320	0
0.011	0.989	4	67.9866	1	6.62595e-159	4.94066e-324	-5.71869e-294	0
0.012	0.988	4	62.3211	1	6.62595e-159	4.94066e-324	-1.20119e-269	0
0.013	0.987	4	57.5272	1	6.62595e-159	4.94066e-324	-4.60096e-249	0
0.014	0.986	4	53.4181	1	6.62595e-159	4.94066e-324	-2.03254e-231	0
0.015	0.985	4	49.8569	1	9.37051e-159	9.88131e-324	-4.00526e-216	0
0.016	0.984	4	46.7408	1	9.37051e-159	9.88131e-324	-9.71032e-203	0
0.017	0.983	4	43.9914	1	9.37051e-159	9.88131e-324	-6.29212e-191	0
0.018	0.982	4	41.5474	1	9.37051e-159	9.88131e-324	-1.99253e-180	0
0.019	0.981	4	39.3607	1	9.37051e-159	9.88131e-324	-4.96565e-171	0
0.02	0.98	4	37.3926	1	9.37051e-159	9.88131e-324	-1.42578e-162	0
0.021	0.979	4	35.612	1	9.37051e-159	9.88131e-324	-6.4217e-155	0
0.022	0.978	4	33.9933	1	9.37051e-159	9.88131e-324	-5.84014e-148	0
0.023	0.977	4	32.5153	1	1.14765e-158	1.4822e-323	-1.32118e-141	0
0.024	0.976	4	31.1605	1	1.14765e-158	1.4822e-323	-8.84619e-136	0
0.025	0.975	4	29.9141	1	1.14765e-158	1.4822e-323	-2.02874e-130	0
0.026	0.974	4	28.7636	1	1.14765e-158	1.4822e-323	-1.80317e-125	0
0.027	0.973	4	27.6983	1	1.14765e-158	1.4822e-323	-6.90082e-121	0
0.028	0.972	4	26.709	1	1.14765e-158	1.4822e-323	-1.24453e-116	0
