# Filename: 3Dvlt_macro_T_Cc1.11_lmax3_dl0.001_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 8 (2011 Jun 30 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.10501, K0c=0.295614, lmax=3, lsteps=3000, (dl=0.001), lpts=3001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.205672	0.794328	1.247	5.00167	3.47988	0.999999	8.20973e-23	-3.97175e-08
0.369043	0.630957	1.833	5.00058	6.2427	0.998413	1.39182e-22	-7.58545e-05
0.498813	0.501187	2.151	5.00427	8.44409	0.98262	9.19238e-23	-0.000910738
0.601893	0.398107	2.381	5.00235	10.1852	0.9417	5.0621e-23	-0.00319831
0.683772	0.316228	2.578	5.00372	11.5739	0.878756	2.37118e-23	-0.00681783
0.748811	0.251189	2.759	5.00066	12.667	0.802521	1.06805e-23	-0.0112638
0.800474	0.199526	2.933	5.00212	13.5449	0.721091	4.3703e-24	-0.016037
0.841511	0.158489	3.001	4.52177	12.8719	0.640214	2.01514e-22	-0.020767
0.874107	0.125893	3.001	3.83102	11.328	0.563425	7.28329e-20	-0.0252176
0.9	0.1	3.001	3.25329	9.90469	0.492633	8.54768e-18	-0.0292579
0.920567	0.0794328	3.001	2.76755	8.61839	0.428655	4.02903e-16	-0.0328314
0.936904	0.0630957	3.001	2.35758	7.472	0.371637	8.97706e-15	-0.0359306
0.949881	0.0501187	3.001	2.01062	6.46062	0.321334	1.07495e-13	-0.0385774
0.960189	0.0398107	3.001	1.71664	5.57584	0.277327	7.66991e-13	-0.0408104
0.968377	0.0316228	3.001	1.46813	4.80934	0.239204	3.54967e-12	-0.0426758
0.974881	0.0251189	3.001	1.25977	4.15449	0.206633	1.14496e-11	-0.0442214
0.980047	0.0199526	3.001	1.08721	3.60443	0.179275	2.73987e-11	-0.0454934
0.984151	0.0158489	3.001	0.945678	3.14833	0.156589	5.18737e-11	-0.0465343
0.987411	0.0125893	3.001	0.830356	2.77356	0.137949	8.79224e-11	-0.0473821
0.99	0.01	3.001	0.737425	2.46961	0.122832	1.3725e-10	-0.0480697
0.992057	0.00794328	3.001	0.663281	2.22592	0.110711	1.98799e-10	-0.0486255
0.99369	0.00630957	3.001	0.604569	2.03222	0.101077	2.69614e-10	-0.0490735
0.994988	0.00501187	3.001	0.558308	1.87917	0.093465	3.45627e-10	-0.0494336
0.996019	0.00398107	3.001	0.521958	1.75864	0.0874702	4.22615e-10	-0.0497225
0.996838	0.00316228	3.001	0.493424	1.66387	0.0827565	4.96948e-10	-0.0499539
0.997488	0.00251189	3.001	0.471024	1.58937	0.079051	5.65973e-10	-0.0501389
0.998005	0.00199526	3.001	0.453424	1.53078	0.0761367	6.28082e-10	-0.0502866
0.998415	0.00158489	3.001	0.439579	1.48465	0.0738423	6.82572e-10	-0.0504045
0.998741	0.00125893	3.001	0.428675	1.44829	0.0720341	7.29419e-10	-0.0504984
0.999	0.001	3.001	0.420075	1.41961	0.0706074	7.69048e-10	-0.0505733
1.00126	-0.00125893	3.001	0.347779	1.17794	0.0585878	1.22725e-09	-0.0512344
1.00158	-0.00158489	3.001	0.337809	1.14455	0.0569267	1.31381e-09	-0.0513311
1.002	-0.00199526	3.001	0.325445	1.10311	0.0548657	1.4318e-09	-0.0514533
1.00251	-0.00251189	3.001	0.310192	1.05195	0.0523211	1.59596e-09	-0.051608
1.00316	-0.00316228	3.001	0.291508	0.989229	0.0492016	1.83025e-09	-0.051804
1.00398	-0.00398107	3.001	0.268861	0.91312	0.0454161	2.17546e-09	-0.0520528
1.00501	-0.00501187	3.001	0.241822	0.822134	0.0408907	2.70451e-09	-0.0523696
1.00631	-0.00630957	3.001	0.210261	0.715757	0.0355998	3.55515e-09	-0.0527744
1.00794	-0.00794328	3.001	0.174645	0.595479	0.0296175	5.00355e-09	-0.0532943
1.01	-0.01	3.001	0.136434	0.466142	0.0231847	7.63833e-09	-0.0539673
1.01259	-0.0125893	3.001	0.0983788	0.336984	0.0167607	1.27895e-08	-0.0548485
1.01585	-0.0158489	3.001	0.0642426	0.220764	0.0109802	2.36124e-08	-0.0560236
