# Filename: 3Dvlt_macro_T_Cc1.20_lmax100_dl0.001_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=204.013123190187599221, THETA=0.6918
# Parameter values: N=3, Cc=1.2, K0c=0.570129, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.205672	0.794328	1.284	10.01	3.61106	1	2.45862e-44	-7.69019e-16
0.369043	0.630957	1.868	10.0036	6.47533	1	1.70072e-42	-3.3447e-09
0.498813	0.501187	2.17	10.0096	8.75756	0.999917	8.75898e-42	-6.07785e-07
0.601893	0.398107	2.358	10.0006	10.5578	0.998862	2.42218e-41	-8.30301e-06
0.683772	0.316228	2.49	10.0038	11.9978	0.994737	3.80192e-41	-3.71982e-05
0.748811	0.251189	2.59	10.0057	13.1416	0.985884	4.70052e-41	-9.6801e-05
0.800474	0.199526	2.671	10.008	14.0514	0.97212	5.00486e-41	-0.000186203
0.841511	0.158489	2.739	10.005	14.7674	0.954493	5.10565e-41	-0.000297132
0.874107	0.125893	2.798	10.0042	15.3381	0.934581	4.82273e-41	-0.000419019
0.9	0.1	2.85	10.0089	15.8	0.913939	4.17989e-41	-0.000542372
0.920567	0.0794328	2.894	10.0003	16.1471	0.893814	4.05624e-41	-0.000660163
0.936904	0.0630957	2.933	10.0023	16.437	0.87506	3.54375e-41	-0.000767983
0.949881	0.0501187	2.967	10.0099	16.6773	0.858173	2.95004e-41	-0.000863605
0.960189	0.0398107	2.995	10.0079	16.8549	0.843361	2.71702e-41	-0.000946398
0.968377	0.0316228	3.018	10.0009	16.9868	0.830634	2.65323e-41	-0.00101677
0.974881	0.0251189	3.038	10.0036	17.1054	0.819875	2.39092e-41	-0.00107574
0.980047	0.0199526	3.054	10.0006	17.1909	0.810893	2.30163e-41	-0.00112459
0.984151	0.0158489	3.068	10.0068	17.2737	0.803471	2.04926e-41	-0.00116472
0.987411	0.0125893	3.079	10.0078	17.3325	0.797388	1.9386e-41	-0.00119744
0.99	0.01	3.088	10.0093	17.3806	0.792433	1.83939e-41	-0.00122398
0.992057	0.00794328	3.095	10.0077	17.414	0.788419	1.80925e-41	-0.00124542
0.99369	0.00630957	3.1	10.0001	17.4294	0.785179	1.8975e-41	-0.00126268
0.994988	0.00501187	3.105	10.0038	17.4586	0.782573	1.79415e-41	-0.00127653
0.996019	0.00398107	3.109	10.0067	17.4817	0.780482	1.71649e-41	-0.00128762
0.996838	0.00316228	3.112	10.007	17.4967	0.778808	1.68878e-41	-0.00129649
0.997488	0.00251189	3.114	10.0033	17.5016	0.77747	1.73146e-41	-0.00130357
0.998005	0.00199526	3.116	10.0043	17.5125	0.776402	1.69925e-41	-0.00130922
0.998415	0.00158489	3.118	10.0093	17.5283	0.77555	1.6102e-41	-0.00131372
0.998741	0.00125893	3.119	10.0072	17.5305	0.774871	1.6328e-41	-0.00131731
0.999	0.001	3.12	10.0077	17.5358	0.77433	1.61908e-41	-0.00132016
1.00126	-0.00125893	3.128	10.0033	17.5678	0.769562	1.6245e-41	-0.00134529
1.00158	-0.00158489	3.129	10.001	17.5694	0.768866	1.65136e-41	-0.00134895
1.002	-0.00199526	3.131	10.0055	17.5845	0.767987	1.571e-41	-0.00135357
1.00251	-0.00251189	3.133	10.0058	17.5942	0.766877	1.55137e-41	-0.0013594
1.00316	-0.00316228	3.135	10.001	17.5971	0.765471	1.60632e-41	-0.00136677
1.00398	-0.00398107	3.139	10.0096	17.6266	0.763691	1.45871e-41	-0.00137611
1.00501	-0.00501187	3.143	10.0097	17.6449	0.761431	1.43057e-41	-0.00138793
1.00631	-0.00630957	3.148	10.009	17.6664	0.758557	1.40683e-41	-0.00140295
1.00794	-0.00794328	3.154	10.0043	17.6868	0.754893	1.42699e-41	-0.00142204
1.01	-0.01	3.162	10.0016	17.7182	0.750205	1.4081e-41	-0.0014464
1.01259	-0.0125893	3.173	10.0054	17.7704	0.744183	1.29105e-41	-0.00147757
1.01585	-0.0158489	3.187	10.0082	17.8325	0.736404	1.17696e-41	-0.00151764
1.01995	-0.0199526	3.205	10.0096	17.907	0.726288	1.06505e-41	-0.00156942
1.02512	-0.0251189	3.228	10.0047	17.9888	0.713018	9.94208e-42	-0.00163677
1.03162	-0.0316228	3.259	10.0014	18.0971	0.695414	8.76011e-42	-0.00172515
1.03981	-0.0398107	3.302	10.0057	18.2485	0.671719	6.75629e-42	-0.00184235
1.05012	-0.0501187	3.361	10.0009	18.4206	0.639206	5.16883e-42	-0.00199993
1.0631	-0.0630957	3.448	10.0047	18.6554	0.593413	3.11575e-42	-0.00221556
1.07943	-0.0794328	3.583	10.005	18.9426	0.526457	1.46155e-42	-0.00251748
1.1	-0.1	3.822	10.0087	19.3107	0.422594	3.56972e-43	-0.00295382
1.12589	-0.125893	4.408	10.0092	19.7661	0.240742	1.10945e-44	-0.00361606
1.15849	-0.158489	44.988	nan	nan	nan	nan	nan
1.19953	-0.199526	44.197	nan	nan	nan	nan	nan
1.25119	-0.251189	44.337	nan	nan	nan	nan	nan
1.31623	-0.316228	43.368	nan	nan	nan	nan	nan
1.39811	-0.398107	44.616	nan	nan	nan	nan	nan
1.50119	-0.501187	43.025	nan	nan	nan	nan	nan
1.63096	-0.630957	42.753	nan	nan	nan	nan	nan
1.79433	-0.794328	42.658	nan	nan	nan	nan	nan
2	-1	42.922	nan	nan	nan	nan	nan
