# Filename: 3Dvlt_macro_Tv_Cc1.00_lmax100_dl0.001_Op2.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=204.013123190187599221, THETA=0.6918
# Parameter values: N=3, Cc=1, K0c=0.656613, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=2
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
1	1e-08	2.298	5.00074	7.61597	0.765097	1.36687e-20	-0.00151767
1	1.25893e-08	2.298	5.00074	7.61597	0.765097	1.36687e-20	-0.00151767
1	1.58489e-08	2.298	5.00074	7.61597	0.765097	1.36687e-20	-0.00151767
1	1.99526e-08	2.298	5.00074	7.61597	0.765097	1.36686e-20	-0.00151767
1	2.51189e-08	2.298	5.00074	7.61597	0.765097	1.36686e-20	-0.00151767
1	3.16228e-08	2.298	5.00074	7.61597	0.765097	1.36686e-20	-0.00151767
1	3.98107e-08	2.298	5.00075	7.61597	0.765097	1.36686e-20	-0.00151767
1	5.01187e-08	2.298	5.00075	7.61597	0.765097	1.36686e-20	-0.00151767
1	6.30957e-08	2.298	5.00075	7.61597	0.765097	1.36686e-20	-0.00151767
1	7.94328e-08	2.298	5.00075	7.61597	0.765097	1.36685e-20	-0.00151767
1	1e-07	2.298	5.00075	7.61597	0.765097	1.36685e-20	-0.00151767
1	1.25893e-07	2.298	5.00075	7.61597	0.765097	1.36684e-20	-0.00151767
1	1.58489e-07	2.298	5.00075	7.61597	0.765098	1.36684e-20	-0.00151767
1	1.99526e-07	2.298	5.00075	7.61598	0.765098	1.36683e-20	-0.00151767
1	2.51189e-07	2.298	5.00075	7.61598	0.765098	1.36682e-20	-0.00151767
1	3.16228e-07	2.298	5.00075	7.61598	0.765098	1.3668e-20	-0.00151767
1	3.98107e-07	2.298	5.00075	7.61598	0.765098	1.36679e-20	-0.00151767
0.999999	5.01187e-07	2.298	5.00075	7.61598	0.765098	1.36677e-20	-0.00151766
0.999999	6.30957e-07	2.298	5.00076	7.61598	0.765098	1.36674e-20	-0.00151766
0.999999	7.94328e-07	2.298	5.00076	7.61599	0.765099	1.3667e-20	-0.00151766
0.999999	1e-06	2.298	5.00076	7.61599	0.765099	1.36666e-20	-0.00151766
0.999999	1.25893e-06	2.298	5.00077	7.616	0.7651	1.36661e-20	-0.00151765
0.999998	1.58489e-06	2.298	5.00077	7.616	0.7651	1.36654e-20	-0.00151765
0.999998	1.99526e-06	2.298	5.00078	7.61601	0.765101	1.36646e-20	-0.00151765
0.999997	2.51189e-06	2.298	5.00079	7.61602	0.765102	1.36635e-20	-0.00151764
0.999997	3.16228e-06	2.298	5.0008	7.61604	0.765104	1.36621e-20	-0.00151763
0.999996	3.98107e-06	2.298	5.00082	7.61605	0.765105	1.36604e-20	-0.00151762
0.999995	5.01187e-06	2.298	5.00084	7.61607	0.765107	1.36583e-20	-0.00151761
0.999994	6.30957e-06	2.298	5.00086	7.6161	0.76511	1.36556e-20	-0.00151759
0.999992	7.94328e-06	2.298	5.00089	7.61613	0.765113	1.36522e-20	-0.00151757
0.99999	1e-05	2.298	5.00093	7.61617	0.765117	1.3648e-20	-0.00151755
0.999987	1.25893e-05	2.298	5.00097	7.61623	0.765123	1.36426e-20	-0.00151752
0.999984	1.58489e-05	2.298	5.00103	7.61629	0.765129	1.36359e-20	-0.00151748
0.99998	1.99526e-05	2.298	5.00111	7.61637	0.765138	1.36274e-20	-0.00151743
0.999975	2.51189e-05	2.298	5.0012	7.61648	0.765148	1.36167e-20	-0.00151736
0.999968	3.16228e-05	2.298	5.00132	7.61661	0.765161	1.36033e-20	-0.00151728
0.99996	3.98107e-05	2.298	5.00147	7.61677	0.765178	1.35864e-20	-0.00151719
0.99995	5.01187e-05	2.298	5.00166	7.61698	0.765199	1.35652e-20	-0.00151706
0.999937	6.30957e-05	2.298	5.0019	7.61724	0.765225	1.35385e-20	-0.0015169
0.999921	7.94328e-05	2.298	5.00219	7.61757	0.765258	1.3505e-20	-0.0015167
0.9999	0.0001	2.298	5.00257	7.61799	0.7653	1.34629e-20	-0.00151645
0.999874	0.000125893	2.298	5.00304	7.61851	0.765352	1.34102e-20	-0.00151614
0.999842	0.000158489	2.298	5.00364	7.61917	0.765418	1.33441e-20	-0.00151574
0.9998	0.000199526	2.298	5.00438	7.61999	0.765501	1.32613e-20	-0.00151524
0.999749	0.000251189	2.297	5.00032	7.61342	0.765606	1.37825e-20	-0.00151461
0.999684	0.000316228	2.297	5.00151	7.61473	0.765737	1.36474e-20	-0.00151382
0.999602	0.000398107	2.297	5.003	7.61637	0.765903	1.34793e-20	-0.00151283
0.999499	0.000501187	2.297	5.00487	7.61844	0.766111	1.32707e-20	-0.00151158
0.999369	0.000630957	2.296	5.00223	7.61343	0.766373	1.36306e-20	-0.00151
0.999206	0.000794328	2.295	5.0002	7.60909	0.766702	1.39296e-20	-0.00150803
0.999	0.001	2.295	5.00392	7.61319	0.767116	1.35042e-20	-0.00150554
