# Filename: 3Dvlt_macro_T_Cc0.98_lmax100_dl0.001_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=204.013123190187599221, THETA=0.6918
# Parameter values: N=3, Cc=0.98, K0c=0.66711, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.205672	0.794328	100	8.71908e+43	2.68812e+43	1	0	-2.74338e-15
0.369043	0.630957	100	4.85924e+43	2.68811e+43	0.999999	0	-6.09056e-09
0.498813	0.501187	100	3.59463e+43	2.68779e+43	0.999877	0	-8.75115e-07
0.601893	0.398107	100	2.97508e+43	2.68423e+43	0.998555	0	-1.06712e-05
0.683772	0.316228	100	2.60569e+43	2.67077e+43	0.993548	0	-4.74039e-05
0.748811	0.251189	100	2.35434e+43	2.64268e+43	0.983096	0	-0.00012207
0.800474	0.199526	100	2.16736e+43	2.60064e+43	0.967458	0	-0.000231059
0.841511	0.158489	100	2.02034e+43	2.54852e+43	0.948068	0	-0.000363408
0.874107	0.125893	100	1.90124e+43	2.49117e+43	0.926735	0	-0.000506446
0.9	0.1	100	1.8034e+43	2.43298e+43	0.905086	0	-0.000649379
0.920567	0.0794328	100	1.7227e+43	2.37722e+43	0.884342	0	-0.000784536
0.936904	0.0630957	100	1.65618e+43	2.32598e+43	0.865282	0	-0.000907308
0.949881	0.0501187	100	1.60152e+43	2.28037e+43	0.848314	0	-0.00101554
0.960189	0.0398107	100	1.55679e+43	2.24073e+43	0.833569	0	-0.0011088
0.968377	0.0316228	100	1.52034e+43	2.20693e+43	0.820995	0	-0.00118778
0.974881	0.0251189	100	1.49076e+43	2.17853e+43	0.810429	0	-0.00125375
0.980047	0.0199526	100	1.46685e+43	2.15494e+43	0.801653	0	-0.00130828
0.984151	0.0158489	100	1.44757e+43	2.13552e+43	0.79443	0	-0.00135298
0.987411	0.0125893	100	1.43207e+43	2.11966e+43	0.788528	0	-0.00138939
0.99	0.01	100	1.41964e+43	2.10677e+43	0.783734	0	-0.00141888
0.992057	0.00794328	100	1.40969e+43	2.09635e+43	0.779858	0	-0.00144267
0.99369	0.00630957	100	1.40174e+43	2.08795e+43	0.776735	0	-0.00146181
0.994988	0.00501187	100	1.39539e+43	2.08121e+43	0.774226	0	-0.00147716
0.996019	0.00398107	100	1.39032e+43	2.0758e+43	0.772215	0	-0.00148946
0.996838	0.00316228	100	1.38629e+43	2.07148e+43	0.770606	0	-0.00149928
0.997488	0.00251189	100	1.38307e+43	2.06803e+43	0.769321	0	-0.00150712
0.998005	0.00199526	100	1.38052e+43	2.06527e+43	0.768296	0	-0.00151337
0.998415	0.00158489	100	1.37848e+43	2.06307e+43	0.767478	0	-0.00151836
0.998741	0.00125893	100	1.37686e+43	2.06132e+43	0.766827	0	-0.00152232
0.999	0.001	100	1.37557e+43	2.05993e+43	0.766309	0	-0.00152548
1.00126	-0.00125893	100	1.36429e+43	2.04765e+43	0.761743	0	-0.00155326
1.00158	-0.00158489	100	1.36266e+43	2.04586e+43	0.761077	0	-0.00155731
1.002	-0.00199526	100	1.36059e+43	2.04361e+43	0.760237	0	-0.00156241
1.00251	-0.00251189	100	1.35799e+43	2.04075e+43	0.759175	0	-0.00156885
1.00316	-0.00316228	100	1.35471e+43	2.03714e+43	0.757833	0	-0.001577
1.00398	-0.00398107	100	1.35057e+43	2.03257e+43	0.756133	0	-0.0015873
1.00501	-0.00501187	100	1.34534e+43	2.02678e+43	0.753978	0	-0.00160036
1.00631	-0.00630957	100	1.33873e+43	2.01942e+43	0.75124	0	-0.00161692
1.00794	-0.00794328	100	1.33036e+43	2.01005e+43	0.747755	0	-0.00163797
1.01	-0.01	100	1.31974e+43	1.99809e+43	0.743303	0	-0.00166481
1.01259	-0.0125893	100	1.30626e+43	1.98275e+43	0.737596	0	-0.00169912
1.01585	-0.0158489	100	1.2891e+43	1.96299e+43	0.730247	0	-0.00174316
1.01995	-0.0199526	100	1.26717e+43	1.93739e+43	0.720725	0	-0.00179998
1.02512	-0.0251189	100	1.23904e+43	1.90397e+43	0.708292	0	-0.00187375
1.03162	-0.0316228	100	1.20273e+43	1.85991e+43	0.691901	0	-0.00197029
1.03981	-0.0398107	100	1.15552e+43	1.80108e+43	0.670017	0	-0.0020979
1.05012	-0.0501187	100	1.09345e+43	1.72124e+43	0.640314	0	-0.00226873
1.0631	-0.0630957	100	1.01059e+43	1.61046e+43	0.599103	0	-0.00250116
1.07943	-0.0794328	100	8.97357e+42	1.45199e+43	0.540151	0	-0.00282411
1.1	-0.1	100	7.36636e+42	1.21464e+43	0.451856	0	-0.00328569
1.12589	-0.125893	100	4.90936e+42	8.28562e+42	0.308231	0	-0.00397331
1.15849	-0.158489	100	nan	nan	nan	nan	nan
1.19953	-0.199526	100	nan	nan	nan	nan	nan
1.25119	-0.251189	100	nan	nan	nan	nan	nan
1.31623	-0.316228	100	nan	nan	nan	nan	nan
1.39811	-0.398107	100	nan	nan	nan	nan	nan
1.50119	-0.501187	100	nan	nan	nan	nan	nan
1.63096	-0.630957	100	nan	nan	nan	nan	nan
1.79433	-0.794328	100	nan	nan	nan	nan	nan
2	-1	100	nan	nan	nan	nan	nan
