# Filename: 3Dvlt_macro_T_Cc0.99_lmax200_dl0.002_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=204.013123190187599221, THETA=0.6918
# Parameter values: N=3, Cc=0.99, K0c=0.66181, lmax=200, lsteps=100000, (dl=0.002), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.205672	0.794328	200	2.32517e+87	7.22597e+86	1	0	-2.58805e-15
0.369043	0.630957	200	1.29584e+87	7.22597e+86	0.999999	0	-5.92972e-09
0.498813	0.501187	200	9.58606e+86	7.2251e+86	0.999879	0	-8.61426e-07
0.601893	0.398107	200	7.93395e+86	7.21565e+86	0.998571	0	-1.05646e-05
0.683772	0.316228	200	6.94909e+86	7.17969e+86	0.993595	0	-4.70291e-05
0.748811	0.251189	200	6.27924e+86	7.1047e+86	0.983217	0	-0.000121017
0.800474	0.199526	200	5.78109e+86	6.99235e+86	0.967669	0	-0.000229123
0.841511	0.158489	200	5.38946e+86	6.85286e+86	0.948364	0	-0.000360511
0.874107	0.125893	200	5.07215e+86	6.6992e+86	0.9271	0	-0.000502611
0.9	0.1	200	4.81146e+86	6.54314e+86	0.905503	0	-0.000644684
0.920567	0.0794328	200	4.59637e+86	6.39348e+86	0.884791	0	-0.000779086
0.936904	0.0630957	200	4.41902e+86	6.25587e+86	0.865748	0	-0.000901213
0.949881	0.0501187	200	4.27326e+86	6.13331e+86	0.848787	0	-0.0010089
0.960189	0.0398107	200	4.15395e+86	6.02677e+86	0.834042	0	-0.00110172
0.968377	0.0316228	200	4.05671e+86	5.93587e+86	0.821463	0	-0.00118034
0.974881	0.0251189	200	3.97778e+86	5.85947e+86	0.810891	0	-0.00124602
0.980047	0.0199526	200	3.91395e+86	5.796e+86	0.802107	0	-0.00130031
0.984151	0.0158489	200	3.86249e+86	5.74375e+86	0.794876	0	-0.00134482
0.987411	0.0125893	200	3.82112e+86	5.70106e+86	0.788967	0	-0.00138107
0.99	0.01	200	3.78794e+86	5.66637e+86	0.784167	0	-0.00141044
0.992057	0.00794328	200	3.76137e+86	5.63832e+86	0.780285	0	-0.00143414
0.99369	0.00630957	200	3.74014e+86	5.61571e+86	0.777157	0	-0.0014532
0.994988	0.00501187	200	3.72318e+86	5.59756e+86	0.774644	0	-0.00146849
0.996019	0.00398107	200	3.70966e+86	5.583e+86	0.77263	0	-0.00148073
0.996838	0.00316228	200	3.69888e+86	5.57136e+86	0.771019	0	-0.00149052
0.997488	0.00251189	200	3.6903e+86	5.56206e+86	0.769731	0	-0.00149833
0.998005	0.00199526	200	3.68347e+86	5.55464e+86	0.768704	0	-0.00150456
0.998415	0.00158489	200	3.67803e+86	5.54872e+86	0.767885	0	-0.00150952
0.998741	0.00125893	200	3.67371e+86	5.54401e+86	0.767233	0	-0.00151347
0.999	0.001	200	3.67027e+86	5.54025e+86	0.766714	0	-0.00151662
1.00126	-0.00125893	200	3.64014e+86	5.5072e+86	0.762139	0	-0.00154429
1.00158	-0.00158489	200	3.63577e+86	5.50238e+86	0.761473	0	-0.00154832
1.002	-0.00199526	200	3.63026e+86	5.4963e+86	0.760631	0	-0.0015534
1.00251	-0.00251189	200	3.62332e+86	5.48861e+86	0.759567	0	-0.00155982
1.00316	-0.00316228	200	3.61456e+86	5.47889e+86	0.758222	0	-0.00156794
1.00398	-0.00398107	200	3.6035e+86	5.46659e+86	0.756519	0	-0.0015782
1.00501	-0.00501187	200	3.58953e+86	5.45098e+86	0.75436	0	-0.0015912
1.00631	-0.00630957	200	3.57186e+86	5.43116e+86	0.751616	0	-0.0016077
1.00794	-0.00794328	200	3.5495e+86	5.40592e+86	0.748123	0	-0.00162868
1.01	-0.01	200	3.52114e+86	5.37368e+86	0.743661	0	-0.00165541
1.01259	-0.0125893	200	3.48513e+86	5.33235e+86	0.737942	0	-0.00168959
1.01585	-0.0158489	200	3.43926e+86	5.27911e+86	0.730574	0	-0.00173348
1.01995	-0.0199526	200	3.38066e+86	5.21012e+86	0.721026	0	-0.00179009
1.02512	-0.0251189	200	3.30546e+86	5.12002e+86	0.708558	0	-0.00186361
1.03162	-0.0316228	200	3.20839e+86	5.00121e+86	0.692115	0	-0.00195983
1.03981	-0.0398107	200	3.08212e+86	4.84251e+86	0.670153	0	-0.00208703
1.05012	-0.0501187	200	2.91605e+86	4.62701e+86	0.64033	0	-0.00225736
1.0631	-0.0630957	200	2.69419e+86	4.32779e+86	0.598922	0	-0.00248917
1.07943	-0.0794328	200	2.39071e+86	3.89932e+86	0.539626	0	-0.00281137
1.1	-0.1	200	1.95928e+86	3.25653e+86	0.45067	0	-0.00327213
1.12589	-0.125893	200	1.29767e+86	2.20764e+86	0.305515	0	-0.00395914
1.15849	-0.158489	200	nan	nan	nan	nan	nan
1.19953	-0.199526	200	nan	nan	nan	nan	nan
1.25119	-0.251189	200	nan	nan	nan	nan	nan
1.31623	-0.316228	200	nan	nan	nan	nan	nan
1.39811	-0.398107	200	nan	nan	nan	nan	nan
1.50119	-0.501187	200	nan	nan	nan	nan	nan
1.63096	-0.630957	200	nan	nan	nan	nan	nan
1.79433	-0.794328	200	nan	nan	nan	nan	nan
2	-1	200	nan	nan	nan	nan	nan
