# Filename: 3Dvlt_macro_T_Cc1.00_lmax200_dl0.002_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=204.013123190187599221, THETA=0.6918
# Parameter values: N=3, Cc=1, K0c=0.656613, lmax=200, lsteps=100000, (dl=0.002), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.205672	0.794328	200	2.30691e+87	7.22597e+86	1	0	-2.43998e-15
0.369043	0.630957	200	1.28567e+87	7.22597e+86	0.999999	0	-5.76891e-09
0.498813	0.501187	200	9.51079e+86	7.22512e+86	0.999882	0	-8.47304e-07
0.601893	0.398107	200	7.87177e+86	7.21576e+86	0.998587	0	-1.04509e-05
0.683772	0.316228	200	6.89485e+86	7.18004e+86	0.993644	0	-4.66053e-05
0.748811	0.251189	200	6.23071e+86	7.1056e+86	0.983341	0	-0.000119862
0.800474	0.199526	200	5.73695e+86	6.99389e+86	0.967882	0	-0.000227008
0.841511	0.158489	200	5.34881e+86	6.855e+86	0.948662	0	-0.000357345
0.874107	0.125893	200	5.0343e+86	6.70185e+86	0.927467	0	-0.000498407
0.9	0.1	200	4.77587e+86	6.54615e+86	0.905919	0	-0.000639521
0.920567	0.0794328	200	4.56259e+86	6.39672e+86	0.88524	0	-0.000773073
0.936904	0.0630957	200	4.38668e+86	6.25924e+86	0.866214	0	-0.00089447
0.949881	0.0501187	200	4.24206e+86	6.13673e+86	0.849259	0	-0.00100155
0.960189	0.0398107	200	4.12366e+86	6.03018e+86	0.834514	0	-0.00109386
0.968377	0.0316228	200	4.02714e+86	5.93925e+86	0.82193	0	-0.00117205
0.974881	0.0251189	200	3.94878e+86	5.8628e+86	0.81135	0	-0.00123739
0.980047	0.0199526	200	3.8854e+86	5.79927e+86	0.802559	0	-0.00129141
0.984151	0.0158489	200	3.8343e+86	5.74696e+86	0.79532	0	-0.0013357
0.987411	0.0125893	200	3.79321e+86	5.70421e+86	0.789404	0	-0.00137177
0.99	0.01	200	3.76025e+86	5.66948e+86	0.784597	0	-0.001401
0.992057	0.00794328	200	3.73386e+86	5.64138e+86	0.780709	0	-0.00142458
0.99369	0.00630957	200	3.71277e+86	5.61875e+86	0.777577	0	-0.00144355
0.994988	0.00501187	200	3.69592e+86	5.60056e+86	0.77506	0	-0.00145877
0.996019	0.00398107	200	3.68249e+86	5.58598e+86	0.773042	0	-0.00147095
0.996838	0.00316228	200	3.67178e+86	5.57432e+86	0.771428	0	-0.00148069
0.997488	0.00251189	200	3.66325e+86	5.565e+86	0.770139	0	-0.00148846
0.998005	0.00199526	200	3.65647e+86	5.55757e+86	0.76911	0	-0.00149466
0.998415	0.00158489	200	3.65107e+86	5.55164e+86	0.76829	0	-0.0014996
0.998741	0.00125893	200	3.64677e+86	5.54692e+86	0.767636	0	-0.00150354
0.999	0.001	200	3.64335e+86	5.54316e+86	0.767116	0	-0.00150667
1.00126	-0.00125893	200	3.61342e+86	5.51004e+86	0.762533	0	-0.00153421
1.00158	-0.00158489	200	3.60908e+86	5.50522e+86	0.761865	0	-0.00153822
1.002	-0.00199526	200	3.6036e+86	5.49912e+86	0.761022	0	-0.00154328
1.00251	-0.00251189	200	3.5967e+86	5.49142e+86	0.759956	0	-0.00154967
1.00316	-0.00316228	200	3.588e+86	5.48168e+86	0.758608	0	-0.00155775
1.00398	-0.00398107	200	3.57701e+86	5.46935e+86	0.756902	0	-0.00156797
1.00501	-0.00501187	200	3.56312e+86	5.45372e+86	0.754738	0	-0.00158091
1.00631	-0.00630957	200	3.54556e+86	5.43385e+86	0.751989	0	-0.00159733
1.00794	-0.00794328	200	3.52334e+86	5.40855e+86	0.748488	0	-0.00161821
1.01	-0.01	200	3.49516e+86	5.37624e+86	0.744016	0	-0.00164483
1.01259	-0.0125893	200	3.45936e+86	5.33481e+86	0.738283	0	-0.00167886
1.01585	-0.0158489	200	3.41376e+86	5.28144e+86	0.730897	0	-0.00172255
1.01995	-0.0199526	200	3.35549e+86	5.21227e+86	0.721324	0	-0.00177893
1.02512	-0.0251189	200	3.28071e+86	5.12192e+86	0.70882	0	-0.00185213
1.03162	-0.0316228	200	3.18416e+86	5.00272e+86	0.692325	0	-0.00194796
1.03981	-0.0398107	200	3.05852e+86	4.84346e+86	0.670285	0	-0.00207467
1.05012	-0.0501187	200	2.89319e+86	4.62707e+86	0.640339	0	-0.00224437
1.0631	-0.0630957	200	2.67218e+86	4.32643e+86	0.598733	0	-0.00247538
1.07943	-0.0794328	200	2.36958e+86	3.89545e+86	0.53909	0	-0.0027966
1.1	-0.1	200	1.93871e+86	3.24785e+86	0.449469	0	-0.0032562
1.12589	-0.125893	200	1.2759e+86	2.18778e+86	0.302766	0	-0.00394206
1.15849	-0.158489	200	nan	nan	nan	nan	nan
1.19953	-0.199526	200	nan	nan	nan	nan	nan
1.25119	-0.251189	200	nan	nan	nan	nan	nan
1.31623	-0.316228	200	nan	nan	nan	nan	nan
1.39811	-0.398107	200	nan	nan	nan	nan	nan
1.50119	-0.501187	200	nan	nan	nan	nan	nan
1.63096	-0.630957	200	nan	nan	nan	nan	nan
1.79433	-0.794328	200	nan	nan	nan	nan	nan
2	-1	200	nan	nan	nan	nan	nan
