#filename: Pdep_Cc_lmax100_dl0.001_Op2.dat
#Cc	A' using exact nu = 0.671696337558	P (bar)
#ind. variable	(from 3Dvlt_macro.c data fits via 3Dvlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	4.01187402369329	-55.003570278604
1.10	3.86677170432738	-49.8500021071178
1.06	3.80469569424847	-47.6452616787532
1.05	3.78878357845808	-47.0801144513572
1.04	3.77270486968496	-46.5090503764765
1.03	3.75646856136679	-45.9323888721215
1.02	3.74005717091211	-45.3495090128148
1.01	3.72347695050249	-44.7606328559579
1.00	3.7067158625785	-44.1653328661158
0.99	3.68978659434611	-43.5640596520814
0.98	3.67266976176842	-42.9561247551446
0.97	3.65536737134034	-42.3415994395572
0.90	3.52875068354362	-37.8445815072478
0.80	3.32899509968019	-30.749904981236
0.70	3.10236821977425	-22.7008463570166
0.60	2.84195365299783	-13.4517576546783
0.55	2.69632693710332	-8.27956460337756
0.50	2.5384699066375	-2.67299007438998
0.40	1.27223718789601	42.2995277014599
0.30	2.76622165212169	-10.7620003097664
0.20	2.2109717736501	8.95869136089303
0.10	1.53125978075883	33.0998774401337

