# Filename: 3Dvlt_macro_Tv_Cc0.30_lmax100_dl0.001_Op2.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=2.04013123190187606326, THETA=0.6918
# Parameter values: N=3, Cc=0.3, K0c=0.476281, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=2
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
1	1e-08	100	1.3281e+38	2.78848e+38	1.03734e-05	0	-0.392478
1	1.25893e-08	100	1.55025e+38	3.2549e+38	1.21085e-05	0	-0.392478
1	1.58489e-08	100	1.80955e+38	3.79933e+38	1.41338e-05	0	-0.392478
1	1.99526e-08	100	2.11222e+38	4.43482e+38	1.64979e-05	0	-0.392478
1	2.51189e-08	100	2.46552e+38	5.17662e+38	1.92574e-05	0	-0.392478
1	3.16228e-08	100	2.87792e+38	6.04248e+38	2.24785e-05	0	-0.392478
1	3.98107e-08	100	3.3593e+38	7.05318e+38	2.62384e-05	0	-0.392478
1	5.01187e-08	100	3.92119e+38	8.23294e+38	3.06271e-05	0	-0.392478
1	6.30957e-08	100	4.57707e+38	9.61002e+38	3.575e-05	0	-0.392478
1	7.94328e-08	100	5.34266e+38	1.12174e+39	4.17297e-05	0	-0.392478
1	1e-07	100	6.2363e+38	1.30937e+39	4.87097e-05	0	-0.392478
1	1.25893e-07	100	7.27942e+38	1.52839e+39	5.68571e-05	0	-0.392478
1	1.58489e-07	100	8.49701e+38	1.78403e+39	6.63674e-05	0	-0.392478
1	1.99526e-07	100	9.91827e+38	2.08244e+39	7.74683e-05	0	-0.392478
1	2.51189e-07	100	1.15773e+39	2.43076e+39	9.04261e-05	0	-0.392478
1	3.16228e-07	100	1.35137e+39	2.83734e+39	0.000105551	0	-0.392478
1	3.98107e-07	100	1.57741e+39	3.31193e+39	0.000123206	0	-0.392478
0.999999	5.01187e-07	100	1.84126e+39	3.8659e+39	0.000143815	0	-0.392478
0.999999	6.30957e-07	100	2.14924e+39	4.51254e+39	0.00016787	0	-0.392477
0.999999	7.94328e-07	100	2.50873e+39	5.26733e+39	0.000195949	0	-0.392477
0.999999	1e-06	100	2.92835e+39	6.14837e+39	0.000228724	0	-0.392477
0.999999	1.25893e-06	100	3.41817e+39	7.17678e+39	0.000266982	0	-0.392477
0.999998	1.58489e-06	100	3.98991e+39	8.3772e+39	0.000311638	0	-0.392476
0.999998	1.99526e-06	100	4.65729e+39	9.77842e+39	0.000363765	0	-0.392475
0.999997	2.51189e-06	100	5.43629e+39	1.1414e+40	0.00042461	0	-0.392475
0.999997	3.16228e-06	100	6.3456e+39	1.33232e+40	0.000495632	0	-0.392474
0.999996	3.98107e-06	100	7.407e+39	1.55517e+40	0.000578534	0	-0.392472
0.999995	5.01187e-06	100	8.64594e+39	1.81529e+40	0.000675303	0	-0.392471
0.999994	6.30957e-06	100	1.00921e+40	2.11893e+40	0.000788258	0	-0.392469
0.999992	7.94328e-06	100	1.17802e+40	2.47335e+40	0.000920106	0	-0.392467
0.99999	1e-05	100	1.37506e+40	2.88706e+40	0.00107401	0	-0.392464
0.999987	1.25893e-05	100	1.60507e+40	3.36996e+40	0.00125365	0	-0.39246
0.999984	1.58489e-05	100	1.87355e+40	3.93363e+40	0.00146334	0	-0.392455
0.99998	1.99526e-05	100	2.18693e+40	4.59159e+40	0.00170811	0	-0.392449
0.999975	2.51189e-05	100	2.55274e+40	5.3596e+40	0.00199381	0	-0.392441
