# Filename: 3Dvlt_macro_Tv_Cc0.60_lmax100_dl0.001_Op2.dat
# Source: 3Dvlt_macro_noifthen.c
# Source version: 1 (2011 Oct 27 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=0.6, K0c=0.438731, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=2
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
1	1e-08	14.193	5.00411	11.4059	7.81965e-06	7.03322e-43	-0.071945
1	1.25893e-08	14.038	5.00194	11.4009	9.1267e-06	1.77922e-42	-0.071945
1	1.58489e-08	13.884	5.00485	11.4076	1.06524e-05	4.49381e-42	-0.071945
1	1.99526e-08	13.729	5.00285	11.403	1.24334e-05	1.13699e-41	-0.071945
1	2.51189e-08	13.574	5.00092	11.3986	1.45124e-05	2.8769e-41	-0.071945
1	3.16228e-08	13.42	5.00403	11.4057	1.69391e-05	7.26744e-41	-0.0719449
1	3.98107e-08	13.265	5.00219	11.4015	1.97718e-05	1.839e-40	-0.0719449
1	5.01187e-08	13.11	5.00038	11.3974	2.30783e-05	4.65368e-40	-0.0719449
1	6.30957e-08	12.956	5.00359	11.4047	2.69379e-05	1.17568e-39	-0.0719449
1	7.94328e-08	12.801	5.00182	11.4007	3.14431e-05	2.97522e-39	-0.0719449
1	1e-07	12.646	5.00007	11.3967	3.6702e-05	7.52935e-39	-0.0719449
1	1.25893e-07	12.492	5.00333	11.4041	4.28404e-05	1.90225e-38	-0.0719449
1	1.58489e-07	12.337	5.0016	11.4001	5.00057e-05	4.81408e-38	-0.0719449
1	1.99526e-07	12.183	5.00488	11.4076	5.83694e-05	1.21628e-37	-0.0719449
1	2.51189e-07	12.028	5.00316	11.4037	6.81322e-05	3.07809e-37	-0.0719449
1	3.16228e-07	11.873	5.00145	11.3998	7.95279e-05	7.78995e-37	-0.0719448
1	3.98107e-07	11.719	5.00475	11.4073	9.28296e-05	1.96816e-36	-0.0719448
0.999999	5.01187e-07	11.564	5.00305	11.4034	0.000108356	4.98097e-36	-0.0719448
0.999999	6.30957e-07	11.409	5.00135	11.3996	0.00012648	1.26058e-35	-0.0719447
0.999999	7.94328e-07	11.255	5.00465	11.4071	0.000147635	3.18492e-35	-0.0719447
0.999999	1e-06	11.1	5.00295	11.4032	0.000172329	8.06037e-35	-0.0719446
0.999999	1.25893e-06	10.945	5.00126	11.3994	0.000201153	2.03992e-34	-0.0719445
0.999998	1.58489e-06	10.791	5.00457	11.4069	0.000234799	5.15398e-34	-0.0719444
0.999998	1.99526e-06	10.636	5.00287	11.403	0.000274072	1.30437e-33	-0.0719442
0.999997	2.51189e-06	10.481	5.00119	11.3992	0.000319914	3.30112e-33	-0.071944
0.999997	3.16228e-06	10.327	5.00449	11.4067	0.000373423	8.34049e-33	-0.0719438
0.999996	3.98107e-06	10.172	5.00281	11.4029	0.000435883	2.11082e-32	-0.0719435
0.999995	5.01187e-06	10.017	5.00112	11.399	0.00050879	5.3421e-32	-0.0719431
0.999994	6.30957e-06	9.863	5.00443	11.4065	0.000593891	1.34972e-31	-0.0719426
0.999992	7.94328e-06	9.708	5.00275	11.4027	0.000693228	3.41589e-31	-0.071942
0.99999	1e-05	9.553	5.00106	11.3988	0.000809179	8.64504e-31	-0.0719412
0.999987	1.25893e-05	9.399	5.00438	11.4063	0.000944523	2.18424e-30	-0.0719403
0.999984	1.58489e-05	9.244	5.0027	11.4025	0.00110251	5.52795e-30	-0.0719391
0.99998	1.99526e-05	9.089	5.00103	11.3986	0.00128691	1.39904e-29	-0.0719375
0.999975	2.51189e-05	8.935	5.00435	11.4061	0.00150216	3.53481e-29	-0.0719356
0.999968	3.16228e-05	8.78	5.00269	11.4023	0.00175342	8.94611e-29	-0.0719332
0.99996	3.98107e-05	8.625	5.00103	11.3984	0.0020467	2.26415e-28	-0.0719302
0.99995	5.01187e-05	8.471	5.00437	11.4059	0.00238903	5.72071e-28	-0.0719263
0.999937	6.30957e-05	8.316	5.00273	11.402	0.00278861	1.44786e-27	-0.0719215
0.999921	7.94328e-05	8.161	5.0011	11.3981	0.00325503	3.66445e-27	-0.0719154
0.9999	0.0001	8.007	5.00448	11.4056	0.00379946	9.25905e-27	-0.0719078
0.999874	0.000125893	7.852	5.00289	11.4016	0.00443494	2.34348e-26	-0.0718982
0.999842	0.000158489	7.697	5.00132	11.3977	0.00517669	5.9315e-26	-0.0718861
0.9998	0.000199526	7.543	5.00477	11.4051	0.00604249	1.49883e-25	-0.0718709
0.999749	0.000251189	7.388	5.00327	11.4011	0.00705308	3.79385e-25	-0.0718518
0.999684	0.000316228	7.233	5.00181	11.397	0.00823265	9.60347e-25	-0.0718277
0.999602	0.000398107	7.078	5.00042	11.3929	0.00960946	2.43109e-24	-0.0717975
0.999499	0.000501187	6.924	5.0041	11.4001	0.0112164	6.14427e-24	-0.0717594
0.999369	0.000630957	6.769	5.00288	11.3959	0.0130921	1.55563e-23	-0.0717116
0.999206	0.000794328	6.614	5.00178	11.3915	0.0152812	3.93903e-23	-0.0716516
0.999	0.001	6.459	5.00084	11.387	0.0178362	9.97543e-23	-0.0715761
0.998741	0.00125893	6.304	5.00009	11.3824	0.020818	2.52666e-22	-0.0714814
0.998415	0.00158489	6.15	5.00458	11.3889	0.0242979	6.39035e-22	-0.0713627
0.998005	0.00199526	5.995	5.00438	11.3837	0.0283589	1.61938e-21	-0.0712138
0.997488	0.00251189	5.84	5.00456	11.3783	0.0330976	4.1051e-21	-0.0710273
0.996838	0.00316228	5.684	5.00025	11.361	0.0386267	1.04284e-20	-0.0707939
0.996019	0.00398107	5.529	5.00154	11.3546	0.0450774	2.64617e-20	-0.0705023
0.994988	0.00501187	5.374	5.00362	11.3476	0.0526024	6.71926e-20	-0.0701383
0.99369	0.00630957	5.218	5.00169	11.3284	0.0613791	1.71057e-19	-0.0696849
0.992057	0.00794328	5.062	5.00101	11.3083	0.0716138	4.35962e-19	-0.0691209
