# Filename: 3Dvlt_macro_Tv_Cc1.04_lmax100_dl0.001_Op2.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.04, K0c=0.307248, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=2
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
1	1e-08	100	8.443e+37	2.74794e+38	1.02226e-05	0	-0.0529431
1	1.25893e-08	100	9.8552e+37	3.20757e+38	1.19324e-05	0	-0.0529431
1	1.58489e-08	100	1.15036e+38	3.74408e+38	1.39283e-05	0	-0.0529431
1	1.99526e-08	100	1.34277e+38	4.37033e+38	1.6258e-05	0	-0.0529431
1	2.51189e-08	100	1.56737e+38	5.10132e+38	1.89773e-05	0	-0.0529431
1	3.16228e-08	100	1.82954e+38	5.95459e+38	2.21515e-05	0	-0.0529431
1	3.98107e-08	100	2.13555e+38	6.95057e+38	2.58567e-05	0	-0.0529431
1	5.01187e-08	100	2.49275e+38	8.11315e+38	3.01815e-05	0	-0.0529431
1	6.30957e-08	100	2.90969e+38	9.47018e+38	3.52298e-05	0	-0.0529431
1	7.94328e-08	100	3.39638e+38	1.10542e+39	4.11224e-05	0	-0.0529431
1	1e-07	100	3.96447e+38	1.29032e+39	4.80007e-05	0	-0.0529431
1	1.25893e-07	100	4.62758e+38	1.50614e+39	5.60295e-05	0	-0.0529431
1	1.58489e-07	100	5.4016e+38	1.75806e+39	6.54012e-05	0	-0.0529431
1	1.99526e-07	100	6.30509e+38	2.05212e+39	7.63404e-05	0	-0.0529431
1	2.51189e-07	100	7.3597e+38	2.39536e+39	8.91093e-05	0	-0.0529431
1	3.16228e-07	100	8.59071e+38	2.79602e+39	0.000104014	0	-0.052943
1	3.98107e-07	100	1.00276e+39	3.26369e+39	0.000121412	0	-0.052943
0.999999	5.01187e-07	100	1.17049e+39	3.80959e+39	0.000141719	0	-0.052943
0.999999	6.30957e-07	100	1.36627e+39	4.44679e+39	0.000165424	0	-0.0529429
0.999999	7.94328e-07	100	1.59479e+39	5.19057e+39	0.000193093	0	-0.0529429
0.999999	1e-06	100	1.86154e+39	6.05877e+39	0.000225391	0	-0.0529428
0.999999	1.25893e-06	100	2.17291e+39	7.07217e+39	0.00026309	0	-0.0529427
0.999998	1.58489e-06	100	2.53636e+39	8.25509e+39	0.000307095	0	-0.0529427
0.999998	1.99526e-06	100	2.9606e+39	9.63586e+39	0.000358461	0	-0.0529425
0.999997	2.51189e-06	100	3.4558e+39	1.12476e+40	0.000418419	0	-0.0529424
0.999997	3.16228e-06	100	4.03383e+39	1.31289e+40	0.000488404	0	-0.0529422
0.999996	3.98107e-06	100	4.70855e+39	1.53249e+40	0.000570096	0	-0.0529419
0.999995	5.01187e-06	100	5.49612e+39	1.78881e+40	0.000665452	0	-0.0529416
0.999994	6.30957e-06	100	6.41542e+39	2.08801e+40	0.000776757	0	-0.0529412
0.999992	7.94328e-06	100	7.48849e+39	2.43726e+40	0.000906679	0	-0.0529407
0.99999	1e-05	100	8.74105e+39	2.84492e+40	0.00105833	0	-0.0529401
0.999987	1.25893e-05	100	1.02031e+40	3.32077e+40	0.00123535	0	-0.0529393
0.999984	1.58489e-05	100	1.19097e+40	3.8762e+40	0.00144198	0	-0.0529383
0.99998	1.99526e-05	100	1.39018e+40	4.52454e+40	0.00168316	0	-0.0529371
0.999975	2.51189e-05	100	1.62271e+40	5.28131e+40	0.00196469	0	-0.0529355
0.999968	3.16228e-05	100	1.89414e+40	6.16466e+40	0.0022933	0	-0.0529335
0.99996	3.98107e-05	100	2.21097e+40	7.19575e+40	0.00267687	0	-0.052931
0.99995	5.01187e-05	100	2.58079e+40	8.39929e+40	0.0031246	0	-0.0529279
0.999937	6.30957e-05	100	3.01248e+40	9.80411e+40	0.0036472	0	-0.052924
0.999921	7.94328e-05	100	3.51639e+40	1.14439e+41	0.00425721	0	-0.052919
0.9999	0.0001	100	4.10459e+40	1.33579e+41	0.00496923	0	-0.0529128
0.999874	0.000125893	100	4.79119e+40	1.55919e+41	0.00580032	0	-0.0529049
0.999842	0.000158489	100	5.59266e+40	1.81996e+41	0.00677037	0	-0.052895
0.9998	0.000199526	100	6.52823e+40	2.12432e+41	0.00790263	0	-0.0528826
0.999749	0.000251189	100	7.62034e+40	2.47957e+41	0.00922419	0	-0.052867
0.999684	0.000316228	100	8.8952e+40	2.89421e+41	0.0107667	0	-0.0528473
0.999602	0.000398107	100	1.03834e+41	3.37815e+41	0.012567	0	-0.0528226
0.999499	0.000501187	100	1.21207e+41	3.94296e+41	0.0146681	0	-0.0527915
0.999369	0.000630957	100	1.41489e+41	4.60214e+41	0.0171203	0	-0.0527524
0.999206	0.000794328	100	1.65167e+41	5.37143e+41	0.0199821	0	-0.0527033
0.999	0.001	100	1.92811e+41	6.26915e+41	0.0233217	0	-0.0526417
0.998741	0.00125893	100	2.25087e+41	7.3167e+41	0.0272187	0	-0.0525643
0.998415	0.00158489	100	2.62774e+41	8.53896e+41	0.0317656	0	-0.0524672
0.998005	0.00199526	100	3.06782e+41	9.96492e+41	0.0370703	0	-0.0523455
0.997488	0.00251189	100	3.58177e+41	1.16283e+42	0.0432582	0	-0.052193
0.996838	0.00316228	100	4.18206e+41	1.35683e+42	0.0504752	0	-0.0520022
0.996019	0.00398107	100	4.88332e+41	1.58305e+42	0.0588906	0	-0.0517638
0.994988	0.00501187	100	5.70268e+41	1.84675e+42	0.0687005	0	-0.0514662
0.99369	0.00630957	100	6.66028e+41	2.15404e+42	0.080132	0	-0.0510955
0.992057	0.00794328	100	7.77978e+41	2.51197e+42	0.0934472	0	-0.0506345
