# Filename: 3Dvlt_macro_Tv_Cc0.20_lmax100_dl0.001_Op2.dat
# Source: 3Dvlt_macro_noifthen.c
# Source version: 1 (2011 Oct 27 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=0.2, K0c=0.934654978144903, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=2
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
1	1e-08	14.111	5.00345	5.35325	3.98372e-06	1.14968e-42	-0.105399
1	1.25893e-08	13.956	5.00076	5.35038	4.64912e-06	2.90712e-42	-0.105399
1	1.58489e-08	13.802	5.00328	5.35308	5.42589e-06	7.33998e-42	-0.105399
1	1.99526e-08	13.647	5.00096	5.3506	6.33265e-06	1.85661e-41	-0.105399
1	2.51189e-08	13.493	5.00377	5.3536	7.39113e-06	4.6888e-41	-0.105399
1	3.16228e-08	13.338	5.00169	5.35137	8.62671e-06	1.18624e-40	-0.105399
1	3.98107e-08	13.184	5.00468	5.35457	1.0069e-05	2.9963e-40	-0.105399
1	5.01187e-08	13.029	5.00274	5.3525	1.17526e-05	7.58141e-40	-0.105399
1	6.30957e-08	12.874	5.00085	5.35048	1.37178e-05	1.91839e-39	-0.105399
1	7.94328e-08	12.72	5.004	5.35385	1.60118e-05	4.84626e-39	-0.105399
1	1e-07	12.565	5.00219	5.35191	1.86895e-05	1.22636e-38	-0.105399
1	1.25893e-07	12.41	5.0004	5.35	2.18152e-05	3.10343e-38	-0.105399
1	1.58489e-07	12.256	5.00363	5.35345	2.54636e-05	7.84046e-38	-0.105399
1	1.99526e-07	12.101	5.00188	5.35157	2.97224e-05	1.98416e-37	-0.105399
1	2.51189e-07	11.946	5.00014	5.34971	3.46935e-05	5.02135e-37	-0.105399
1	3.16228e-07	11.792	5.00341	5.35321	4.04961e-05	1.26863e-36	-0.105398
1	3.98107e-07	11.637	5.00169	5.35137	4.72694e-05	3.21057e-36	-0.105398
0.999999	5.01187e-07	11.483	5.00497	5.35488	5.51755e-05	8.11156e-36	-0.105398
0.999999	6.30957e-07	11.328	5.00326	5.35305	6.44041e-05	2.05284e-35	-0.105398
0.999999	7.94328e-07	11.173	5.00156	5.35123	7.51764e-05	5.19529e-35	-0.105398
0.999999	1e-06	11.019	5.00485	5.35475	8.77503e-05	1.31261e-34	-0.105398
0.999999	1.25893e-06	10.864	5.00315	5.35294	0.000102428	3.32194e-34	-0.105398
0.999998	1.58489e-06	10.709	5.00146	5.35112	0.00011956	8.40715e-34	-0.105398
0.999998	1.99526e-06	10.555	5.00476	5.35465	0.000139557	2.12412e-33	-0.105398
0.999997	2.51189e-06	10.4	5.00307	5.35284	0.0001629	5.37571e-33	-0.105398
0.999997	3.16228e-06	10.245	5.00138	5.35103	0.000190147	1.36049e-32	-0.105397
0.999996	3.98107e-06	10.091	5.00469	5.35456	0.000221952	3.43738e-32	-0.105397
0.999995	5.01187e-06	9.936	5.003	5.35276	0.000259076	8.69935e-32	-0.105396
0.999994	6.30957e-06	9.781	5.00132	5.35095	0.00030241	2.20165e-31	-0.105396
0.999992	7.94328e-06	9.627	5.00463	5.35448	0.000352992	5.56265e-31	-0.105395
0.99999	1e-05	9.472	5.00296	5.35268	0.000412035	1.40781e-30	-0.105394
0.999987	1.25893e-05	9.317	5.00128	5.35087	0.000480953	3.56294e-30	-0.105393
0.999984	1.58489e-05	9.163	5.0046	5.35441	0.000561398	9.00213e-30	-0.105392
0.99998	1.99526e-05	9.008	5.00293	5.3526	0.0006553	2.27831e-29	-0.10539
0.999975	2.51189e-05	8.853	5.00127	5.35079	0.000764908	5.7661e-29	-0.105387
0.999968	3.16228e-05	8.699	5.00461	5.35433	0.000892848	1.45688e-28	-0.105385
0.99996	3.98107e-05	8.544	5.00297	5.35253	0.00104219	3.68723e-28	-0.105381
0.99995	5.01187e-05	8.389	5.00133	5.35072	0.00121651	9.33211e-28	-0.105376
0.999937	6.30957e-05	8.235	5.00471	5.35426	0.00141999	2.35796e-27	-0.10537
0.999921	7.94328e-05	8.08	5.0031	5.35246	0.0016575	5.96797e-27	-0.105363
0.9999	0.0001	7.925	5.00152	5.35066	0.00193474	1.51052e-26	-0.105354
0.999874	0.000125893	7.771	5.00496	5.3542	0.00225836	3.81689e-26	-0.105342
0.999842	0.000158489	7.616	5.00344	5.3524	0.0026361	9.66123e-26	-0.105328
0.9998	0.000199526	7.461	5.00197	5.35061	0.00307703	2.44553e-25	-0.10531
0.999749	0.000251189	7.306	5.00055	5.34881	0.00359172	6.19065e-25	-0.105287
0.999684	0.000316228	7.152	5.0042	5.35237	0.00419249	1.56457e-24	-0.105258
0.999602	0.000398107	6.997	5.00294	5.35058	0.00489376	3.96112e-24	-0.105221
0.999499	0.000501187	6.842	5.00179	5.3488	0.00571234	1.00296e-23	-0.105176
0.999369	0.000630957	6.687	5.00079	5.34703	0.00666785	2.53983e-23	-0.105118
0.999206	0.000794328	6.533	5.00495	5.35061	0.00778319	6.42193e-23	-0.105046
0.999	0.001	6.378	5.00435	5.34887	0.00908514	1.62683e-22	-0.104956
0.998741	0.00125893	6.223	5.00403	5.34714	0.0106049	4.12221e-22	-0.104842
0.998415	0.00158489	6.068	5.00407	5.34544	0.012379	1.04487e-21	-0.104699
0.998005	0.00199526	5.913	5.00456	5.34377	0.0144499	2.64954e-21	-0.10452
0.997488	0.00251189	5.757	5.00063	5.33681	0.0168674	6.7335e-21	-0.104296
0.996838	0.00316228	5.602	5.00243	5.33524	0.0196896	1.70952e-20	-0.104016
0.996019	0.00398107	5.446	5.00015	5.32843	0.0229843	4.35131e-20	-0.103665
0.994988	0.00501187	5.291	5.00403	5.32705	0.0268309	1.10692e-19	-0.103228
0.99369	0.00630957	5.135	5.00441	5.3205	0.0313221	2.82471e-19	-0.102682
0.992057	0.00794328	4.978	5.00168	5.30886	0.0365665	7.23387e-19	-0.102004
