#filename: Pdep_CcK0c_lmax100_dl0.001_Op2.dat
# This file was created by editing Pdep_Cc_lmax100_dl0.001_Op2.dat by hand.
#Cc	K0c	A' using exact nu = 0.6716883522798452	P (bar)
#ind. variable	(from 3Dvlt_K0cFind.c Output26)	(from 3Dvlt_macro_noifthen.c data fits via 3Dvlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	0.280544308975229	2.54752911319273	-3.00136086300631
1.10	0.296468939006784	2.45689698394729	0.217841272615485
1.06	0.30354071294185	2.41846211625323	1.58302610489477
1.05	0.305379423608169	2.40864066279905	1.93187859460076
1.04	0.307247922776542	2.39873343576103	2.28377771364828
1.03	0.309146998428258	2.38873600981737	2.6388806469735
1.02	0.311077467512369	2.37865109206292	2.99709124009304
1.01	0.313040177313466	2.3684747472862	3.35854926950012
1.00	0.315036006898571	2.35820446160999	3.72334402669687
0.99	0.317065868648624	2.34784147922174	4.09143131884595
0.98	0.319130709880376	2.33738024279746	4.46300853896269
0.97	0.321231514565087	2.3268222874971	4.8380211590312
0.90	0.337035371070207	2.25001920912086	7.56602320410682
0.80	0.36362286558404	2.13051461630077	11.8107589686304
0.70	0.39656697289679	1.99738150577657	16.5395719987296
0.60	0.438731007210038	1.84752248299898	21.8624800025936
0.55	0.464697047043989	1.76483700831233	24.7994214483288
0.50	0.495108289977297	1.67604540729148	27.9532490590374
0.40	0.575343429658511	1.47623729089002	35.050320708896
0.30	0.701090942081052	1.23749160414561	43.5304329057167
0.20	0.934654978144903	0.940985961220598	54.0621461830601
