# Filename: 3Dvlt_macro_T_Cc1.11_lmax0_dl-nan_Op7.dat
# Source: 3Dvlt_macro_noifthen.c
# Source version: 1 (2011 Oct 27 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.10500984397513, K0c=0.295613694950781, lmax=0, lsteps=0, (dl=-nan), lpts=1, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=7
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0	1	0	inf	-nan	-nan	0	0
0.001	0.999	0	295.614	1	1	0	0
0.002	0.998	0	147.807	1	1	0	0
0.003	0.997	0	98.5379	1	1	0	0
0.004	0.996	0	73.9034	1	1	0	0
0.005	0.995	0	59.1227	1	1	9.32993e-281	0
0.006	0.994	0	49.2689	1	1	4.38092e-234	0
0.007	0.993	0	42.2305	1	1	9.51666e-201	0
0.008	0.992	0	36.9517	1	1	9.57578e-176	0
0.009	0.991	0	32.846	1	1	2.67738e-156	0
0.01	0.99	0	29.5614	1	1	9.65916e-141	0
0.011	0.989	0	26.874	1	1	5.17108e-128	0
0.012	0.988	0	24.6345	1	1	2.09306e-117	0
0.013	0.987	0	22.7395	1	1	1.97746e-108	0
0.014	0.986	0	21.1153	1	1	9.75534e-101	0
0.015	0.985	0	19.7076	1	1	4.53551e-94	0
0.016	0.984	0	18.4759	1	1	3.09447e-88	0
0.017	0.983	0	17.389	1	1	4.3471e-83	0
0.018	0.982	0	16.423	1	1	1.63627e-78	0
0.019	0.981	0	15.5586	1	1	2.03171e-74	0
0.02	0.98	0	14.7807	1	1	9.8281e-71	0
0.021	0.979	0	14.0768	1	1	2.11915e-67	0
0.022	0.978	0	13.437	1	1	2.274e-64	0
0.023	0.977	0	12.8528	1	1	1.33011e-61	0
0.024	0.976	0	12.3172	1	1	4.575e-59	0
0.025	0.975	0	11.8245	1	1	9.86224e-57	0
0.026	0.974	0	11.3698	1	1	1.40622e-54	0
0.027	0.973	0	10.9487	1	1	1.38858e-52	0
0.028	0.972	0	10.5576	1	1	9.87691e-51	0
0.029	0.971	0	10.1936	1	1	5.23534e-49	0
0.03	0.97	0	9.85379	1	1	2.12967e-47	0
0.031	0.969	0	9.53593	1	1	6.82105e-46	0
0.032	0.968	0	9.23793	1	1	1.75911e-44	0
0.033	0.967	0	8.95799	1	1	3.72558e-43	0
0.034	0.966	0	8.69452	1	1	6.59325e-42	0
0.035	0.965	0	8.44611	1	1	9.90141e-41	0
0.036	0.964	0	8.21149	1	1	1.27917e-39	0
0.037	0.963	0	7.98956	1	1	1.4391e-38	0
0.038	0.962	0	7.77931	1	1	1.42538e-37	0
0.039	0.961	0	7.57984	1	1	1.25517e-36	0
0.04	0.96	0	7.39034	1	1	9.91368e-36	0
0.041	0.959	0	7.21009	1	1	7.07922e-35	0
0.042	0.958	0	7.03842	1	1	4.60342e-34	0
0.043	0.957	0	6.87474	1	1	2.74383e-33	0
0.044	0.956	0	6.71849	1	1	1.50798e-32	0
0.045	0.955	0	6.56919	1	1	7.6832e-32	0
0.046	0.954	0	6.42638	1	1	3.64706e-31	0
0.047	0.953	0	6.28965	1	1	1.62017e-30	0
0.048	0.952	0	6.15862	1	1	6.76388e-30	0
0.049	0.951	0	6.03293	1	1	2.66378e-29	0
0.05	0.95	0	5.91227	1	1	9.93088e-29	0
0.051	0.949	0	5.79635	1	1	3.51614e-28	0
0.052	0.948	0	5.68488	1	1	1.18584e-27	0
0.053	0.947	0	5.57762	1	1	3.82001e-27	0
0.054	0.946	0	5.47433	1	1	1.17838e-26	0
0.055	0.945	0	5.37479	1	1	3.48912e-26	0
0.056	0.944	0	5.27882	1	1	9.93826e-26	0
0.057	0.943	0	5.18621	1	1	2.72869e-25	0
0.058	0.942	0	5.09679	1	1	7.23556e-25	0
0.059	0.941	0	5.0104	1	1	1.85624e-24	0
0.06	0.94	0	4.92689	1	1	4.61484e-24	0
0.061	0.939	0	4.84613	1	1	1.11355e-23	0
0.062	0.938	0	4.76796	1	1	2.61171e-23	0
0.063	0.937	0	4.69228	1	1	5.96193e-23	0
0.064	0.936	0	4.61896	1	1	1.32632e-22	0
0.065	0.935	0	4.5479	1	1	2.87887e-22	0
0.066	0.934	0	4.479	1	1	6.10375e-22	0
0.067	0.933	0	4.41214	1	1	1.26541e-21	0
0.068	0.932	0	4.34726	1	1	2.56773e-21	0
0.069	0.931	0	4.28426	1	1	5.10461e-21	0
0.07	0.93	0	4.22305	1	1	9.95058e-21	0
0.071	0.929	0	4.16357	1	1	1.90357e-20	0
0.072	0.928	0	4.10575	1	1	3.57655e-20	0
0.073	0.927	0	4.0495	1	1	6.60472e-20	0
0.074	0.926	0	3.99478	1	1	1.19963e-19	0
0.075	0.925	0	3.94152	1	1	2.1445e-19	0
0.076	0.924	0	3.88965	1	1	3.77542e-19	0
0.077	0.923	0	3.83914	1	1	6.54977e-19	0
0.078	0.922	0	3.78992	1	1	1.12034e-18	0
0.079	0.921	0	3.74195	1	1	1.89049e-18	0
0.08	0.92	0	3.69517	1	1	3.1486e-18	0
0.081	0.919	0	3.64955	1	1	5.17833e-18	0
0.082	0.918	0	3.60505	1	1	8.41381e-18	0
0.083	0.917	0	3.56161	1	1	1.35119e-17	0
0.084	0.916	0	3.51921	1	1	2.14556e-17	0
0.085	0.915	0	3.47781	1	1	3.37008e-17	0
0.086	0.914	0	3.43737	1	1	5.23816e-17	0
0.087	0.913	0	3.39786	1	1	8.05963e-17	0
0.088	0.912	0	3.35925	1	1	1.228e-16	0
0.089	0.911	0	3.3215	1	1	1.85341e-16	0
0.09	0.91	0	3.2846	1	1	2.77186e-16	0
0.091	0.909	0	3.2485	1	1	4.10894e-16	0
