# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.2, K0c=0.934654978121805, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	10000000	1	1e-08	100	1.00705e+38	0	-0.10532	1.07746e+38	4.00822e-06	0	2.68812e+43	1
2	10000000	1	1.25893e-08	100	1.17549e+38	0	-0.10532	1.25768e+38	4.67865e-06	0	2.68812e+43	1
3	10000000	1	1.58489e-08	100	1.37211e+38	0	-0.10532	1.46804e+38	5.46122e-06	0	2.68812e+43	1
4	10000000	1	1.99526e-08	100	1.60161e+38	0	-0.10532	1.71359e+38	6.37468e-06	0	2.68812e+43	1
5	10000000	1	2.51189e-08	100	1.86951e+38	0	-0.10532	2.00021e+38	7.44093e-06	0	2.68812e+43	1
6	10000000	1	3.16228e-08	100	2.18221e+38	0	-0.10532	2.33477e+38	8.68553e-06	0	2.68812e+43	1
7	10000000	1	3.98107e-08	100	2.54721e+38	0	-0.10532	2.72529e+38	1.01383e-05	0	2.68812e+43	1
8	10000000	1	5.01187e-08	100	2.97326e+38	0	-0.10532	3.18113e+38	1.18341e-05	0	2.68812e+43	1
9	10000000	1	6.30957e-08	100	3.47058e+38	0	-0.10532	3.71322e+38	1.38135e-05	0	2.68812e+43	1
10	10000000	1	7.94328e-08	100	4.05108e+38	0	-0.10532	4.33431e+38	1.6124e-05	0	2.68812e+43	1
11	10000000	1	1e-07	100	4.72868e+38	0	-0.10532	5.05928e+38	1.88209e-05	0	2.68812e+43	1
12	10000000	1	1.25893e-07	100	5.51962e+38	0	-0.10532	5.90551e+38	2.19689e-05	0	2.68812e+43	1
13	10000000	1	1.58489e-07	100	6.44284e+38	0	-0.10532	6.89329e+38	2.56435e-05	0	2.68812e+43	1
