# Filename: 3Dvlt_macro_Tv_Op12_Cc1.00_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1, K0c=0.315036006898573, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	10000000	1	1e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
2	10000000	1	1.25893e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
3	10000000	1	1.58489e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
4	10000000	1	1.99526e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
5	10000000	1	2.51189e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
6	10000000	1	3.16228e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
7	10000000	1	3.98107e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
8	10000000	1	5.01187e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
9	10000000	1	6.30957e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
10	10000000	1	7.94328e-08	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
11	10000000	1	1e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
12	10000000	1	1.25893e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
13	10000000	1	1.58489e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
14	10000000	1	1.99526e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
15	10000000	1	2.51189e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
16	10000000	1	3.16228e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
17	10000000	1	3.98107e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
18	10000000	0.999999	5.01187e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
19	10000000	0.999999	6.30957e-07	100	0.315036	0.044633	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
20	10000000	0.999999	7.94328e-07	100	0.315036	0.0446329	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
21	10000000	0.999999	1e-06	100	0.315036	0.0446329	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
22	10000000	0.999999	1.25893e-06	100	0.315036	0.0446329	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
23	10000000	0.999998	1.58489e-06	100	0.315037	0.0446328	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
24	10000000	0.999998	1.99526e-06	100	0.315037	0.0446328	0	1	3.72008e-44	1.18295e-262	2.68812e+43	1
25	10000000	0.999997	2.51189e-06	100	0.315037	0.0446327	0	1	3.72008e-44	1.18294e-262	2.68812e+43	1
26	10000000	0.999997	3.16228e-06	100	0.315037	0.0446326	0	1	3.72008e-44	1.18294e-262	2.68812e+43	1
27	10000000	0.999996	3.98107e-06	100	0.315037	0.0446325	0	1	3.72008e-44	1.18294e-262	2.68812e+43	1
