# Filename: 3Dvlt_macro_Tv_Op12_Cc1.10_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1.1, K0c=0.296468939006783, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	1	1e-08	10	0.398365	0.0582443	-0.0509889	1.3437	6.10038e-05	5.10016e-28	22026.5	0.575663
2	1000000	1	1.25893e-08	10	0.401193	0.0572115	-0.0509889	1.35324	6.14369e-05	5.00973e-28	22026.5	0.578112
3	1000000	1	1.58489e-08	10	0.404763	0.0559388	-0.0509889	1.36528	6.19836e-05	4.89829e-28	22026.5	0.581193
4	1000000	1	1.99526e-08	10	0.409273	0.0543789	-0.0509889	1.38049	6.26742e-05	4.7617e-28	22026.5	0.58507
5	1000000	1	2.51189e-08	10	0.414973	0.0524803	-0.0509889	1.39972	6.35472e-05	4.59544e-28	22026.5	0.589946
6	1000000	1	3.16228e-08	10	0.422186	0.0501894	-0.0509889	1.42405	6.46517e-05	4.39484e-28	22026.5	0.596077
7	1000000	1	3.98107e-08	10	0.431321	0.0474552	-0.0509889	1.45486	6.60505e-05	4.15542e-28	22026.5	0.603782
8	1000000	1	5.01187e-08	10	0.442903	0.0442363	-0.0509889	1.49393	6.78242e-05	3.87356e-28	22026.5	0.613459
9	1000000	1	6.30957e-08	10	0.457606	0.0405115	-0.0509889	1.54352	7.00757e-05	3.54739e-28	22026.5	0.625598
10	1000000	1	7.94328e-08	10	0.476292	0.0362927	-0.0509889	1.60655	7.29372e-05	3.17797e-28	22026.5	0.640802
11	1000000	1	1e-07	10	0.500062	0.0316408	-0.0509889	1.68673	7.65772e-05	2.77063e-28	22026.5	0.659803
12	1000000	1	1.25893e-07	10	0.530314	0.0266791	-0.0509889	1.78877	8.12099e-05	2.33615e-28	22026.5	0.68347
13	1000000	1	1.58489e-07	10	0.568802	0.0215993	-0.0509889	1.91859	8.71037e-05	1.89135e-28	22026.5	0.712814
14	1000000	1	1.99526e-07	10	0.617684	0.0166528	-0.0509888	2.08347	9.45894e-05	1.45821e-28	22026.5	0.748962
15	1000000	1	2.51189e-07	10	0.679548	0.0121185	-0.0509888	2.29214	0.000104063	1.06116e-28	22026.5	0.793108
16	1000000	1	3.16228e-07	10	0.757374	0.00824906	-0.0509888	2.55465	0.000115981	7.2233e-29	22026.5	0.84642
17	1000000	1	3.98107e-07	10	0.854442	0.00520947	-0.0509888	2.88206	0.000130845	4.56168e-29	22026.5	0.909934
18	1000000	0.999999	5.01187e-07	10	0.974198	0.00303371	-0.0509887	3.286	0.000149184	2.65647e-29	22026.5	0.984438
19	1000000	0.999999	6.30957e-07	10	1.12031	0.00155356	-0.0509887	3.77883	0.000171558	1.36038e-29	22026.5	1
20	1000000	0.999999	7.94328e-07	10	1.29734	0.000623458	-0.0509887	4.37598	0.000198669	5.45932e-30	22026.5	1
21	1000000	0.999999	1e-06	10	1.50939	0.000186003	-0.0509886	5.09122	0.000231141	1.62874e-30	22026.5	1
22	1000000	0.999999	1.25893e-06	10	1.76011	3.89993e-05	-0.0509885	5.93689	0.000269534	3.41498e-31	22026.5	1
23	1000000	0.999998	1.58489e-06	10	2.05408	5.3994e-06	-0.0509884	6.92846	0.000314552	4.72799e-32	22026.5	1
24	1000000	0.999998	1.99526e-06	10	2.39758	4.5997e-07	-0.0509883	8.08711	0.000367154	4.02773e-33	22026.5	1
25	1000000	0.999997	2.51189e-06	10	2.7986	2.22236e-08	-0.0509882	9.43976	0.000428564	1.94601e-34	22026.5	1
26	1000000	0.999997	3.16228e-06	10	3.26671	5.53842e-10	-0.050988	11.0187	0.000500247	4.84972e-36	22026.5	1
27	1000000	0.999996	3.98107e-06	10	3.81311	6.37311e-12	-0.0509877	12.8617	0.00058392	5.58062e-38	22026.5	1
28	1000000	0.999995	5.01187e-06	10	4.4509	2.97561e-14	-0.0509874	15.013	0.000681588	2.6056e-40	22026.5	1
29	1000000	0.999994	6.30957e-06	10	5.19538	4.84768e-17	-0.050987	17.5241	0.000795592	4.24488e-43	22026.5	1
30	1000000	0.999992	7.94328e-06	10	6.06438	2.31069e-20	-0.0509865	20.4552	0.000928664	2.02335e-46	22026.5	1
31	1000000	0.99999	1e-05	10	7.07873	2.62371e-24	-0.0509859	23.8766	0.00108399	2.29745e-50	22026.5	1
32	1000000	0.999987	1.25893e-05	10	8.26275	5.5827e-29	-0.0509852	27.8702	0.00126531	4.8885e-55	22026.5	1
33	1000000	0.999984	1.58489e-05	10	9.64482	1.68221e-34	-0.0509842	32.5318	0.00147694	1.47303e-60	22026.5	1
34	1000000	0.99998	1.99526e-05	10	11.2581	5.17637e-41	-0.050983	37.9731	0.00172398	4.53269e-67	22026.5	1
35	1000000	0.999975	2.51189e-05	10	13.1412	1.11053e-48	-0.0509815	44.3245	0.00201233	9.72433e-75	22026.5	1
36	1000000	0.999968	3.16228e-05	10	15.3392	1.06392e-57	-0.0509795	51.7381	0.00234891	9.3162e-84	22026.5	1
37	1000000	0.99996	3.98107e-05	10	17.905	2.70589e-68	-0.0509771	60.3917	0.00274178	2.36941e-94	22026.5	1
38	1000000	0.99995	5.01187e-05	10	20.8999	9.95618e-81	-0.0509741	70.4926	0.00320036	8.71814e-107	22026.5	1
39	1000000	0.999937	6.30957e-05	10	24.3958	2.60914e-95	-0.0509702	82.2828	0.00373563	2.2847e-121	22026.5	1
40	1000000	0.999921	7.94328e-05	10	28.4766	2.12943e-112	-0.0509654	96.0448	0.00436043	1.86463e-138	22026.5	1
41	1000000	0.9999	0.0001	10	33.2399	2.0606e-132	-0.0509593	112.108	0.00508971	1.80437e-158	22026.5	1
42	1000000	0.999874	0.000125893	10	38.8002	7.65758e-156	-0.0509517	130.858	0.00594094	6.70537e-182	22026.5	1
43	1000000	0.999842	0.000158489	10	45.2906	2.93074e-183	-0.0509421	152.743	0.00693451	2.5663e-209	22026.5	1
44	1000000	0.9998	0.000199526	10	52.867	2.48509e-215	-0.05093	178.287	0.0080942	2.17607e-241	22026.5	1
