# Filename: 3Dvlt_macro_Tv_Op12_Cc0.35_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.35, K0c=0.630252697353913, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.401388	0.0571413	0	0.636868	2.89138e-05	5.00358e-28
1	1.25893e-08	10	0.405009	0.0558524	0	0.642613	2.91746e-05	4.89072e-28
1	1.58489e-08	10	0.409583	0.0542734	0	0.649872	2.95041e-05	4.75246e-28
1	1.99526e-08	10	0.415366	0.0523524	0	0.659047	2.99207e-05	4.58424e-28
1	2.51189e-08	10	0.422683	0.0500359	0	0.670657	3.04478e-05	4.3814e-28
1	3.16228e-08	10	0.431951	0.0472732	0	0.685361	3.11154e-05	4.13948e-28
1	3.98107e-08	10	0.443702	0.0440238	0	0.704007	3.19619e-05	3.85495e-28
1	5.01187e-08	10	0.458621	0.0402681	0	0.727678	3.30366e-05	3.52608e-28
1	6.30957e-08	10	0.477583	0.0360206	0	0.757764	3.44024e-05	3.15415e-28
1	7.94328e-08	10	0.501705	0.0313456	0	0.796037	3.614e-05	2.74478e-28
1	1e-07	10	0.532405	0.0263705	0	0.844748	3.83515e-05	2.30913e-28
1	1.25893e-07	10	0.57146	0.0212912	0	0.906716	4.11648e-05	1.86436e-28
1	1.58489e-07	10	0.621056	0.0163618	0	0.985408	4.47374e-05	1.43272e-28
1	1.99526e-07	10	0.683804	0.0118614	0	1.08497	4.92574e-05	1.03864e-28
1	2.51189e-07	10	0.762706	0.00803898	0	1.21016	5.49411e-05	7.03934e-29
1	3.16228e-07	10	0.861058	0.00505249	0	1.36621	6.20259e-05	4.42422e-29
1	3.98107e-07	10	0.98231	0.00292743	0	1.5586	7.07601e-05	2.5634e-29
0.999999	5.01187e-07	10	1.13017	0.00148055	0	1.79319	8.14109e-05	1.29644e-29
0.999999	6.30957e-07	10	1.30923	0.000584394	0	2.07731	9.43098e-05	5.11725e-30
0.999999	7.94328e-07	10	1.52353	0.000170924	0	2.41733	0.000109746	1.49669e-30
0.999999	1e-06	10	1.77673	3.50071e-05	0	2.81908	0.000127986	3.0654e-31
0.999999	1.25893e-06	10	2.07353	4.71527e-06	0	3.28999	0.000149365	4.12893e-32
0.999998	1.58489e-06	10	2.42029	3.88992e-07	0	3.84019	0.000174344	3.40622e-33
0.999998	1.99526e-06	10	2.82512	1.81026e-08	0	4.4825	0.000203505	1.58515e-34
0.999997	2.51189e-06	10	3.29765	4.31818e-10	0	5.23226	0.000237544	3.78122e-36
0.999997	3.16228e-06	10	3.84923	4.72144e-12	0	6.10743	0.000277277	4.13433e-38
0.999996	3.98107e-06	10	4.49307	2.07679e-14	0	7.12897	0.000323655	1.81855e-40
0.999995	5.01187e-06	10	5.2446	3.1558e-17	0	8.32139	0.00037779	2.76338e-43
0.999994	6.30957e-06	10	6.12184	1.38679e-20	0	9.71325	0.000440981	1.21435e-46
0.999992	7.94328e-06	10	7.14581	1.43209e-24	0	11.3379	0.000514741	1.25401e-50
0.99999	1e-05	10	8.34106	2.7276e-29	0	13.2343	0.000600838	2.38842e-55
0.999987	1.25893e-05	10	9.73623	7.22163e-35	0	15.4479	0.000701336	6.32363e-61
0.999984	1.58489e-05	10	11.3648	1.91066e-41	0	18.0318	0.000818643	1.67307e-67
0.99998	1.99526e-05	10	13.2657	3.43627e-49	0	21.0479	0.000955572	3.00897e-75
0.999975	2.51189e-05	10	15.4847	2.67924e-58	0	24.5684	0.0011154	2.34608e-84
0.999968	3.16228e-05	10	18.0748	5.35714e-69	0	28.6778	0.00130197	4.69099e-95
0.99996	3.98107e-05	10	21.0982	1.48822e-81	0	33.4745	0.00151974	1.30316e-107
0.99995	5.01187e-05	10	24.6274	2.80846e-96	0	39.0735	0.00177394	2.45923e-122
0.999937	6.30957e-05	10	28.747	1.56162e-113	0	45.609	0.00207065	1.36744e-139
0.999921	7.94328e-05	10	33.5559	9.64885e-134	0	53.2377	0.00241699	8.44903e-160
0.9999	0.0001	10	39.1693	2.12184e-157	0	62.1423	0.00282126	1.85799e-183
0.999874	0.000125893	10	45.7219	4.39515e-185	0	72.5363	0.00329314	3.84862e-211
0.999842	0.000158489	10	53.3711	1.81619e-217	0	84.6687	0.00384395	1.59035e-243
0.9998	0.000199526	10	62.3005	2.44394e-255	0	98.8304	0.00448689	2.14004e-281
0.999749	0.000251189	10	72.7246	1.28952e-299	0	115.361	0.00523736	0
0.999684	0.000316228	10	84.8939	3.45846e-322	0	134.656	0.00611335	0
0.999602	0.000398107	10	99.101	2.96439e-322	0	157.177	0.00713585	0
0.999499	0.000501187	10	115.688	2.51973e-322	0	183.466	0.00832935	0
0.999369	0.000630957	10	135.055	2.17389e-322	0	214.151	0.00972245	0
0.999206	0.000794328	10	157.668	1.82804e-322	0	249.968	0.0113485	0
0.999	0.001	10	184.075	1.58101e-322	0	291.774	0.0132465	0
0.998741	0.00125893	10	214.916	1.33398e-322	0	340.571	0.0154619	0
0.998415	0.00158489	10	250.94	1.13635e-322	0	397.527	0.0180477	0
0.998005	0.00199526	10	293.025	9.88131e-323	0	464.005	0.0210658	0
0.997488	0.00251189	10	342.203	8.39912e-323	0	541.598	0.0245885	0
0.996838	0.00316228	10	399.686	6.91692e-323	0	632.162	0.0287001	0
0.996019	0.00398107	10	466.899	5.92879e-323	0	737.863	0.0334989	0
0.994988	0.00501187	10	545.527	5.43472e-323	0	861.231	0.0390998	0
0.99369	0.00630957	10	637.562	4.44659e-323	0	1005.21	0.0456367	0
0.992057	0.00794328	10	745.369	3.95253e-323	0	1173.26	0.0532658	0
