# Filename: 3Dvlt_macro_Tv_Op42_Kth4.147_Cc1.05_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=1.05, K0c=0.30537942360817, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1410224	0.99999998999999995	            1e-08	14.102239999635289	4.1467887045141003	4.6343432173664148e-06	-0.052576262494675848	13.579135797855585	1.0194058398089564e-05	8.2954148236364155e-43	1332063.7637705125	                1
2	1394758	0.99999998741074592	1.2589254117941661e-08	13.947579999641144	4.1467954628149659	4.6343432182348463e-06	-0.052576261711845915	13.579157893527951	1.1899146415383424e-05	2.098195812232349e-42	1141187.5624937748	                1
3	1379292	0.99999998415106806	1.5848931924611143e-08	13.792919999646999	4.1468037604425811	4.6343432196122244e-06	-0.052576260726312538	13.579185020798571	1.3889437587017357e-05	5.3070590929447637e-42	977662.69769563724	                1
4	1363825	0.99999998004737689	1.9952623149688786e-08	13.638249999652855	4.1467699469864314	4.6343432161529283e-06	-0.052576259485599311	13.579074239029854	1.6212629012531917e-05	1.3424183751427297e-41	837561.5224732277	                1
5	1348359	0.99999997488113568	2.5118864315095821e-08	13.48358999965871	4.1467786387977634	4.6343432164947612e-06	-0.052576257923635725	13.579102631210956	1.8924409525617773e-05	3.3954379287248845e-41	717544.32352719211	                1
6	1332893	0.99999996837722338	3.1622776601683792e-08	13.328929999664565	4.1467863852630069	4.6343432171169297e-06	-0.052576255957236105	13.579127909583098	2.2089766779461094e-05	8.5882307200206047e-41	614724.82010126393	                1
7	1317427	0.99999996018928294	3.981071705534969e-08	13.17426999967042	4.1467941475593353	4.6343432180415145e-06	-0.052576253481695548	13.579153216927933	2.5784571864705369e-05	2.1722590267705918e-40	526638.6926329172	                1
8	1301961	0.99999994988127661	5.011872336272725e-08	13.019609999676275	4.1468018823089388	4.6343432192618391e-06	-0.052576250365170191	13.579178405278689	3.0097381609116733e-05	5.4943904437585042e-40	451174.74276119261	                1
9	1286494	0.99999993690426559	6.3095734448019296e-08	12.864939999682131	4.1467689023664782	4.6343432161257157e-06	-0.052576246441697151	13.57907023245852	3.5131571956719352e-05	1.3898037619799007e-39	386520.42809776281	                1
10	1271028	0.99999992056717657	7.943282347242822e-08	12.710279999687986	4.1467769750298347	4.634343216382741e-06	-0.052576241502342268	13.579096445477354	4.1007793848889398e-05	3.5152918748769311e-39	331134.5276343149	                1
11	1255562	0.99999990000000005	9.9999999999999995e-08	12.555619999693841	4.1467850820193535	4.6343432169650872e-06	-0.052576235284065	13.579122713459393	4.786689207147066e-05	8.8913825854372215e-39	283685.07178582292	                1
12	1240096	0.99999987410745883	1.2589254117941662e-07	12.400959999699696	4.1467932397568381	4.6343432178791908e-06	-0.052576227455725204	13.579149075306431	5.5873265966326665e-05	2.248936563455159e-38	243034.81889693404	                1
13	1224630	0.99999984151068078	1.5848931924611141e-07	12.246299999705551	4.1468013738412504	4.6343432191150279e-06	-0.052576217600438999	13.579175268659375	6.5218811497819176e-05	5.6883343149359265e-38	208209.48675388607	                1
