# Filename: 3Dvlt_macro_Tv_Op42_Kth4.14677_Cc0.45_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=4, OpB=2, N=3, Cc=0.45, K0c=0.531323454210635, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
1	1e-08	10	0.400928	0.0573073	0	0.754584	3.42581e-05	5.01812e-28
1	1.25893e-08	10	0.404429	0.0560565	0	0.761172	3.45572e-05	4.9086e-28
1	1.58489e-08	10	0.40885	0.0545228	0	0.769494	3.4935e-05	4.7743e-28
1	1.99526e-08	10	0.414439	0.0526548	0	0.780013	3.54125e-05	4.61073e-28
1	2.51189e-08	10	0.42151	0.0503991	0	0.793321	3.60167e-05	4.4132e-28
1	3.16228e-08	10	0.430464	0.047704	0	0.810173	3.67818e-05	4.17721e-28
1	3.98107e-08	10	0.441816	0.0445272	0	0.831539	3.77518e-05	3.89903e-28
1	5.01187e-08	10	0.456226	0.0408452	0	0.858659	3.89831e-05	3.57661e-28
1	6.30957e-08	10	0.474537	0.0366665	0	0.893122	4.05477e-05	3.21071e-28
1	7.94328e-08	10	0.497828	0.0320473	0	0.936959	4.25379e-05	2.80623e-28
1	1e-07	10	0.527471	0.0271052	0	0.99275	4.50708e-05	2.37347e-28
1	1.25893e-07	10	0.565187	0.0220264	0	1.06373	4.82934e-05	1.92875e-28
1	1.58489e-07	10	0.613099	0.017058	0	1.15391	5.23874e-05	1.49369e-28
1	1.99526e-07	10	0.673758	0.0124784	0	1.26807	5.75705e-05	1.09267e-28
1	2.51189e-07	10	0.750113	0.0085449	0	1.41178	6.40948e-05	7.48235e-29
1	3.16228e-07	10	0.845427	0.00543202	0	1.59117	7.22391e-05	4.75655e-29
1	3.98107e-07	10	0.963135	0.00318551	0	1.81271	8.22968e-05	2.78939e-29
0.999999	5.01187e-07	10	1.10673	0.0017185	0	2.08296	9.45665e-05	1.50481e-29
0.999999	6.30957e-07	10	1.27976	0.00085488	0	2.40863	0.000109351	7.48576e-30
0.999999	7.94328e-07	10	1.48601	0.000395718	0	2.79681	0.000126975	3.46511e-30
0.999999	1e-06	10	1.72981	0.000173414	0	3.25566	0.000147807	1.5185e-30
0.999999	1.25893e-06	10	2.01636	7.39155e-05	0	3.79497	0.000172292	6.47241e-31
0.999998	1.58489e-06	10	2.35201	3.18544e-05	0	4.42669	0.000200971	2.78933e-31
0.999998	1.99526e-06	10	2.74444	1.46368e-05	0	5.16529	0.000234504	1.28167e-31
0.999997	2.51189e-06	10	3.20285	7.69679e-06	0	6.02804	0.000273673	6.7397e-32
0.999997	3.16228e-06	10	3.73806	5.08223e-06	0	7.03536	0.000319405	4.45026e-32
0.999996	3.98107e-06	9.94918	4.14677	4.63434e-06	0	7.80457	0.000372799	5.50484e-32
0.999995	5.01187e-06	9.79452	4.14678	4.63434e-06	0	7.80458	0.000435155	1.39236e-31
0.999994	6.30957e-06	9.63986	4.14679	4.63434e-06	0	7.8046	0.00050794	3.52176e-31
0.999992	7.94328e-06	9.4852	4.1468	4.63434e-06	0	7.80461	0.0005929	8.90775e-31
0.99999	1e-05	9.33053	4.14678	4.63434e-06	0	7.80454	0.00069207	2.25321e-30
0.999987	1.25893e-05	9.17587	4.1468	4.63434e-06	0	7.80456	0.000807827	5.69915e-30
0.999984	1.58489e-05	9.0212	4.14677	4.63434e-06	0	7.80449	0.000942947	1.4416e-29
0.99998	1.99526e-05	8.86654	4.1468	4.63434e-06	0	7.8045	0.00110067	3.6463e-29
0.999975	2.51189e-05	8.71187	4.14678	4.63434e-06	0	7.80443	0.00128477	9.22329e-29
0.999968	3.16228e-05	8.5572	4.14677	4.63434e-06	0	7.80436	0.00149966	2.33303e-28
0.99996	3.98107e-05	8.40254	4.14681	4.63434e-06	0	7.80436	0.00175049	5.90103e-28
0.99995	5.01187e-05	8.24786	4.14677	4.63434e-06	0	7.80421	0.00204328	1.49275e-27
0.999937	6.30957e-05	8.09319	4.14678	4.63434e-06	0	7.80413	0.00238505	3.77591e-27
0.999921	7.94328e-05	7.93852	4.1468	4.63435e-06	0	7.80405	0.00278397	9.55115e-27
0.9999	0.0001	7.78384	4.1468	4.63435e-06	0	7.80388	0.00324961	2.41611e-26
0.999874	0.000125893	7.62915	4.14677	4.63435e-06	0	7.80363	0.00379314	6.11227e-26
0.999842	0.000158489	7.47446	4.14677	4.63435e-06	0	7.80337	0.00442757	1.54628e-25
0.9998	0.000199526	7.31977	4.1468	4.63435e-06	0	7.8031	0.0051681	3.91178e-25
0.999749	0.000251189	7.16506	4.14678	4.63436e-06	0	7.80266	0.00603249	9.89723e-25
0.999684	0.000316228	7.01035	4.1468	4.63437e-06	0	7.8022	0.00704143	2.5041e-24
0.999602	0.000398107	6.85562	4.14681	4.63438e-06	0	7.80157	0.00821909	6.33642e-24
0.999499	0.000501187	6.70087	4.1468	4.63439e-06	0	7.80075	0.00959369	1.60357e-23
0.999369	0.000630957	6.5461	4.1468	4.63442e-06	0	7.79975	0.0111981	4.05868e-23
