# Filename: 3Dvlt_macro_Tv_Op42_Kth4.14677_Cc1.00_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=4, OpB=2, N=3, Cc=1, K0c=0.315036006898573, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
1	1e-08	10	0.39869	0.0581243	0	1.26554	5.74554e-05	5.08966e-28
1	1.25893e-08	10	0.401604	0.0570633	0	1.27479	5.78752e-05	4.99676e-28
1	1.58489e-08	10	0.405282	0.0557567	0	1.28646	5.84053e-05	4.88234e-28
1	1.99526e-08	10	0.409928	0.0541565	0	1.30121	5.90749e-05	4.74222e-28
1	2.51189e-08	10	0.415802	0.0522108	0	1.31986	5.99214e-05	4.57184e-28
1	3.16228e-08	10	0.423235	0.049866	0	1.34345	6.09926e-05	4.36652e-28
1	3.98107e-08	10	0.432651	0.0470719	0	1.37334	6.23494e-05	4.12186e-28
1	5.01187e-08	10	0.444591	0.0437891	0	1.41124	6.40701e-05	3.83439e-28
1	6.30957e-08	10	0.459749	0.0399996	0	1.45936	6.62546e-05	3.50257e-28
1	7.94328e-08	10	0.479017	0.035721	0	1.52052	6.90313e-05	3.12791e-28
1	1e-07	10	0.50353	0.0310213	0	1.59833	7.25639e-05	2.71638e-28
1	1.25893e-07	10	0.534728	0.0260323	0	1.69735	7.70598e-05	2.27952e-28
1	1.58489e-07	10	0.574414	0.0209546	0	1.82333	8.27789e-05	1.83489e-28
1	1.99526e-07	10	0.624801	0.0160452	0	1.98327	9.00402e-05	1.405e-28
1	2.51189e-07	10	0.688529	0.0115829	0	2.18556	9.92241e-05	1.01426e-28
1	3.16228e-07	10	0.768624	0.00781269	0	2.4398	0.000110767	6.84119e-29
1	3.98107e-07	10	0.868395	0.00488444	0	2.75649	0.000125145	4.27707e-29
0.999999	5.01187e-07	10	0.991298	0.00281438	0	3.14662	0.000142856	2.46442e-29
