# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=0.2, K0c=0.934654978121809, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	1.0070513139453346e+38	                0	-0.10532754033413204	1.0774578079052149e+38	4.0082248975617328e-06	                0	2.6881171477195552e+43	                1
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.1754940770245645e+38	                0	-0.10532753917819752	1.2576769928387136e+38	4.6786539563785552e-06	                0	2.6881171477195552e+43	                1
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.3721110679075324e+38	                0	-0.10532753772296929	1.4680401627114817e+38	5.4612209291432217e-06	                0	2.6881171477195552e+43	                1
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.6016149182376861e+38	                0	-0.10532753589094171	1.7135894247305189e+38	6.3746828377038188e-06	                0	2.6881171477195552e+43	                1
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.869506322979279e+38	                0	-0.10532753358455881	2.0002100451828534e+38	7.440933319739124e-06	                0	2.6881171477195552e+43	                1
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	2.1822061297782776e+38	                0	-0.10532753068099183	2.3347717733831652e+38	8.6855283645798399e-06	                0	2.6881171477195552e+43	                1
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.5472091595486257e+38	                0	-0.10532752702562191	2.7252934160378872e+38	1.0138298542345412e-05	                0	2.6881171477195552e+43	                1
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.973263913387793e+38	                0	-0.10532752242378222	3.1811351075734698e+38	1.1834064264171533e-05	                0	2.6881171477195552e+43	                1
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	3.4705818924765478e+38	                0	-0.10532751663041182	3.7132222635477458e+38	1.3813468905913685e-05	                0	2.6881171477195552e+43	                1
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	4.0510828800328604e+38	                0	-0.1053275093369978	4.3343080099830697e+38	1.6123955065202601e-05	                0	2.6881171477195552e+43	                1
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.7286805731814884e+38	                0	-0.10532750015513992	5.0592787830817754e+38	1.8820901415601541e-05	                0	2.6881171477195552e+43	                1
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	5.5196154963727293e+38	                0	-0.10532748859587394	5.9055105153197628e+38	2.1968947745933098e-05	                0	2.6881171477195552e+43	                1
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	6.4428448477605952e+38	                0	-0.10532747404363366	6.8932857337211271e+38	2.5643546597546899e-05	                0	2.6881171477195552e+43	                1
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	7.5204967430551699e+38	                0	-0.10532745572347514	8.046279556153697e+38	2.9932771207459094e-05	                0	2.6881171477195552e+43	                1
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	8.778400361368075e+38	                0	-0.10532743265979908	9.3921268936841316e+38	3.4939425544202468e-05	                0	2.6881171477195552e+43	                1
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	1.0246705460406213e+39	                0	-0.10532740362440696	1.0963085266719704e+39	4.078351003422659e-05	                0	2.6881171477195552e+43	                1
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.1960604341197455e+39	                0	-0.10532736707110607	1.2796807227871342e+39	4.760509503362761e-05	                0	2.6881171477195552e+43	                1
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.3961176119441486e+39	                0	-0.1053273210533662	1.4937243634365742e+39	5.5567681070141018e-05	                0	2.6881171477195552e+43	                1
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.6296370880018632e+39	                0	-0.1053272631206881	1.7435696571638979e+39	6.4862115798898224e-05	                0	2.6881171477195552e+43	                1
20	1000000	0.99999920567176526	7.943282347242822e-07	100.00000000219612	1.9022159066401319e+39	                0	-0.1053271901881032	2.0352049046791913e+39	7.571116855549776e-05	                0	2.6881171477195552e+43	                1
21	1000000	0.99999899999999997	9.9999999999999995e-07	100.00000000219612	2.2203873139550693e+39	                0	-0.10532709837195767	2.3756200368499856e+39	8.8374870078312083e-05	                0	2.6881171477195552e+43	                1
22	1000000	0.99999874107458819	1.2589254117941661e-06	100.00000000219612	2.5917773478883215e+39	                0	-0.10532698278310279	2.7729741409414309e+39	0.00010315674461188804	                0	2.6881171477195552e+43	                1
23	1000000	0.99999841510680754	1.5848931924611141e-06	100.00000000219612	3.025287639889063e+39	                0	-0.10532683726664291	3.2367910255082441e+39	0.0001204110850694938	                0	2.6881171477195552e+43	                1
24	1000000	0.99999800473768508	1.9952623149688829e-06	100.00000000219612	3.5313087802868988e+39	                0	-0.10532665407428049	3.7781874777960563e+39	0.00014055144438185124	                0	2.6881171477195552e+43	                1
25	1000000	0.99999748811356848	2.5118864315095823e-06	100.00000000219612	4.1219694004839548e+39	                0	-0.10532642345185975	4.4101397232677556e+39	0.00016406054799393939	                0	2.6881171477195552e+43	                1
26	1000000	0.99999683772233983	3.1622776601683792e-06	100.00000000219612	4.8114269132941359e+39	                0	-0.10532613312026469	5.1477944384299256e+39	0.00019150186377840786	                0	2.6881171477195552e+43	                1
27	1000000	0.99999601892829448	3.9810717055349691e-06	100.00000000219612	5.6162069084659991e+39	                0	-0.10532576762192333	6.008831795053737e+39	0.00022353310755639078	                0	2.6881171477195552e+43	                1
28	1000000	0.99999498812766374	5.011872336272725e-06	100.00000000219612	6.5555993210827168e+39	                0	-0.10532530749838369	7.0138892090739757e+39	0.00026092200687846353	                0	2.6881171477195552e+43	                1
29	1000000	0.99999369042655517	6.3095734448019432e-06	100.00000000219612	7.65212092774855e+39	                0	-0.10532472825515991	8.187055999537283e+39	0.00030456470271329929	                0	2.6881171477195552e+43	                1
30	1000000	0.99999205671765279	7.9432823472428217e-06	100.00000000219612	8.9320552369824563e+39	                0	-0.10532399905901618	9.5564507719143631e+39	0.0003555072285455085	                0	2.6881171477195552e+43	                1
31	1000000	0.99999000000000005	1.0000000000000001e-05	100.00000000219612	1.0426082747467234e+40	                0	-0.10532308109861058	1.1154895368546349e+40	0.00041497058184422956	                0	2.6881171477195552e+43	                1
32	1000000	0.99998741074588204	1.2589254117941661e-05	100.00000000219612	1.2170016752225005e+40	                0	-0.10532192552167935	1.3020701569735232e+40	0.00048437998994133307	                0	2.6881171477195552e+43	                1
33	1000000	0.99998415106807537	1.5848931924611141e-05	100.00000000219612	1.4205662379692772e+40	                0	-0.1053204708397163	1.5198589391416521e+40	0.00056539907140245487	                0	2.6881171477195552e+43	                1
34	1000000	0.99998004737685031	1.995262314968883e-05	100.00000000219612	1.6581819535083369e+40	                0	-0.10531863966306719	1.7740758967129855e+40	0.00065996971085058927	                0	2.6881171477195552e+43	                1
35	1000000	0.99997488113568489	2.5118864315095822e-05	100.00000000219612	1.935545396962683e+40	                0	-0.1053163345943781	2.0708141758896579e+40	0.0007703586049612526	                0	2.6881171477195552e+43	                1
36	1000000	0.99996837722339826	3.1622776601683795e-05	100.00000000219612	2.2593064726456454e+40	                0	-0.10531343306450082	2.4171861060877486e+40	0.00089921159430806459	                0	2.6881171477195552e+43	                1
37	1000000	0.99996018928294461	3.9810717055349695e-05	100.00000000219612	2.637228106870421e+40	                0	-0.10530978083995049	2.821493683399355e+40	0.001049617084505766	                0	2.6881171477195552e+43	                1
38	1000000	0.99994988127663731	5.0118723362727251e-05	100.00000000219612	3.0783727628666542e+40	                0	-0.10530518386270152	3.2934275757450406e+40	0.0012251800776387279	                0	2.6881171477195552e+43	                1
39	1000000	0.99993690426555193	6.3095734448019429e-05	100.00000000219612	3.5933203144745873e+40	                0	-0.10529939799739053	3.8442994210661195e+40	0.001430108588953202	                0	2.6881171477195552e+43	                1
40	1000000	0.99992056717652755	7.9432823472428221e-05	100.00000000219612	4.1944226040761398e+40	                0	-0.10529211615486886	4.4873129950839086e+40	0.001669314523323765	                0	2.6881171477195552e+43	                1
41	1000000	0.99990000000000001	           0.0001	100.00000000219612	4.896100932482488e+40	                0	-0.10528295212884861	5.2378807549144798e+40	0.0019485314318827209	                0	2.6881171477195552e+43	                1
42	1000000	0.99987410745882055	0.00012589254117941688	100.00000000219612	5.7151938270562536e+40	                0	-0.10527142031903002	6.1139933564204376e+40	0.002274451975282104	                0	2.6881171477195552e+43	                1
43	1000000	0.99984151068075389	0.00015848931924611142	100.00000000219612	6.6713637462202018e+40	                0	-0.10525691031248879	7.1366510235954777e+40	0.0026548883963817592	                0	2.6881171477195552e+43	                1
44	1000000	0.99980047376850312	0.00019952623149688788	100.00000000219612	7.7875729418725639e+40	                0	-0.10523865504743711	8.3303671397941745e+40	0.0030989598600124927	                0	2.6881171477195552e+43	                1
45	1000000	0.99974881135684901	0.00025118864315095823	100.00000000219612	9.0906405816388938e+40	                0	-0.105215690981076	9.7237561760264595e+40	0.0036173111667679877	                0	2.6881171477195552e+43	                1
