# Filename: 3Dvlt_macro_Tv_Op12_Cc1.00_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=1, K0c=0.315036006898571, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	8.5107414759676256e+37	                0	-0.054253331637884115	2.701513860160224e+38	1.0049836787998744e-05	                0	2.6881171477195552e+43	                1
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	9.9342738863265497e+37	                0	-0.054253330837921714	3.1533772469570113e+38	1.1730802913973285e-05	                0	2.6881171477195552e+43	                1
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.1595914137598677e+38	                0	-0.054253329830827819	3.6808217790638932e+38	1.3692936642238572e-05	                0	2.6881171477195552e+43	                1
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.3535485588205688e+38	                0	-0.054253328562970937	4.2964883447418569e+38	1.5983263037426593e-05	                0	2.6881171477195552e+43	                1
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.5799475877978748e+38	                0	-0.054253326966834783	5.0151332340244734e+38	1.8656676619465879e-05	                0	2.6881171477195552e+43	                1
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.8442149299695241e+38	                0	-0.054253324957418504	5.8539812315615466e+38	2.1777254895783573e-05	                0	2.6881171477195552e+43	                1
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.1526844956216685e+38	                0	-0.054253322427714572	6.8331376819883165e+38	2.54197912757826e-05	                0	2.6881171477195552e+43	                1
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.5127496145182823e+38	                0	-0.054253319243005971	7.976070777812663e+38	2.9671589218420431e-05	                0	2.6881171477195552e+43	                1
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	2.9330405169301986e+38	                0	-0.054253315233698078	9.3101749249004936e+38	3.4634557994612376e-05	                0	2.6881171477195552e+43	                1
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.4236306398391104e+38	                0	-0.054253310186279623	1.086742560507611e+39	4.0427648825853482e-05	                0	2.6881171477195552e+43	                1
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	3.9962784823747581e+38	                0	-0.054253303831961391	1.2685147079183092e+39	4.7189710797925772e-05	                0	2.6881171477195552e+43	                1
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.664709268513679e+38	                0	-0.054253295832354935	1.4806906445977866e+39	5.5082816827902001e-05	                0	2.6881171477195552e+43	                1
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.4449441027761513e+38	                0	-0.054253285761456702	1.7283558452300102e+39	6.4296150437351604e-05	                0	2.6881171477195552e+43	                1
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	6.3556836055333786e+38	                0	-0.05425327308296183	2.0174463230338175e+39	7.5050535827476988e-05	                0	2.6881171477195552e+43	                1
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	7.4187565464686687e+38	                0	-0.05425325712170586	2.35489103483648e+39	8.7603735456032292e-05	                0	2.6881171477195552e+43	                1
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	8.6596425607663472e+38	                0	-0.054253237027712779	2.7487778008610262e+39	0.0001022566223794574	                0	2.6881171477195552e+43	                1
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.0108083525732102e+39	                0	-0.054253211730929396	3.2085473661066218e+39	0.00011936039948365234	                0	2.6881171477195552e+43	                1
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.1798795599193482e+39	                0	-0.054253179884257374	3.7452194122008731e+39	0.00013932500729657942	                0	2.6881171477195552e+43	                1
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.37723020510666e+39	                0	-0.054253139791813128	4.371656908972188e+39	0.00016262895806757721	                0	2.6881171477195552e+43	                1
20	1000000	0.99999920567176526	7.943282347242822e-07	100.00000000219612	1.6075904173234086e+39	                0	-0.054253089318632555	5.1028742910854967e+39	0.00018983080017232444	                0	2.6881171477195552e+43	                1
21	1000000	0.99999899999999997	9.9999999999999995e-07	100.00000000219612	1.8764814937442804e+39	                0	-0.05425302577700547	5.9563972884754708e+39	0.00022158250407831133	                0	2.6881171477195552e+43	                1
22	1000000	0.99999874107458819	1.2589254117941661e-06	100.00000000219612	2.1903482721043537e+39	                0	-0.05425294578336301	6.9526830795708324e+39	0.00025864509236396527	                0	2.6881171477195552e+43	                1
23	1000000	0.99999841510680754	1.5848931924611141e-06	100.00000000219612	2.5567135718970576e+39	                0	-0.054252845078158959	8.1156104819544716e+39	0.00030190687518359428	                0	2.6881171477195552e+43	                1
24	1000000	0.99999800473768508	1.9952623149688829e-06	100.00000000219612	2.9843585266339567e+39	                0	-0.054252718299098647	9.4730523073722754e+39	0.00035240474230852146	                0	2.6881171477195552e+43	                1
25	1000000	0.99999748811356848	2.5118864315095823e-06	100.00000000219612	3.4835330643670004e+39	                0	-0.054252558695706526	1.1057543385030016e+40	0.0004113490141012122	                0	2.6881171477195552e+43	                1
26	1000000	0.99999683772233983	3.1622776601683792e-06	100.00000000219612	4.0662015881004794e+39	                0	-0.054252357770038513	1.2907060274386947e+40	0.0004801524474235269	                0	2.6881171477195552e+43	                1
27	1000000	0.99999601892829448	3.9810717055349691e-06	100.00000000219612	4.7463297631983803e+39	                0	-0.054252104824416739	1.5065931397636652e+40	0.00056046409325641647	                0	2.6881171477195552e+43	                1
28	1000000	0.99999498812766374	5.011872336272725e-06	100.00000000219612	5.5402192876825012e+39	                0	-0.054251786392211773	1.7585899387667264e+40	0.0006542088168510861	                0	2.6881171477195552e+43	                1
29	1000000	0.99999369042655517	6.3095734448019432e-06	100.00000000219612	6.4668986679507426e+39	                0	-0.054251385521406195	2.0527361072922405e+40	0.00076363342610781093	                0	2.6881171477195552e+43	                1
30	1000000	0.99999205671765279	7.9432823472428217e-06	100.00000000219612	7.5485793665559048e+39	                0	-0.054250880872943504	2.3960814766449862e+40	0.00089136051182802235	                0	2.6881171477195552e+43	                1
31	1000000	0.99999000000000005	1.0000000000000001e-05	100.00000000219612	8.8111882887927202e+39	                0	-0.054250245586043425	2.7968549575181288e+40	0.001040451291302844	                0	2.6881171477195552e+43	                1
32	1000000	0.99998741074588204	1.2589254117941661e-05	100.00000000219612	1.0284989372899998e+40	                0	-0.054249445850413427	3.2646617108331051e+40	0.0012144789573633938	                0	2.6881171477195552e+43	                1
