# Filename: 3Dvlt_macro_noKth_T_Cc1.10_lmax10_dl0.001_Op1_usingK0cFind3dl.dat
# Source: 3Dvlt_macro.c
# Source version: 9 (2011 Aug 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.1, K0c=0.296468945958469, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1.5	-0.5	10	3.25467e-25	5.20238e+23	-5.10179e+10	1.64672e-24	7.47609e-29	0.00455547
1.01	-0.01	10	6.41876e-19	2.6379e+17	-25869	2.18672e-18	9.9277e-23	2.30988e-09
1.005	-0.005	10	1.03498e-17	1.63598e+16	-1604.4	3.50848e-17	1.59285e-21	1.43254e-10
1	0	10	0.413127	0.0530865	-0.0510268	1.39349	6.32645e-05	4.64852e-28
0.9	0.1	10	3568.79	0	-0.0293642	10833.9	0.491858	0
0.8	0.2	10	5886.09	0	-0.0160577	15883.2	0.721096	0
0.7	0.3	10	8036.86	0	-0.0078237	18976	0.86151	0
0.6	0.4	10	10256.8	0	-0.00315746	20757.9	0.942406	0
0.5	0.5	10	12827.4	0	-0.000934483	21633.7	0.982169	0
0.4	0.6	10	16272.3	0	-0.000159556	21954.8	0.996744	0
0.3	0.7	10	21763	0	-8.65466e-06	22022.2	0.999807	0
0.2	0.8	10	32650.8	0	-2.52495e-08	22026.5	0.999999	0
0.1	0.9	10	65301.6	0	-1.20922e-15	22026.5	1	0
0.05	0.95	10	130603	0	-6.14187e-30	22026.5	1	0
0.02	0.98	10	326508	0	-2.79511e-72	22026.5	1	0
0.017	0.983	10	384127	0	-1.09922e-84	22026.5	1	0
