# Filename: 3Dvlt_macro_cp_P12.130_DK05e-07_i1000.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 8 (2011 Oct 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=12.13, Cc=0.792892311014899, K0c=0.365728618362282, Tc=2.03631
# T/Tc	1-T/Tc	l	Kr	K	y	e	amax	Kr/K0	K/K0	G	cp
                1	                0	 87.2965000017744	              nan	              nan	              nan	              nan	2.0438409612883e+38	              nan	              nan	              nan	              nan
            0.999	            0.001	 6.50249999999818	0.0074989480916445	 5.00034783629963	6.75128664508461e-06	-0.0619460840718198	 1667.62432174713	0.0204836284814113	 13.6586179961314	1.27220609024681e-25	 110.697814549594
            0.998	            0.002	 6.03629999999927	0.0119524043859053	 5.00019635667162	6.75029527368977e-06	-0.0616140887205937	  1046.3318631068	0.0326157127942266	 13.6445323483412	2.08480918523521e-24	 97.6096720734013
            0.997	            0.003	 5.76339999999991	0.0157032734966103	 5.00038002530627	6.75120988759248e-06	-0.0612857421667384	 796.507058864926	0.042808144864977	 13.6313611648842	1.07152937646275e-23	 89.9321147577739
            0.996	            0.004	 5.56960000000036	0.0190619151635849	 5.00049593728389	6.75169012851995e-06	-0.0609606949779255	 656.239436988799	0.0519119001076472	 13.6180044532397	3.42609019685618e-23	 84.4470812446961
            0.995	            0.005	 5.41910000000071	0.0221572739796073	 5.00036325087381	6.75068584360764e-06	-0.0606387058665553	 564.598603547153	0.0602810020950304	 13.6039707718223	8.4463552900453e-23	 80.2105161514765
            0.994	            0.006	   5.296000000001	0.0250586657764738	   5.000132579123	6.74907722586605e-06	-0.060319590845127	 499.248499569224	0.0681060013661315	 13.5896715053482	1.76646091880673e-22	 76.7560198681957
            0.993	            0.007	 5.19190000000124	0.0278087712760994	 5.00029147372748	6.74970416791604e-06	-0.0600032016375676	 449.930214682161	0.0755043726160168	 13.5764312228169	3.29741820698495e-22	 73.8036832440072
            0.992	            0.008	 5.10160000000145	0.0304362305188986	   5.000202507902	6.74885715787069e-06	-0.0596894143949352	 411.118140472185	0.0825550398816185	 13.5625177762964	5.6648790301792e-22	 71.2223216189379
            0.991	            0.009	 5.02190000000163	0.0329614270193488	  5.0002240459165	6.74862353538825e-06	-0.059378123033834	 379.657051842742	0.0893142415883292	 13.5489042440609	9.13327684887938e-22	 68.9791559127719
             0.99	             0.01	  4.9505000000018	0.0353995264825814	 5.00002626225679	6.74708458986079e-06	-0.0590692349696079	  353.52552343991	0.0958238690061719	 13.5346969066852	1.40072137862612e-21	  66.972181274132
            0.989	            0.011	 4.88590000000195	0.0377621878105809	 5.00007544098624	6.74695463095174e-06	-0.0587626682174319	 331.438616969014	0.102116164471629	 13.5211584843408	2.06276325904278e-21	 65.1446159040245
            0.988	            0.012	 4.82690000000209	0.0400586262731582	 5.00025423897404	6.74755145470827e-06	-0.0584583493325685	 312.476470402868	0.108216641440609	 13.5079699538652	2.93766675691866e-21	 63.5105926960738
            0.987	            0.013	 4.77250000000222	0.0422962874680493	 5.00003062046228	6.74577974301878e-06	-0.0581562118943383	 295.957341073651	0.114145936727357	 13.4936944352212	4.06834431617003e-21	 61.9795252475235
            0.986	            0.014	 4.72220000000233	0.0444812758627167	 5.00037572452119	6.74729086413073e-06	-0.0578561953579936	 281.463024996583	0.119920990041839	 13.4809534087212	5.49998585828761e-21	 60.5531659862349
            0.985	            0.015	 4.67520000000244	0.0466187112322724	 5.00004398877505	6.74483769156259e-06	-0.0575582441644601	 268.563252103983	0.125556022302585	  13.466387593614	7.28538027575063e-21	 59.2319669554565
            0.984	            0.016	 4.63130000000255	0.0487128945331832	 5.00025289857994	6.74550450472812e-06	-0.05726230703625	 257.050212712023	0.131062995385202	 13.4532782100437	9.47691263641328e-21	 57.9981161176104
            0.983	            0.017	 4.59000000000264	0.0507675255690833	 5.00031850167211	6.74531245741269e-06	-0.0569683364110686	 246.671142381825	 0.13645220835569	 13.4397825063684	1.21353483414041e-20	 56.8328446362449
