# Filename: 3Dvlt_macro_cp_P07.270_DK05e-07_T_Op7.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 9 (2011 Dec 14 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=7.27, Cc=0.907367789194129, K0c=0.335274865837589, Tc=2.09567
# Option values: Op=7
# T/Tc	1-T/Tc	l	Kr	K	y	e	amax	Kr/K0	K/K0	G	cp
                0	                1	                0	              inf	              inf	                0	                0	 2.47748289952811	             -nan	             -nan	                0	              nan
            0.001	            0.999	                0	 335.274865837589	 335.274865837589	                0	                0	 2.47749995189361	                1	                1	                0	6.67213372870751e-05
            0.002	            0.998	                0	 167.637432918794	 167.637432918794	                0	                0	 2.47751681901319	                1	                1	                0	0.000132581743598103
            0.003	            0.997	                0	  111.75828861253	  111.75828861253	                0	                0	   2.477533502082	                1	                1	                0	0.000197585122430687
            0.004	            0.996	                0	 83.8187164593972	 83.8187164593972	                0	                0	 2.47755000229158	                1	                1	                0	0.000261735380191851
            0.005	            0.995	                0	 67.0549731675177	 67.0549731675177	1.60513728125929e-261	                0	 2.47756632082984	                1	                1	2.8126823981651e-264	0.000325036426162767
0.00600000000000001	            0.994	                0	 55.8791443062648	 55.8791443062648	4.69094295387723e-218	                0	 2.47758245888109	                1	                1	8.21961908775545e-221	0.000387492172463744
0.00700000000000001	            0.993	                0	 47.8964094053698	 47.8964094053698	5.22664480453086e-187	                0	 2.47759841762602	                1	                1	9.15793893081117e-190	0.000449106534019476
0.00800000000000001	            0.992	                0	 41.9093582296986	 41.9093582296986	1.00796421435564e-163	                0	 2.47761419824169	                1	                1	1.76605112959611e-166	0.000509883428524549
0.00900000000000001	            0.991	                0	 37.2527628708432	 37.2527628708432	1.30068890107417e-145	                0	 2.47762980190155	                1	                1	2.27884707808978e-148	0.000569826776409205
             0.01	             0.99	                0	 33.5274865837589	 33.5274865837589	4.00641645521193e-131	                0	  2.4776452297754	                1	                1	7.01910297246582e-134	0.000628940500805362
            0.011	            0.989	                0	 30.4795332579626	 30.4795332579626	2.86451428101067e-119	                0	 2.47766048302944	                1	                1	5.01834451207323e-122	0.000687228527512891
            0.012	            0.988	                0	 27.9395721531324	 27.9395721531324	2.16585847965125e-109	                0	 2.47767556282624	                1	                1	3.79423038056896e-112	0.000744694784966142
            0.013	            0.987	                0	 25.7903742951991	 25.7903742951991	4.94797802603949e-101	                0	 2.47769047032472	                1	                1	8.6677366040066e-104	0.000801343204200742
            0.014	            0.986	                0	 23.9482047026849	 23.9482047026849	7.22955379296043e-94	                0	 2.47770520668019	                1	                1	1.26640885538114e-96	0.000857177718820624
            0.015	            0.985	                0	 22.3516577225059	 22.3516577225059	1.17085754971249e-87	                0	 2.47771977304432	                1	                1	2.05093164720967e-90	0.000912202264965323
            0.016	            0.984	                0	 20.9546791148493	 20.9546791148493	3.17484521568476e-82	                0	 2.47773417056514	                1	                1	5.56102107889742e-85	0.000966420781277526
            0.017	            0.983	                0	 19.7220509316229	 19.7220509316229	1.9757813288237e-77	                0	 2.47774840038704	                1	                1	3.46063580124422e-80	0.00101983720887086
            0.018	            0.982	                0	 18.6263814354216	 18.6263814354216	3.60650648283651e-73	                0	 2.47776246365078	                1	                1	6.31668102394164e-76	0.00107245549129795
            0.019	            0.981	                0	 17.6460455703994	 17.6460455703994	2.34353598667098e-69	                0	 2.47777636149347	                1	                1	4.10449036510768e-72	0.00112427957451871
             0.02	             0.98	                0	 16.7637432918794	 16.7637432918794	6.329625940932e-66	                0	 2.47779009504859	                1	                1	1.10853961118739e-68	0.00117531340686889
            0.021	            0.979	                0	 15.9654698017899	 15.9654698017899	8.05516292621277e-63	                0	 2.47780366544596	                1	                1	1.41069532970835e-65	0.00122556093902887
            0.022	            0.978	                0	 15.2397666289813	 15.2397666289813	5.35211573212937e-60	                0	 2.47781707381177	                1	                1	9.37282038674273e-63	0.0012750261239927
            0.023	            0.977	                0	 14.5771680798952	 14.5771680798952	2.02090606139039e-57	                0	 2.47783032126855	                1	                1	3.53897091782266e-60	0.0013237129170374
            0.024	            0.976	                0	 13.9697860765662	 13.9697860765662	4.65387846817174e-55	                0	 2.47784340893518	                1	                1	8.14952209911249e-58	0.00137162527569251
            0.025	            0.975	                0	 13.4109946335035	 13.4109946335035	6.93589382591741e-53	                0	  2.4778563379269	                1	                1	1.2145235597384e-55	0.00141876715970981
            0.026	            0.974	                0	 12.8951871475996	 12.8951871475996	7.03418653864076e-51	                0	 2.47786910935529	                1	                1	1.23169721062297e-53	0.00146514253103342
            0.027	            0.973	                0	 12.4175876236144	 12.4175876236144	5.06669169005999e-49	                0	 2.47788172432828	                1	                1	8.87158644774217e-52	0.00151075535377002
            0.028	            0.972	                0	 11.9741023513425	 11.9741023513425	2.68878295757773e-47	                0	 2.47789418395013	                1	                1	4.70781572089597e-50	0.0015556095941594
            0.029	            0.971	                0	 11.5612022702617	 11.5612022702617	1.08500848582998e-45	                0	 2.47790648932147	                1	                1	1.89969509987452e-48	0.00159970922054516
             0.03	             0.97	                0	  11.175828861253	  11.175828861253	3.42177958044128e-44	                0	 2.47791864153923	                1	                1	5.99087169839109e-47	0.00164305820334577
            0.031	            0.969	                0	 10.8153182528254	 10.8153182528254	8.63719913437253e-43	                0	 2.47793064169673	                1	                1	1.51216193561317e-45	0.00168566051502577
            0.032	            0.968	                0	 10.4773395574246	 10.4773395574246	1.78180953406495e-41	                0	 2.47794249088359	                1	                1	3.11942240514734e-44	0.00172752013006723
            0.033	            0.967	                0	 10.1598444193209	 10.1598444193209	3.05973393994805e-40	                0	 2.47795419018578	                1	                1	5.35653898243516e-43	0.0017686410249415
            0.034	            0.966	                0	 9.86102546581143	 9.86102546581143	4.44497618533969e-39	                0	  2.4779657406856	                1	                1	7.78140282313205e-42	0.00180902717808117
