# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P01.646_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=1.646, Cc=1.0577252739907, K0c=0.303956391790806, Tc=2.157
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
1	1410376	0.99999998999999995	            1e-08	14.103759999635232	4.1467754335433629	4.6343432163272113e-06	-0.052325561239519182	13.642665540422559	1.0226195480514459e-05	8.220104575318014e-43	1334090.0402713818	                1	33201828.127740812
2	1394910	0.99999998741074592	1.2589254117941661e-08	13.949099999641087	4.1467816953194578	4.6343432167076603e-06	-0.052325560459265619	13.642686106000816	1.1936657410988673e-05	2.0791472591683461e-42	1142923.4865567645	                1	20743697.358809248
3	1379444	0.99999998415106806	1.5848931924611143e-08	13.794439999646942	4.1467911565527125	4.6343432176540663e-06	-0.052325559476984231	13.642717188472469	1.393322670747162e-05	5.2588787481063454e-42	979149.87496447144	                1	12938595.743492005
4	1363978	0.99999998004737689	1.9952623149688786e-08	13.639779999652797	4.1467980455873974	4.6343432186251939e-06	-0.05232555824036627	13.642739797036009	1.6263739438420667e-05	1.3301513668875165e-41	838843.97242660366	                1	8053309.7351570297
5	1348512	0.99999997488113568	2.5118864315095821e-08	13.485119999658652	4.1468069060935591	4.6343432202233875e-06	-0.052325556683558164	13.642768877137033	1.8984069630477348e-05	3.3644104453049674e-41	718643.00662038778	                1	4999266.0907914899
6	1333045	0.99999996837722338	3.1622776601683792e-08	13.330449999664507	4.1467729747062911	4.634343216226804e-06	-0.052325554723648263	13.642657155990248	2.2159404702230003e-05	8.510262131394192e-41	615659.91231783072	                1	 3092875.00810717
7	1317579	0.99999996018928294	3.981071705534969e-08	13.175789999670362	4.1467814004535946	4.6343432166781548e-06	-0.052325552256268545	13.642684764534319	2.5865861787780407e-05	2.1525380879815114e-40	527439.79212706606	                1	1905360.4711479696
8	1302113	0.99999994988127661	5.011872336272725e-08	13.021129999676218	4.146789262744238	4.6343432174208341e-06	-0.05232554915002742	13.642710490412805	3.019226927282894e-05	5.4445094040167973e-40	451861.04983140004	                1	1167446.1398111265
9	1286647	0.99999993690426559	6.3095734448019296e-08	12.866469999682073	4.1467976663395696	4.6343432185530165e-06	-0.052325545239495494	13.642737960741107	3.5242330136865578e-05	1.3771037464296581e-39	387112.25698637875	                1	710392.75855716993
10	1271181	0.99999992056717657	7.943282347242822e-08	12.711809999687928	4.1468059378937907	4.6343432200114505e-06	-0.05232554031643525	13.64276495081989	4.1137079777807782e-05	3.4831691670235462e-39	331641.55123572366	                1	428483.75565374008
11	1255714	0.99999990000000005	9.9999999999999995e-08	12.557139999693783	4.1467724800259944	4.6343432161840195e-06	-0.052325534118675292	13.64265459567209	4.8017801666293967e-05	8.8106618209464336e-39	284116.60097402032	                1	255539.70612956086
12	1240248	0.99999987410745883	1.2589254117941662e-07	12.402479999699638	4.1467808646632838	4.6343432166003269e-06	-0.052325526316155641	13.642681827426317	5.6049420263810845e-05	2.2285195046819719e-38	243404.51271776884	                1	150209.94490487728
13	1224782	0.99999984151068078	1.5848931924611141e-07	12.247819999705493	4.1467888827405535	4.6343432173190081e-06	-0.05232551649338392	13.642707761752806	6.5424428110384493e-05	5.6366925481865091e-38	208526.2058192507	                1	86657.822619658793
14	1209316	0.99999980047376846	1.9952623149688787e-07	12.093159999711348	4.1467971290652414	4.634343218385304e-06	-0.052325504127254008	13.642734331852495	7.636753373862278e-05	1.4257134756241982e-37	178645.73679368015	                1	48793.090045378121
