# Filename: 3Dvlt_macro_cp_Tv_Op19_P22.533_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=22.533, Cc=0.580647816546116, K0c=0.448321705446756, Tc=1.889
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	9.3252505857061884e+37	                0	-0.073013268932989026	2.0800354698778179e+38	7.7378899637703699e-06	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017423783012979	1.0068826519156038	0.026228316776296581	-0.59862162699192667	13.713975316441324
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.088502389836841e+38	                0	-0.073013267961595171	2.4279493116415287e+38	9.032155885398305e-06	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017423459478975	1.0068826231945007	0.026228315643085726	-0.59862161112686374	13.713975176296762
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.2705688624451973e+38	                0	-0.073013266738682386	2.8340560514283059e+38	1.0542903808461461e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017423052173748	1.0068825870367677	0.026228314216457608	-0.59862159115393232	13.713974999865245
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.4830883850264202e+38	                0	-0.073013265199128749	3.3080895647401394e+38	1.2306344489288844e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017422539407259	1.0068825415169138	0.0262283124204402	-0.59862156600950156	13.713974777751096
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.7311546621224964e+38	                0	-0.073013263260944039	3.8614115658592702e+38	1.436474436813541e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017421893872253	1.0068824842107946	0.026228310159387886	-0.59862153435454235	13.713974498125982
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	2.0207134047604473e+38	                0	-0.073013260820916637	4.5072842030840814e+38	1.676743964416805e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017421081192281	1.0068824120667064	0.02622830731289293	-0.59862149450331259	13.713974146098771
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.3587045778208357e+38	                0	-0.073013257749102237	5.2611873466368238e+38	1.9572016610586016e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017420058088557	1.0068823212426539	0.026228303729367533	-0.59862144433358555	13.713973702922813
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.7532293472413025e+38	                0	-0.07301325388191883	6.1411909702416639e+38	2.2845696942380281e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017418770077686	1.0068822069019827	0.02622829921797775	-0.59862138117364949	13.713973144997363
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	3.2137436555707032e+38	                0	-0.073013249013427539	7.1683869278527694e+38	2.6666943938563166e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017417148568885	1.0068820629556769	0.026228293538476929	-0.5986213016600086	13.713972442610848
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.7512850625935381e+38	                0	-0.073013242884364948	8.3673949287826442e+38	3.1127344788083597e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017415107211247	1.0068818817381016	0.02622828638841224	-0.59862120155827891	13.713971558358638
