# Filename: 3Dvlt_macro_cp_extra_BareValues_P01.646.dat
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=1.646, Cc=1.05802, K0c=0.303902, Tc=2.157
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
1.646	 1.05802360690523	  0.3039017891501	0.1	0.0463606820006334	0.953639317999367	0	 6.55516217699188	1.87151879671545e-30	0	 6.84508024978463	 2.43371590518195	 1.00213417544606
1.646	 1.05802360690523	  0.3039017891501	0.15	0.0695410230009501	 0.93045897699905	0	 4.37010811799458	1.51866783766015e-20	0	 6.84508024978463	 2.43380519376431	 1.00215925027757
1.646	 1.05802360690523	  0.3039017891501	0.2	0.0927213640012667	0.907278635998733	0	 3.27758108849594	1.36803464748355e-15	0	 6.84508024978463	 2.43386610266196	 1.00217809545465
1.646	 1.05802360690523	  0.3039017891501	0.25	0.115901705001583	0.884098294998417	0	 2.62206487079675	1.28492469920542e-12	0	 6.84508024978463	 2.43390465829628	 1.00219153780548
1.646	 1.05802360690523	  0.3039017891501	0.3	  0.1390820460019	  0.8609179539981	0	 2.18505405899729	1.23234241899731e-10	0	 6.84508024978463	 2.43392626691623	 1.00220033678785
1.646	 1.05802360690523	  0.3039017891501	0.35	0.162262387002217	0.837737612997783	0	 1.87290347914054	3.20878928015798e-09	0	 6.84508024978463	   2.433935713613	 1.00220518429197
1.646	 1.05802360690523	  0.3039017891501	0.4	0.185442728002534	0.814557271997466	0	 1.63879054424797	3.69869523951835e-08	0	 6.84508024978463	 2.43393716168018	  1.0022067044988
1.646	 1.05802360690523	  0.3039017891501	0.45	 0.20862306900285	 0.79137693099715	0	 1.45670270599819	2.47640077840577e-07	0	 6.84508024978463	 2.43393415223414	 1.00220545378303
1.646	 1.05802360690523	  0.3039017891501	0.5	0.231803410003167	0.768196589996833	0	 1.31103243539838	1.13354519063221e-06	0	 6.84508024978463	 2.43392960402006	 1.00220192065119
1.646	 1.05802360690523	  0.3039017891501	0.55	0.254983751003484	0.745016248996516	0	 1.19184766854398	3.93499693833913e-06	0	 6.84508024978463	 2.43392581334021	 1.00219652570623
1.646	 1.05802360690523	  0.3039017891501	0.6	  0.2781640920038	  0.7218359079962	0	 1.09252702949865	1.11010919237583e-05	0	 6.84508024978463	 2.43392445405239	 1.00218962163169
1.646	 1.05802360690523	  0.3039017891501	0.65	0.301344433004117	0.698655566995883	0	 1.00848648876798	2.66987798534118e-05	0	 6.84508024978463	 2.43392657759723	 1.00218149318908
1.646	 1.05802360690523	  0.3039017891501	0.7	0.324524774004434	0.675475225995566	0	0.936451739570268	5.66461762183292e-05	0	 6.84508024978463	 2.43393261302458	 1.00217235722398
1.646	 1.05802360690523	  0.3039017891501	0.75	 0.34770511500475	 0.65229488499525	0	0.874021623598917	0.000108715773237941	0	 6.84508024978463	 2.43394236699996	 1.00216236267713
1.646	 1.05802360690523	  0.3039017891501	0.8	0.370885456005067	0.629114543994933	0	0.819395272123984	0.000192319921992454	0	 6.84508024978463	 2.43395502378359	 1.00215159059816
1.646	 1.05802360690523	  0.3039017891501	0.85	0.394065797005384	0.605934202994616	0	0.771195550234338	0.000318134729263072	0	 6.84508024978463	 2.43396914518532	 1.00214005416088
1.646	 1.05802360690523	  0.3039017891501	0.9	0.417246138005701	0.582753861994299	0	0.728351352999097	0.000497634482165952	0	 6.84508024978463	 2.43398267051017	 1.00212769868016
1.646	 1.05802360690523	  0.3039017891501	0.95	0.440426479006017	0.559573520993983	0	0.690017071262302	0.000742603998814522	0	 6.84508024978463	 2.43399291652011	 1.00211440163164
1.646	 1.05802360690523	  0.3039017891501	1	0.463606820006334	0.536393179993666	0	0.655516217699188	0.00106468079283521	0	 6.84508024978463	 2.43399657744902	 1.00209997267689
1.646	 1.05802360690523	  0.3039017891501	1.05	0.486787161006651	0.513212838993349	0	0.624301159713512	0.00147496053214826	0	 6.84508024978463	   2.433989725119	 1.00208415369758
1.646	 1.05802360690523	  0.3039017891501	1.1	0.509967502006967	0.490032497993033	0	0.595923834271989	0.00198368267077654	0	 6.84508024978463	  2.4339678092169	 1.00206661884378
1.646	 1.05802360690523	  0.3039017891501	1.15	0.533147843007284	0.466852156992716	0	0.570014102347119	0.00260000036007351	0	 6.84508024978463	 2.43392565780169	 1.00204697460227
1.646	 1.05802360690523	  0.3039017891501	1.2	0.556328184007601	0.443671815992399	0	0.546263514749323	0.00333183011628118	0	 6.84508024978463	 2.43385747812381	 1.00202475989248
1.646	 1.05802360690523	  0.3039017891501	1.25	0.579508525007917	0.420491474992083	0	 0.52441297415935	0.00418577168140364	0	 6.84508024978463	 2.43375685784881	 1.00199944619832
