# Filename: 3Dvlt_macro_cp_extra_BareValues_Tc_Output30.dat
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
0.05	 1.10500984397513	0.295613694950781	2.173	                1	                0	0	0.295613694950781	0.039796913538271	0	  7.0056866805901	 2.41421061559303	0.999869634747463
1.646	 1.05819110517992	0.303871144015907	2.157	                1	                0	0	0.303871144015907	0.0418523125942527	0	 6.84547355107523	 2.41488812662549	0.999881895376474
7.328	0.905919737570672	0.335618952610176	2.095	                1	                0	0	0.335618952610176	0.0497476348623533	0	 6.28665724314855	 2.44694618671477	  1.0121849114946
15.031	0.730687687879284	0.385638338959041	1.998	                1	                0	0	0.385638338959041	0.0619722338130646	0	 5.55658843751643	 2.54097566897593	 1.04975699328236
18.18	0.667832798147861	0.408941395856842	1.95399	                1	                0	0	0.408941395856842	0.0675131324687369	0	 5.26685890736922	 2.58925516535976	 1.06918505465157
22.533	0.588282353648267	0.444473020755711	1.889	                1	                0	0	0.444473020755711	0.075723928213632	0	 4.87487790983078	 2.66159004889909	 1.09836810118804
25.868	0.532636580468056	0.474695188872846	1.836	                1	                0	0	0.474695188872846	0.0824609034501975	0	 4.58160885856884	 2.72096237132474	 1.12237969571153
0	  1.1065072990556	0.295359326647132	2.17349	                1	                0	0	0.295359326647132	0.0397336446999206	0	 7.01072956065413	 2.41425842127426	  0.9998978161973
1.01325	 1.07652779539053	0.300565014930055	2.16342	                1	                0	0	0.300565014930055	0.0410290769689031	0	 6.90881743268643	 2.41411864438856	 0.99966979041924
5.06625	0.963959199484873	0.322518421267623	2.12063	                1	                0	0	0.322518421267623	0.0464951764334264	0	 6.50696372957967	 2.42927433007772	 1.00525780232036
10.1325	0.838309076200995	0.352800167009171	2.06143	                1	                0	0	0.352800167009171	0.0539881557395494	0	 6.01729821387461	 2.47604067629754	 1.02374104937553
15.1988	0.727220201960104	0.386833525832305	1.99572	                1	                0	0	0.386833525832305	0.0622591634466814	0	 5.54102707833135	 2.54344143009777	 1.05074797408635
20.265	0.628709993233222	0.425447060826022	1.92346	                1	                0	0	0.425447060826022	0.0713648658993805	0	 5.07784454622803	 2.62318764526673	 1.08286507755129
24.318	0.557953810389714	 0.46029776787616	1.86098	                1	                0	0	 0.46029776787616	0.079280736495571	0	 4.71712909493462	 2.69289922001938	 1.11102358254224
0	  1.1065072990556	0.295359326647132	2.17349	                1	                0	0	0.295359326647132	0.0397336446999206	0	 7.01072956065413	 2.41425842127426	  0.9998978161973
2.53313	 1.03296893418528	0.308579936143945	2.14784	                1	                0	0	0.308579936143945	0.0430251338651285	0	 6.75704542314952	 2.41701865698388	 1.00061431355021
5.06625	0.963959199484873	0.322518421267623	2.12063	                1	                0	0	0.322518421267623	0.0464951764334264	0	 6.50696372957967	 2.42927433007772	 1.00525780232036
7.59938	  0.8991719713233	0.337234755545476	2.09184	                1	                0	0	0.337234755545476	0.0501478179510547	0	 6.26041016710937	 2.44943912102449	  1.0131699829199
10.1325	0.838309076200995	0.352800167009171	2.06143	                1	                0	0	0.352800167009171	0.0539881557395494	0	 6.01729821387461	 2.47604067629754	 1.02374104937553
12.6656	0.781080759557833	0.369300160831013	2.0294	                1	                0	0	0.369300160831013	0.0580227869607221	0	 5.77752862312103	 2.50775723510363	 1.03642473298095
15.1988	0.727220201960104	0.386833525832305	1.99572	                1	                0	0	0.386833525832305	0.0622591634466814	0	 5.54102707833135	 2.54344143009777	 1.05074797408635
17.7319	0.676495231479917	0.405509700068832	1.96041	                1	                0	0	0.405509700068832	0.0667044933248905	0	 5.30777965433709	 2.58214957208669	 1.06632280435883
20.265	0.628709993233222	0.425447060826022	1.92346	                1	                0	0	0.425447060826022	0.0713648658993805	0	 5.07784454622803	 2.62318764526673	 1.08286507755129
22.7981	0.583696311336062	0.446774476644275	1.88489	                1	                0	0	0.446774476644275	0.0762451481899627	0	  4.8513351693616	 2.66617799269721	 1.10022168779424
25.3313	   0.541298989703	0.469637687085156	1.84472	                1	                0	0	0.469637687085156	0.0813499047817877	0	 4.62838292452122	  2.7111428794341	 1.11840470255875
