# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 Jan 12)
# Parameter values: iTfrac=1, qTfrac=0.1, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.746152	0.997726	0.000516335
1	0	0.08	0.744505	0.995523	0.000428134
1	0	0.12	0.742909	0.993389	0.000355144
1	0	0.16	0.741361	0.99132	0.000294714
1	0	0.2	0.73986	0.989312	0.00024466
1	0	0.24	0.738403	0.987364	0.000203183
1	0	0.28	0.736989	0.985473	0.000168798
1	0	0.32	0.735615	0.983635	0.000140282
1	0	0.36	0.734279	0.98185	0.000116622
1	0	0.4	0.732981	0.980114	9.69854e-05
1	0	0.44	0.731718	0.978425	8.06809e-05
1	0	0.48	0.730489	0.976782	6.71384e-05
1	0	0.52	0.729293	0.975182	5.58861e-05
1	0	0.56	0.728128	0.973625	4.65334e-05
1	0	0.6	0.726993	0.972107	3.87572e-05
1	0	0.64	0.725887	0.970628	3.22895e-05
1	0	0.68	0.724809	0.969187	2.69085e-05
1	0	0.72	0.723758	0.967781	2.24303e-05
1	0	0.76	0.722732	0.966409	1.87022e-05
1	0	0.8	0.721731	0.965071	1.55977e-05
1	0	0.84	0.720754	0.963764	1.30118e-05
1	0	0.88	0.7198	0.962489	1.08572e-05
1	0	0.92	0.718868	0.961243	9.06158e-06
1	0	0.96	0.717958	0.960025	7.56466e-06
1	0	1	0.717068	0.958835	6.31645e-06
1	0	1.04	0.716198	0.957672	5.27537e-06
1	0	1.08	0.715347	0.956535	4.40683e-06
1	0	1.12	0.714516	0.955422	3.68206e-06
1	0	1.16	0.713702	0.954334	3.07713e-06
1	0	1.2	0.712905	0.953269	2.57211e-06
1	0	1.24	0.712125	0.952226	2.1504e-06
1	0	1.28	0.711362	0.951206	1.79817e-06
1	0	1.32	0.710614	0.950206	1.50393e-06
1	0	1.36	0.709882	0.949227	1.25807e-06
1	0	1.4	0.709165	0.948267	1.05259e-06
1	0	1.44	0.708462	0.947327	8.80831e-07
1	0	1.48	0.707772	0.946406	7.37228e-07
1	0	1.52	0.707097	0.945502	6.17142e-07
1	0	1.56	0.706434	0.944617	5.16704e-07
1	0	1.6	0.705785	0.943748	4.32683e-07
1	0	1.64	0.705147	0.942895	3.62384e-07
1	0	1.68	0.704522	0.942059	3.03554e-07
1	0	1.72	0.703908	0.941238	2.54314e-07
1	0	1.76	0.703306	0.940433	2.13094e-07
1	0	1.8	0.702714	0.939642	1.78582e-07
1	0	1.84	0.702134	0.938866	1.49682e-07
1	0	1.88	0.701563	0.938103	1.25476e-07
1	0	1.92	0.701003	0.937354	1.052e-07
1	0	1.96	0.700453	0.936618	8.8213e-08
1	0	2	0.699912	0.935895	7.39789e-08
1	0	2.04	0.699381	0.935185	6.205e-08
1	0	2.08	0.698859	0.934487	5.20514e-08
1	0	2.12	0.698345	0.9338	4.36697e-08
1	0	2.16	0.697841	0.933125	3.66423e-08
1	0	2.2	0.697344	0.932462	3.07497e-08
1	0	2.24	0.696856	0.931809	2.58079e-08
1	0	2.28	0.696376	0.931167	2.16629e-08
1	0	2.32	0.695904	0.930536	1.81858e-08
1	0	2.36	0.695439	0.929914	1.52687e-08
1	0	2.4	0.694982	0.929303	1.28209e-08
1	0	2.44	0.694532	0.928701	1.07668e-08
1	0	2.48	0.694089	0.928109	9.04277e-09
1	0	2.52	0.693653	0.927526	7.59566e-09
1	0	2.56	0.693224	0.926952	6.38082e-09
1	0	2.6	0.692801	0.926387	5.36086e-09
1	0	2.64	0.692385	0.92583	4.50441e-09
1	0	2.68	0.691975	0.925282	3.78518e-09
1	0	2.72	0.691571	0.924742	3.18112e-09
1	0	2.76	0.691173	0.92421	2.67372e-09
1	0	2.8	0.690781	0.923686	2.24748e-09
1	0	2.84	0.690395	0.923169	1.88938e-09
1	0	2.88	0.690014	0.92266	1.58848e-09
1	0	2.92	0.689639	0.922159	1.33563e-09
1	0	2.96	0.689269	0.921664	1.12314e-09
1	0	3	0.688905	0.921177	9.44539e-10
1	0	3.04	0.688546	0.920696	7.94412e-10
1	0	3.08	0.688191	0.920222	6.68206e-10
1	0	3.12	0.687842	0.919755	5.62099e-10
1	0	3.16	0.687497	0.919294	4.72883e-10
1	0	3.2	0.687157	0.91884	3.97862e-10
1	0	3.24	0.686822	0.918392	3.34771e-10
1	0	3.28	0.686491	0.917949	2.81708e-10
1	0	3.32	0.686165	0.917513	2.37075e-10
1	0	3.36	0.685843	0.917082	1.9953e-10
1	0	3.4	0.685525	0.916657	1.67945e-10
1	0	3.44	0.685211	0.916238	1.4137e-10
1	0	3.48	0.684902	0.915824	1.1901e-10
1	0	3.52	0.684597	0.915416	1.00194e-10
1	0	3.56	0.684295	0.915013	8.436e-11
1	0	3.6	0.683997	0.914615	7.10333e-11
1	0	3.64	0.683703	0.914222	5.98163e-11
1	0	3.68	0.683413	0.913834	5.03743e-11
1	0	3.72	0.683127	0.91345	4.24258e-11
1	0	3.76	0.682844	0.913072	3.57341e-11
1	0	3.8	0.682564	0.912698	3.00999e-11
1	0	3.84	0.682288	0.912329	2.53559e-11
1	0	3.88	0.682015	0.911964	2.1361e-11
1	0	3.92	0.681746	0.911604	1.79968e-11
1	0	3.96	0.68148	0.911248	1.51634e-11
1	0	4	0.681217	0.910897	1.27769e-11
1	0	4.04	0.680957	0.910549	1.07668e-11
1	0	4.08	0.6807	0.910206	9.07347e-12
1	0	4.12	0.680446	0.909867	7.64696e-12
1	0	4.16	0.680196	0.909531	6.44513e-12
1	0	4.2	0.679948	0.9092	5.43253e-12
1	0	4.24	0.679703	0.908872	4.5793e-12
1	0	4.28	0.679461	0.908548	3.86031e-12
1	0	4.32	0.679221	0.908228	3.25441e-12
1	0	4.36	0.678985	0.907912	2.74377e-12
1	0	4.4	0.678751	0.907599	2.3134e-12
1	0	4.44	0.678519	0.907289	1.95064e-12
